Timestep,Bess_Id,P(kW),Q(kVar),E(kWh),SOC
2012-07-07 06:00:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 06:30:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 07:00:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 07:30:00,bess_1_bus_001,0.3228,0.0,14.83,0.49
2012-07-07 08:00:00,bess_1_bus_001,0.1464,0.0,14.75,0.49
2012-07-07 08:30:00,bess_1_bus_001,-0.0567,-0.0,14.78,0.49
2012-07-07 09:00:00,bess_1_bus_001,-0.1584,-0.0,14.86,0.5
2012-07-07 09:30:00,bess_1_bus_001,-0.2526,-0.0,14.98,0.5
2012-07-07 10:00:00,bess_1_bus_001,-0.2754,-0.0,15.11,0.5
2012-07-07 10:30:00,bess_1_bus_001,-0.0496,-0.0,15.13,0.5
2012-07-07 11:00:00,bess_1_bus_001,-0.5299,-0.0,15.38,0.51
2012-07-07 11:30:00,bess_1_bus_001,-0.5469,-0.0,15.64,0.52
2012-07-07 12:00:00,bess_1_bus_001,-0.3373,-0.0,15.8,0.53
2012-07-07 12:30:00,bess_1_bus_001,-0.4048,-0.0,15.99,0.53
2012-07-07 13:00:00,bess_1_bus_001,-0.3328,-0.0,16.15,0.54
2012-07-07 13:30:00,bess_1_bus_001,-0.1938,-0.0,16.24,0.54
2012-07-07 14:00:00,bess_1_bus_001,-0.1725,-0.0,16.33,0.54
2012-07-07 14:30:00,bess_1_bus_001,0.0109,0.0,16.32,0.54
2012-07-07 15:00:00,bess_1_bus_001,-0.0514,-0.0,16.34,0.54
2012-07-07 15:30:00,bess_1_bus_001,0.0335,0.0,16.33,0.54
2012-07-07 16:00:00,bess_1_bus_001,0.2799,0.0,16.18,0.54
2012-07-07 16:30:00,bess_1_bus_001,0.3906,0.0,15.97,0.53
2012-07-07 17:00:00,bess_1_bus_001,0.555,0.0,15.68,0.52
2012-07-07 17:30:00,bess_1_bus_001,0.5883,0.0,15.37,0.51
2012-07-07 18:00:00,bess_1_bus_001,0.8806,0.0,14.91,0.5
2012-07-07 18:30:00,bess_1_bus_001,1.1447,0.0,14.31,0.48
2012-07-07 19:00:00,bess_1_bus_001,0.8559,0.0,13.86,0.46
2012-07-07 19:30:00,bess_1_bus_001,0.893,0.0,13.39,0.45
2012-07-07 20:00:00,bess_1_bus_001,0.9253,0.0,12.9,0.43
2012-07-07 20:30:00,bess_1_bus_001,0.933,0.0,12.41,0.41
2012-07-07 21:00:00,bess_1_bus_001,0.9535,0.0,11.91,0.4
2012-07-07 21:30:00,bess_1_bus_001,0.9659,0.0,11.4,0.38
2012-07-07 22:00:00,bess_1_bus_001,0.892,0.0,10.93,0.36
2012-07-07 22:30:00,bess_1_bus_001,0.687,0.0,10.57,0.35
2012-07-07 23:00:00,bess_1_bus_001,0.7767,0.0,10.16,0.34
2012-07-07 23:30:00,bess_1_bus_001,0.7366,0.0,9.77,0.33
2012-07-08 00:00:00,bess_1_bus_001,0.7372,0.0,9.38,0.31
2012-07-08 00:30:00,bess_1_bus_001,0.7134,0.0,9.01,0.3
2012-07-08 01:00:00,bess_1_bus_001,0.759,0.0,8.61,0.29
2012-07-08 01:30:00,bess_1_bus_001,0.7132,0.0,8.23,0.27
2012-07-08 02:00:00,bess_1_bus_001,0.6887,0.0,7.87,0.26
2012-07-08 02:30:00,bess_1_bus_001,0.6288,0.0,7.54,0.25
2012-07-08 03:00:00,bess_1_bus_001,0.6649,0.0,7.19,0.24
2012-07-08 03:30:00,bess_1_bus_001,0.6701,0.0,6.84,0.23
2012-07-08 04:00:00,bess_1_bus_001,0.6457,0.0,6.5,0.22
2012-07-08 04:30:00,bess_1_bus_001,0.6087,0.0,6.18,0.21
2012-07-08 05:00:00,bess_1_bus_001,0.6362,0.0,5.84,0.19
2012-07-08 05:30:00,bess_1_bus_001,0.6158,0.0,5.52,0.18
2012-07-08 06:00:00,bess_1_bus_001,0.4504,0.0,5.28,0.18
