Timestep,Bess_Id,P(kW),Q(kVar),E(kWh),SOC
2012-07-07 06:00:00,bess_1_bus_005,-0.0,-0.0,15.0,0.5
2012-07-07 06:30:00,bess_1_bus_005,-0.0,-0.0,15.0,0.5
2012-07-07 07:00:00,bess_1_bus_005,-0.0,-0.0,15.0,0.5
2012-07-07 07:30:00,bess_1_bus_005,2.2418,-0.0001,13.82,0.46
2012-07-07 08:00:00,bess_1_bus_005,0.4844,-0.0,13.57,0.45
2012-07-07 08:30:00,bess_1_bus_005,-0.5363,0.0,13.82,0.46
2012-07-07 09:00:00,bess_1_bus_005,-2.7396,0.0,15.12,0.5
2012-07-07 09:30:00,bess_1_bus_005,-2.6425,0.0,16.38,0.55
2012-07-07 10:00:00,bess_1_bus_005,-5.5331,0.0,19.0,0.63
2012-07-07 10:30:00,bess_1_bus_005,-5.1669,0.0,21.46,0.72
2012-07-07 11:00:00,bess_1_bus_005,-6.8922,0.0,24.73,0.82
2012-07-07 11:30:00,bess_1_bus_005,-4.5346,0.0,27.0,0.9
2012-07-07 12:00:00,bess_1_bus_005,-0.0,-0.0,27.0,0.9
2012-07-07 12:30:00,bess_1_bus_005,-0.0,-0.0,27.0,0.9
2012-07-07 13:00:00,bess_1_bus_005,-0.0,-0.0,27.0,0.9
2012-07-07 13:30:00,bess_1_bus_005,-0.0,-0.0,27.0,0.9
2012-07-07 14:00:00,bess_1_bus_005,-0.0,-0.0,27.0,0.9
2012-07-07 14:30:00,bess_1_bus_005,-0.0,-0.0,27.0,0.9
2012-07-07 15:00:00,bess_1_bus_005,-0.0,-0.0,27.0,0.9
2012-07-07 15:30:00,bess_1_bus_005,-0.0,-0.0,27.0,0.9
2012-07-07 16:00:00,bess_1_bus_005,0.8653,-0.0,26.54,0.88
2012-07-07 16:30:00,bess_1_bus_005,2.3081,-0.0001,25.33,0.84
2012-07-07 17:00:00,bess_1_bus_005,3.6406,0.0,23.41,0.78
2012-07-07 17:30:00,bess_1_bus_005,4.5301,0.0,21.03,0.7
2012-07-07 18:00:00,bess_1_bus_005,6.2212,0.0,17.76,0.59
2012-07-07 18:30:00,bess_1_bus_005,6.8739,0.0,14.14,0.47
2012-07-07 19:00:00,bess_1_bus_005,6.3308,0.0,10.81,0.36
2012-07-07 19:30:00,bess_1_bus_005,6.18,0.0,7.55,0.25
2012-07-07 20:00:00,bess_1_bus_005,6.1551,0.0,4.31,0.14
2012-07-07 20:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-07 21:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-07 21:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-07 22:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-07 22:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-07 23:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-07 23:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 00:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 00:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 01:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 01:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 02:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 02:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 03:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 03:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 04:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 04:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 05:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 05:30:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
2012-07-08 06:00:00,bess_1_bus_005,-0.0,-0.0,3.0,0.1
