Timestep,Bess_Id,P(kW),Q(kVar),E(kWh),SOC
2012-07-07 06:00:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 06:30:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 07:00:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 07:30:00,bess_1_bus_001,0.3228,0.0,14.83,0.49
2012-07-07 08:00:00,bess_1_bus_001,0.1464,0.0,14.75,0.49
2012-07-07 08:30:00,bess_1_bus_001,-0.0566,-0.0,14.78,0.49
2012-07-07 09:00:00,bess_1_bus_001,-0.1584,-0.0,14.86,0.5
2012-07-07 09:30:00,bess_1_bus_001,-0.2525,-0.0,14.98,0.5
2012-07-07 10:00:00,bess_1_bus_001,-0.2753,-0.0,15.11,0.5
2012-07-07 10:30:00,bess_1_bus_001,-0.0496,-0.0,15.13,0.5
2012-07-07 11:00:00,bess_1_bus_001,-0.5296,-0.0,15.38,0.51
2012-07-07 11:30:00,bess_1_bus_001,-0.5466,-0.0,15.64,0.52
2012-07-07 12:00:00,bess_1_bus_001,-0.337,-0.0,15.8,0.53
2012-07-07 12:30:00,bess_1_bus_001,-0.4045,-0.0,15.99,0.53
2012-07-07 13:00:00,bess_1_bus_001,-0.3326,-0.0,16.15,0.54
2012-07-07 13:30:00,bess_1_bus_001,-0.1936,-0.0,16.24,0.54
2012-07-07 14:00:00,bess_1_bus_001,-0.1724,-0.0,16.32,0.54
2012-07-07 14:30:00,bess_1_bus_001,0.011,0.0,16.32,0.54
2012-07-07 15:00:00,bess_1_bus_001,-0.0514,-0.0,16.34,0.54
2012-07-07 15:30:00,bess_1_bus_001,0.0335,0.0,16.33,0.54
2012-07-07 16:00:00,bess_1_bus_001,0.2799,0.0,16.18,0.54
2012-07-07 16:30:00,bess_1_bus_001,0.3906,0.0,15.97,0.53
2012-07-07 17:00:00,bess_1_bus_001,0.555,0.0,15.68,0.52
2012-07-07 17:30:00,bess_1_bus_001,0.5535,0.0,15.39,0.51
2012-07-07 18:00:00,bess_1_bus_001,0.4606,0.0,15.15,0.5
2012-07-07 18:30:00,bess_1_bus_001,0.7247,0.0,14.77,0.49
2012-07-07 19:00:00,bess_1_bus_001,0.436,0.0,14.54,0.48
2012-07-07 19:30:00,bess_1_bus_001,0.473,0.0,14.29,0.48
2012-07-07 20:00:00,bess_1_bus_001,0.5053,0.0,14.02,0.47
2012-07-07 20:30:00,bess_1_bus_001,0.5131,0.0,13.75,0.46
2012-07-07 21:00:00,bess_1_bus_001,0.5335,0.0,13.47,0.45
2012-07-07 21:30:00,bess_1_bus_001,0.546,0.0,13.18,0.44
2012-07-07 22:00:00,bess_1_bus_001,0.472,0.0,12.93,0.43
2012-07-07 22:30:00,bess_1_bus_001,0.267,0.0,12.79,0.43
2012-07-07 23:00:00,bess_1_bus_001,0.3567,0.0,12.61,0.42
2012-07-07 23:30:00,bess_1_bus_001,0.3166,0.0,12.44,0.41
2012-07-08 00:00:00,bess_1_bus_001,0.3172,0.0,12.27,0.41
2012-07-08 00:30:00,bess_1_bus_001,0.2934,0.0,12.12,0.4
2012-07-08 01:00:00,bess_1_bus_001,0.339,0.0,11.94,0.4
2012-07-08 01:30:00,bess_1_bus_001,0.2932,0.0,11.79,0.39
2012-07-08 02:00:00,bess_1_bus_001,0.2687,0.0,11.64,0.39
2012-07-08 02:30:00,bess_1_bus_001,0.2088,0.0,11.53,0.38
2012-07-08 03:00:00,bess_1_bus_001,0.2449,0.0,11.41,0.38
2012-07-08 03:30:00,bess_1_bus_001,0.2501,0.0,11.27,0.38
2012-07-08 04:00:00,bess_1_bus_001,0.2257,0.0,11.15,0.37
2012-07-08 04:30:00,bess_1_bus_001,0.1887,0.0,11.06,0.37
2012-07-08 05:00:00,bess_1_bus_001,0.2162,0.0,10.94,0.36
2012-07-08 05:30:00,bess_1_bus_001,0.3008,0.0,10.78,0.36
2012-07-08 06:00:00,bess_1_bus_001,0.3105,0.0,10.62,0.35
