Timestep,Bess_Id,P(kW),Q(kVar),E(kWh),SOC
2012-07-07 06:00:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 06:30:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 07:00:00,bess_1_bus_001,-0.0,-0.0,15.0,0.5
2012-07-07 07:30:00,bess_1_bus_001,0.0321,0.0,14.98,0.5
2012-07-07 08:00:00,bess_1_bus_001,0.0089,0.0,14.98,0.5
2012-07-07 08:30:00,bess_1_bus_001,-0.0337,-0.0,14.99,0.5
2012-07-07 09:00:00,bess_1_bus_001,-0.0026,-0.0,15.0,0.5
2012-07-07 09:30:00,bess_1_bus_001,-0.0238,-0.0,15.01,0.5
2012-07-07 10:00:00,bess_1_bus_001,-0.0828,-0.0,15.05,0.5
2012-07-07 10:30:00,bess_1_bus_001,0.2352,0.0,14.92,0.5
2012-07-07 11:00:00,bess_1_bus_001,-0.1543,-0.0,15.0,0.5
2012-07-07 11:30:00,bess_1_bus_001,-0.0755,-0.0,15.03,0.5
2012-07-07 12:00:00,bess_1_bus_001,0.0924,0.0,14.98,0.5
2012-07-07 12:30:00,bess_1_bus_001,-0.0465,-0.0,15.01,0.5
2012-07-07 13:00:00,bess_1_bus_001,-0.0224,-0.0,15.02,0.5
2012-07-07 13:30:00,bess_1_bus_001,0.0393,0.0,15.0,0.5
2012-07-07 14:00:00,bess_1_bus_001,-0.0541,-0.0,15.02,0.5
2012-07-07 14:30:00,bess_1_bus_001,0.0819,0.0,14.98,0.5
2012-07-07 15:00:00,bess_1_bus_001,-0.0491,-0.0,15.0,0.5
2012-07-07 15:30:00,bess_1_bus_001,-0.0538,-0.0,15.03,0.5
2012-07-07 16:00:00,bess_1_bus_001,0.0452,0.0,15.0,0.5
2012-07-07 16:30:00,bess_1_bus_001,-0.0179,-0.0,15.01,0.5
2012-07-07 17:00:00,bess_1_bus_001,0.0553,0.0,14.98,0.5
2012-07-07 17:30:00,bess_1_bus_001,0.0305,0.0,14.97,0.5
2012-07-07 18:00:00,bess_1_bus_001,-0.119,-0.0,15.02,0.5
2012-07-07 18:30:00,bess_1_bus_001,0.1843,0.0,14.93,0.5
2012-07-07 19:00:00,bess_1_bus_001,-0.1086,-0.0,14.98,0.5
2012-07-07 19:30:00,bess_1_bus_001,0.0016,0.0,14.98,0.5
2012-07-07 20:00:00,bess_1_bus_001,0.0082,0.0,14.97,0.5
2012-07-07 20:30:00,bess_1_bus_001,-0.0042,-0.0,14.97,0.5
2012-07-07 21:00:00,bess_1_bus_001,0.0026,0.0,14.97,0.5
2012-07-07 21:30:00,bess_1_bus_001,0.0288,0.0,14.96,0.5
2012-07-07 22:00:00,bess_1_bus_001,0.0437,0.0,14.93,0.5
2012-07-07 22:30:00,bess_1_bus_001,-0.0982,-0.0,14.98,0.5
2012-07-07 23:00:00,bess_1_bus_001,0.0433,0.0,14.96,0.5
2012-07-07 23:30:00,bess_1_bus_001,-0.0136,-0.0,14.96,0.5
2012-07-08 00:00:00,bess_1_bus_001,0.0081,0.0,14.96,0.5
2012-07-08 00:30:00,bess_1_bus_001,-0.0231,-0.0,14.97,0.5
2012-07-08 01:00:00,bess_1_bus_001,0.0305,0.0,14.96,0.5
2012-07-08 01:30:00,bess_1_bus_001,-0.0071,-0.0,14.96,0.5
2012-07-08 02:00:00,bess_1_bus_001,0.0118,0.0,14.95,0.5
2012-07-08 02:30:00,bess_1_bus_001,-0.032,-0.0,14.97,0.5
2012-07-08 03:00:00,bess_1_bus_001,0.0103,0.0,14.96,0.5
2012-07-08 03:30:00,bess_1_bus_001,0.0099,0.0,14.96,0.5
2012-07-08 04:00:00,bess_1_bus_001,0.0042,0.0,14.96,0.5
2012-07-08 04:30:00,bess_1_bus_001,-0.0215,-0.0,14.97,0.5
2012-07-08 05:00:00,bess_1_bus_001,-0.019,-0.0,14.97,0.5
2012-07-08 05:30:00,bess_1_bus_001,0.025,0.0,14.96,0.5
2012-07-08 06:00:00,bess_1_bus_001,-0.0202,-0.0,14.97,0.5
