Timestep,Bess_Id,P(kW),E(kWh),SOC
2012-07-07 06:00:00,1,0,15.0,0.5
2012-07-07 06:30:00,1,0,15.0,0.5
2012-07-07 07:00:00,1,0,15.0,0.5
2012-07-07 07:30:00,1,0.2594,14.8635,0.4954
2012-07-07 08:00:00,1,-0.0576,14.8938,0.4965
2012-07-07 08:30:00,1,-0.128,14.9612,0.4987
2012-07-07 09:00:00,1,-0.2178,15.0758,0.5025
2012-07-07 09:30:00,1,-0.3143,15.2412,0.508
2012-07-07 10:00:00,1,-0.3482,15.4245,0.5141
2012-07-07 10:30:00,1,-0.4152,15.643,0.5214
2012-07-07 11:00:00,1,-0.4642,15.8873,0.5296
2012-07-07 11:30:00,1,-0.4851,16.1426,0.5381
2012-07-07 12:00:00,1,-0.3035,16.3024,0.5434
2012-07-07 12:30:00,1,-0.3439,16.4834,0.5494
2012-07-07 13:00:00,1,-0.3421,16.6634,0.5554
2012-07-07 13:30:00,1,-0.1715,16.7537,0.5585
2012-07-07 14:00:00,1,-0.2529,16.8868,0.5629
2012-07-07 14:30:00,1,-0.1269,16.9536,0.5651
2012-07-07 15:00:00,1,-0.1544,17.0348,0.5678
2012-07-07 15:30:00,1,-0.0381,17.0549,0.5685
2012-07-07 16:00:00,1,0.1136,16.9951,0.5665
2012-07-07 16:30:00,1,0.141,16.9209,0.564
2012-07-07 17:00:00,1,0.3307,16.7468,0.5582
2012-07-07 17:30:00,1,0.2728,16.6033,0.5534
2012-07-07 18:00:00,1,0.1984,16.4988,0.55
2012-07-07 18:30:00,1,0.3237,16.3285,0.5443
2012-07-07 19:00:00,1,0.1699,16.2391,0.5413
2012-07-07 19:30:00,1,0.2667,16.0987,0.5366
2012-07-07 20:00:00,1,0.2343,15.9754,0.5325
2012-07-07 20:30:00,1,0.204,15.868,0.5289
2012-07-07 21:00:00,1,0.2778,15.7218,0.5241
2012-07-07 21:30:00,1,0.2577,15.5862,0.5195
2012-07-07 22:00:00,1,0.2644,15.447,0.5149
2012-07-07 22:30:00,1,0.0973,15.3958,0.5132
2012-07-07 23:00:00,1,0.2346,15.2723,0.5091
2012-07-07 23:30:00,1,0.1341,15.2017,0.5067
2012-07-08 00:00:00,1,0.1778,15.1082,0.5036
2012-07-08 00:30:00,1,0.1494,15.0295,0.501
2012-07-08 01:00:00,1,0.1912,14.9289,0.4976
2012-07-08 01:30:00,1,0.1489,14.8505,0.495
2012-07-08 02:00:00,1,0.1469,14.7732,0.4924
2012-07-08 02:30:00,1,0.1043,14.7183,0.4906
2012-07-08 03:00:00,1,0.1241,14.653,0.4884
2012-07-08 03:30:00,1,0.1364,14.5812,0.486
2012-07-08 04:00:00,1,0.1229,14.5165,0.4839
2012-07-08 04:30:00,1,0.0902,14.4691,0.4823
2012-07-08 05:00:00,1,0.1209,14.4054,0.4802
2012-07-08 05:30:00,1,0.1484,14.3273,0.4776
2012-07-08 06:00:00,1,0.1629,14.2416,0.4747
