Timestep,Bess_Id,P(kW),E(kWh),SOC
2012-07-07 06:00:00,1,0,15.0,0.5
2012-07-07 06:30:00,1,0,15.0,0.5
2012-07-07 07:00:00,1,0,15.0,0.5
2012-07-07 07:30:00,1,0.1595,14.9161,0.4972
2012-07-07 08:00:00,1,0.0463,14.8917,0.4964
2012-07-07 08:30:00,1,-0.1512,14.9635,0.4988
2012-07-07 09:00:00,1,-0.2692,15.0914,0.503
2012-07-07 09:30:00,1,-0.4016,15.2821,0.5094
2012-07-07 10:00:00,1,-0.4741,15.5073,0.5169
2012-07-07 10:30:00,1,-0.5547,15.7708,0.5257
2012-07-07 11:00:00,1,-0.6305,16.0703,0.5357
2012-07-07 11:30:00,1,-0.671,16.389,0.5463
2012-07-07 12:00:00,1,-0.4978,16.6255,0.5542
2012-07-07 12:30:00,1,-0.4655,16.8466,0.5616
2012-07-07 13:00:00,1,-0.4799,17.0745,0.5692
2012-07-07 13:30:00,1,-0.3085,17.2211,0.574
2012-07-07 14:00:00,1,-0.3217,17.3739,0.5791
2012-07-07 14:30:00,1,-0.2282,17.4823,0.5827
2012-07-07 15:00:00,1,-0.2053,17.5798,0.586
2012-07-07 15:30:00,1,-0.1001,17.6274,0.5876
2012-07-07 16:00:00,1,0.0981,17.5757,0.5859
2012-07-07 16:30:00,1,0.1865,17.4776,0.5826
2012-07-07 17:00:00,1,0.3872,17.2738,0.5758
2012-07-07 17:30:00,1,0.4051,17.0606,0.5687
2012-07-07 18:00:00,1,0.3077,16.8986,0.5633
2012-07-07 18:30:00,1,0.4031,16.6865,0.5562
2012-07-07 19:00:00,1,0.2994,16.5289,0.551
2012-07-07 19:30:00,1,0.3348,16.3527,0.5451
2012-07-07 20:00:00,1,0.341,16.1732,0.5391
2012-07-07 20:30:00,1,0.2978,16.0165,0.5339
2012-07-07 21:00:00,1,0.3595,15.8272,0.5276
2012-07-07 21:30:00,1,0.369,15.633,0.5211
2012-07-07 22:00:00,1,0.3675,15.4396,0.5147
2012-07-07 22:30:00,1,0.2032,15.3327,0.5111
2012-07-07 23:00:00,1,0.2737,15.1886,0.5063
2012-07-07 23:30:00,1,0.2281,15.0686,0.5023
2012-07-08 00:00:00,1,0.2315,14.9467,0.4982
2012-07-08 00:30:00,1,0.2207,14.8306,0.4944
2012-07-08 01:00:00,1,0.2511,14.6984,0.4899
2012-07-08 01:30:00,1,0.2255,14.5797,0.486
2012-07-08 02:00:00,1,0.2066,14.471,0.4824
2012-07-08 02:30:00,1,0.1632,14.3851,0.4795
2012-07-08 03:00:00,1,0.166,14.2977,0.4766
2012-07-08 03:30:00,1,0.1861,14.1998,0.4733
2012-07-08 04:00:00,1,0.1775,14.1064,0.4702
2012-07-08 04:30:00,1,0.1395,14.0329,0.4678
2012-07-08 05:00:00,1,0.1571,13.9502,0.465
2012-07-08 05:30:00,1,0.1969,13.8466,0.4616
2012-07-08 06:00:00,1,0.2224,13.7296,0.4577
