Timestep,Bess_Id,P(kW),Q(kVar),E(kWh),SOC
2012-07-07 06:00:00,bess_1_bus_004,-0.0,-0.0,15.0,0.5
2012-07-07 06:30:00,bess_1_bus_004,-0.0,-0.0,15.0,0.5
2012-07-07 07:00:00,bess_1_bus_004,-0.0,-0.0,15.0,0.5
2012-07-07 07:30:00,bess_1_bus_004,0.1594,-0.0,14.92,0.5
2012-07-07 08:00:00,bess_1_bus_004,0.0463,-0.0,14.89,0.5
2012-07-07 08:30:00,bess_1_bus_004,-0.1512,-0.0,14.96,0.5
2012-07-07 09:00:00,bess_1_bus_004,-0.2691,-0.0,15.09,0.5
2012-07-07 09:30:00,bess_1_bus_004,-0.4015,-0.0,15.28,0.51
2012-07-07 10:00:00,bess_1_bus_004,-0.474,-0.0,15.51,0.52
2012-07-07 10:30:00,bess_1_bus_004,-0.5546,-0.0,15.77,0.53
2012-07-07 11:00:00,bess_1_bus_004,-0.6303,-0.0,16.07,0.54
2012-07-07 11:30:00,bess_1_bus_004,-0.6708,-0.0,16.39,0.55
2012-07-07 12:00:00,bess_1_bus_004,-0.4976,-0.0,16.63,0.55
2012-07-07 12:30:00,bess_1_bus_004,-0.4654,-0.0,16.85,0.56
2012-07-07 13:00:00,bess_1_bus_004,-0.4798,-0.0,17.07,0.57
2012-07-07 13:30:00,bess_1_bus_004,-0.3085,-0.0,17.22,0.57
2012-07-07 14:00:00,bess_1_bus_004,-0.3216,-0.0,17.37,0.58
2012-07-07 14:30:00,bess_1_bus_004,-0.2282,-0.0,17.48,0.58
2012-07-07 15:00:00,bess_1_bus_004,-0.2053,-0.0,17.58,0.59
2012-07-07 15:30:00,bess_1_bus_004,-0.1,-0.0,17.63,0.59
2012-07-07 16:00:00,bess_1_bus_004,0.0982,-0.0,17.58,0.59
2012-07-07 16:30:00,bess_1_bus_004,0.1865,-0.0,17.48,0.58
2012-07-07 17:00:00,bess_1_bus_004,0.3872,-0.0,17.27,0.58
2012-07-07 17:30:00,bess_1_bus_004,0.4052,-0.0,17.06,0.57
2012-07-07 18:00:00,bess_1_bus_004,0.3077,-0.0,16.9,0.56
2012-07-07 18:30:00,bess_1_bus_004,0.4032,-0.0,16.69,0.56
2012-07-07 19:00:00,bess_1_bus_004,0.2995,-0.0,16.53,0.55
2012-07-07 19:30:00,bess_1_bus_004,0.3348,-0.0,16.35,0.55
2012-07-07 20:00:00,bess_1_bus_004,0.3411,-0.0,16.17,0.54
2012-07-07 20:30:00,bess_1_bus_004,0.2978,-0.0,16.02,0.53
2012-07-07 21:00:00,bess_1_bus_004,0.3595,-0.0,15.83,0.53
2012-07-07 21:30:00,bess_1_bus_004,0.369,-0.0,15.63,0.52
2012-07-07 22:00:00,bess_1_bus_004,0.3676,-0.0,15.44,0.51
2012-07-07 22:30:00,bess_1_bus_004,0.2032,-0.0,15.33,0.51
2012-07-07 23:00:00,bess_1_bus_004,0.2737,-0.0,15.19,0.51
2012-07-07 23:30:00,bess_1_bus_004,0.2281,-0.0,15.07,0.5
2012-07-08 00:00:00,bess_1_bus_004,0.2316,-0.0,14.95,0.5
2012-07-08 00:30:00,bess_1_bus_004,0.2207,-0.0,14.83,0.49
2012-07-08 01:00:00,bess_1_bus_004,0.2511,-0.0,14.7,0.49
2012-07-08 01:30:00,bess_1_bus_004,0.2255,-0.0,14.58,0.49
2012-07-08 02:00:00,bess_1_bus_004,0.2066,-0.0,14.47,0.48
2012-07-08 02:30:00,bess_1_bus_004,0.1632,-0.0,14.38,0.48
2012-07-08 03:00:00,bess_1_bus_004,0.166,-0.0,14.3,0.48
2012-07-08 03:30:00,bess_1_bus_004,0.1861,-0.0,14.2,0.47
2012-07-08 04:00:00,bess_1_bus_004,0.1775,-0.0,14.11,0.47
2012-07-08 04:30:00,bess_1_bus_004,0.1395,-0.0,14.03,0.47
2012-07-08 05:00:00,bess_1_bus_004,0.1571,-0.0,13.95,0.46
2012-07-08 05:30:00,bess_1_bus_004,0.1969,-0.0,13.85,0.46
2012-07-08 06:00:00,bess_1_bus_004,0.2224,-0.0,13.73,0.46
