Timestep,Bess_Id,P(kW),E(kWh),SOC
2012-07-07 06:00:00,1,0,15.0,0.5
2012-07-07 06:30:00,1,0,15.0,0.5
2012-07-07 07:00:00,1,0,15.0,0.5
2012-07-07 07:30:00,1,-0.0245,15.0129,0.5004
2012-07-07 08:00:00,1,-0.072,15.0508,0.5017
2012-07-07 08:30:00,1,-0.1344,15.1216,0.5041
2012-07-07 09:00:00,1,-0.1038,15.1762,0.5059
2012-07-07 09:30:00,1,-0.1381,15.2489,0.5083
2012-07-07 10:00:00,1,-0.09,15.2963,0.5099
2012-07-07 10:30:00,1,-0.1212,15.36,0.512
2012-07-07 11:00:00,1,-0.1159,15.4211,0.514
2012-07-07 11:30:00,1,-0.0817,15.4641,0.5155
2012-07-07 12:00:00,1,0.0288,15.4489,0.515
2012-07-07 12:30:00,1,-0.0487,15.4746,0.5158
2012-07-07 13:00:00,1,-0.0388,15.495,0.5165
2012-07-07 13:30:00,1,0.043,15.4724,0.5157
2012-07-07 14:00:00,1,-0.042,15.4945,0.5165
2012-07-07 14:30:00,1,0.0402,15.4733,0.5158
2012-07-07 15:00:00,1,-0.0167,15.4821,0.5161
2012-07-07 15:30:00,1,0.0903,15.4346,0.5145
2012-07-07 16:00:00,1,0.16,15.3504,0.5117
2012-07-07 16:30:00,1,0.0803,15.3081,0.5103
2012-07-07 17:00:00,1,0.1937,15.2062,0.5069
2012-07-07 17:30:00,1,0.045,15.1825,0.5061
2012-07-07 18:00:00,1,0.0312,15.1661,0.5055
2012-07-07 18:30:00,1,0.1781,15.0723,0.5024
2012-07-07 19:00:00,1,-0.0151,15.0803,0.5027
2012-07-07 19:30:00,1,0.1221,15.016,0.5005
2012-07-07 20:00:00,1,0.0467,14.9915,0.4997
2012-07-07 20:30:00,1,0.0554,14.9623,0.4987
2012-07-07 21:00:00,1,0.1188,14.8998,0.4967
2012-07-07 21:30:00,1,0.1164,14.8385,0.4946
2012-07-07 22:00:00,1,0.0721,14.8006,0.4934
2012-07-07 22:30:00,1,-0.0039,14.8027,0.4934
2012-07-07 23:00:00,1,0.1324,14.733,0.4911
2012-07-07 23:30:00,1,0.0284,14.718,0.4906
2012-07-08 00:00:00,1,0.0786,14.6766,0.4892
2012-07-08 00:30:00,1,0.0071,14.6729,0.4891
2012-07-08 01:00:00,1,0.071,14.6355,0.4879
2012-07-08 01:30:00,1,-0.0034,14.6374,0.4879
2012-07-08 02:00:00,1,0.0199,14.6269,0.4876
2012-07-08 02:30:00,1,-0.0053,14.6297,0.4877
2012-07-08 03:00:00,1,0.0195,14.6194,0.4873
2012-07-08 03:30:00,1,0.0213,14.6082,0.4869
2012-07-08 04:00:00,1,0.0097,14.6031,0.4868
2012-07-08 04:30:00,1,-0.0103,14.6085,0.487
2012-07-08 05:00:00,1,0.015,14.6007,0.4867
2012-07-08 05:30:00,1,0.0197,14.5903,0.4863
2012-07-08 06:00:00,1,0.0153,14.5822,0.4861
