Timestep,Bess_Id,P(kW),Q(kVar),E(kWh),SOC
2012-07-07 06:00:00,bess_1_bus_004,-0.0,-0.0,15.0,0.5
2012-07-07 06:30:00,bess_1_bus_004,-0.0,-0.0,15.0,0.5
2012-07-07 07:00:00,bess_1_bus_004,-0.0,-0.0,15.0,0.5
2012-07-07 07:30:00,bess_1_bus_004,0.0362,-0.0,14.98,0.5
2012-07-07 08:00:00,bess_1_bus_004,0.0281,-0.0,14.97,0.5
2012-07-07 08:30:00,bess_1_bus_004,-0.0265,-0.0,14.98,0.5
2012-07-07 09:00:00,bess_1_bus_004,0.0048,-0.0,14.98,0.5
2012-07-07 09:30:00,bess_1_bus_004,-0.02,-0.0,14.99,0.5
2012-07-07 10:00:00,bess_1_bus_004,0.0027,-0.0,14.98,0.5
2012-07-07 10:30:00,bess_1_bus_004,-0.0016,-0.0,14.99,0.5
2012-07-07 11:00:00,bess_1_bus_004,-0.0117,-0.0,14.99,0.5
2012-07-07 11:30:00,bess_1_bus_004,-0.0712,-0.0,15.02,0.5
2012-07-07 12:00:00,bess_1_bus_004,0.047,-0.0,15.0,0.5
2012-07-07 12:30:00,bess_1_bus_004,0.0155,-0.0,14.99,0.5
2012-07-07 13:00:00,bess_1_bus_004,-0.0619,-0.0,15.02,0.5
2012-07-07 13:30:00,bess_1_bus_004,0.0615,-0.0,14.99,0.5
2012-07-07 14:00:00,bess_1_bus_004,-0.0355,-0.0,15.01,0.5
2012-07-07 14:30:00,bess_1_bus_004,0.0235,-0.0,14.99,0.5
2012-07-07 15:00:00,bess_1_bus_004,-0.0275,-0.0,15.01,0.5
2012-07-07 15:30:00,bess_1_bus_004,-0.031,-0.0,15.02,0.5
2012-07-07 16:00:00,bess_1_bus_004,0.0366,-0.0,15.0,0.5
2012-07-07 16:30:00,bess_1_bus_004,-0.0375,-0.0,15.02,0.5
2012-07-07 17:00:00,bess_1_bus_004,0.0609,-0.0,14.99,0.5
2012-07-07 17:30:00,bess_1_bus_004,0.0385,-0.0,14.97,0.5
2012-07-07 18:00:00,bess_1_bus_004,-0.0643,-0.0,15.0,0.5
2012-07-07 18:30:00,bess_1_bus_004,0.0664,-0.0,14.96,0.5
2012-07-07 19:00:00,bess_1_bus_004,-0.0463,-0.0,14.98,0.5
2012-07-07 19:30:00,bess_1_bus_004,0.0097,-0.0,14.98,0.5
2012-07-07 20:00:00,bess_1_bus_004,0.0165,-0.0,14.97,0.5
2012-07-07 20:30:00,bess_1_bus_004,-0.035,-0.0,14.99,0.5
2012-07-07 21:00:00,bess_1_bus_004,0.0174,-0.0,14.98,0.5
2012-07-07 21:30:00,bess_1_bus_004,0.0036,-0.0,14.98,0.5
2012-07-07 22:00:00,bess_1_bus_004,0.0543,-0.0,14.95,0.5
2012-07-07 22:30:00,bess_1_bus_004,-0.0783,-0.0,14.99,0.5
2012-07-07 23:00:00,bess_1_bus_004,0.0387,-0.0,14.96,0.5
2012-07-07 23:30:00,bess_1_bus_004,-0.0164,-0.0,14.97,0.5
2012-07-08 00:00:00,bess_1_bus_004,0.0048,-0.0,14.97,0.5
2012-07-08 00:30:00,bess_1_bus_004,-0.0138,-0.0,14.98,0.5
2012-07-08 01:00:00,bess_1_bus_004,0.0187,-0.0,14.97,0.5
2012-07-08 01:30:00,bess_1_bus_004,-0.0022,-0.0,14.97,0.5
2012-07-08 02:00:00,bess_1_bus_004,0.0082,-0.0,14.96,0.5
2012-07-08 02:30:00,bess_1_bus_004,-0.0154,-0.0,14.97,0.5
2012-07-08 03:00:00,bess_1_bus_004,-0.0058,-0.0,14.97,0.5
2012-07-08 03:30:00,bess_1_bus_004,0.0096,-0.0,14.97,0.5
2012-07-08 04:00:00,bess_1_bus_004,0.0098,-0.0,14.96,0.5
2012-07-08 04:30:00,bess_1_bus_004,-0.0185,-0.0,14.97,0.5
2012-07-08 05:00:00,bess_1_bus_004,-0.0074,-0.0,14.98,0.5
2012-07-08 05:30:00,bess_1_bus_004,0.0048,-0.0,14.97,0.5
2012-07-08 06:00:00,bess_1_bus_004,0.0053,-0.0,14.97,0.5
