Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,2.3176,0.1325,0.0641,0.0
2012-07-07 06:00:00,line_002_003,0.9021,0.0516,0.025,0.0
2012-07-07 06:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 06:30:00,line_001_002,4.126,0.2358,0.1142,0.0
2012-07-07 06:30:00,line_002_003,0.4511,0.0258,0.0125,0.0
2012-07-07 06:30:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 07:00:00,line_001_002,1.494,0.0672,0.044,0.0
2012-07-07 07:00:00,line_002_003,0.7572,0.0433,0.0209,0.0
2012-07-07 07:00:00,line_003_004,0.0,0.0,-0.0,-0.0
2012-07-07 07:30:00,line_001_002,1.6578,0.0118,0.0549,0.0
2012-07-07 07:30:00,line_002_003,0.6927,0.0396,0.0192,0.0
2012-07-07 07:30:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 08:00:00,line_001_002,2.7875,-0.0264,0.0932,0.0
2012-07-07 08:00:00,line_002_003,2.2231,0.1271,0.0615,0.0
2012-07-07 08:00:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 08:30:00,line_001_002,3.8204,-0.2307,0.0541,0.0
2012-07-07 08:30:00,line_002_003,1.1599,0.0663,0.0321,0.0
2012-07-07 08:30:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 09:00:00,line_001_002,5.8555,-0.3673,0.0445,0.0
2012-07-07 09:00:00,line_002_003,0.9344,0.0534,0.0259,0.0
2012-07-07 09:00:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 09:30:00,line_001_002,7.4215,-0.4675,0.0466,0.0001
2012-07-07 09:30:00,line_002_003,0.5639,0.0322,0.0156,0.0
2012-07-07 09:30:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 10:00:00,line_001_002,8.637,-0.5445,0.0515,0.0001
2012-07-07 10:00:00,line_002_003,0.7411,0.0424,0.0205,0.0
2012-07-07 10:00:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 10:30:00,line_001_002,10.2622,-0.6505,0.0317,0.0001
2012-07-07 10:30:00,line_002_003,0.3222,0.0184,0.0089,0.0
2012-07-07 10:30:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 11:00:00,line_001_002,11.1279,-0.7061,0.0247,0.0001
2012-07-07 11:00:00,line_002_003,0.725,0.0414,0.0201,0.0
2012-07-07 11:00:00,line_003_004,0.0,0.0,-0.0,-0.0
2012-07-07 11:30:00,line_001_002,11.5515,-0.733,0.0234,0.0001
2012-07-07 11:30:00,line_002_003,0.3061,0.0175,0.0085,0.0
2012-07-07 11:30:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 12:00:00,line_001_002,9.537,-0.5928,0.0931,0.0001
2012-07-07 12:00:00,line_002_003,0.7411,0.0424,0.0205,0.0
2012-07-07 12:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 12:30:00,line_001_002,9.0413,-0.5538,0.1111,0.0001
2012-07-07 12:30:00,line_002_003,0.2739,0.0157,0.0076,0.0
2012-07-07 12:30:00,line_003_004,0.0,0.0,-0.0,-0.0
2012-07-07 13:00:00,line_001_002,9.4765,-0.5922,0.0813,0.0001
2012-07-07 13:00:00,line_002_003,0.725,0.0414,0.0201,0.0
2012-07-07 13:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 13:30:00,line_001_002,7.4828,-0.4352,0.1325,0.0001
2012-07-07 13:30:00,line_002_003,0.29,0.0166,0.008,0.0
2012-07-07 13:30:00,line_003_004,0.0,0.0,-0.0,-0.0
2012-07-07 14:00:00,line_001_002,7.523,-0.4595,0.0956,0.0001
2012-07-07 14:00:00,line_002_003,0.7572,0.0433,0.021,0.0
2012-07-07 14:00:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 14:30:00,line_001_002,6.1522,-0.3571,0.1098,0.0
2012-07-07 14:30:00,line_002_003,0.29,0.0166,0.008,0.0
2012-07-07 14:30:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 15:00:00,line_001_002,5.2837,-0.311,0.0884,0.0
2012-07-07 15:00:00,line_002_003,0.7572,0.0433,0.021,0.0
2012-07-07 15:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 15:30:00,line_001_002,4.1043,-0.2417,0.0684,0.0
2012-07-07 15:30:00,line_002_003,0.2739,0.0157,0.0076,0.0
2012-07-07 15:30:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 16:00:00,line_001_002,3.459,-0.0225,0.1157,0.0
2012-07-07 16:00:00,line_002_003,0.741,0.0424,0.0205,0.0
2012-07-07 16:00:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 16:30:00,line_001_002,3.0114,0.0598,0.0971,0.0
2012-07-07 16:30:00,line_002_003,0.3061,0.0175,0.0085,0.0
2012-07-07 16:30:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 17:00:00,line_001_002,4.3897,0.2171,0.1265,0.0
2012-07-07 17:00:00,line_002_003,0.7088,0.0405,0.0196,0.0
2012-07-07 17:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 17:30:00,line_001_002,4.8415,0.274,0.1344,0.0
2012-07-07 17:30:00,line_002_003,0.3866,0.0221,0.0107,0.0
2012-07-07 17:30:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 18:00:00,line_001_002,3.5599,0.2035,0.0985,0.0
2012-07-07 18:00:00,line_002_003,0.5799,0.0331,0.016,0.0
2012-07-07 18:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 18:30:00,line_001_002,5.3616,0.3065,0.1484,0.0
2012-07-07 18:30:00,line_002_003,0.5316,0.0304,0.0147,0.0
2012-07-07 18:30:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 19:00:00,line_001_002,3.9015,0.223,0.108,0.0
2012-07-07 19:00:00,line_002_003,0.4994,0.0285,0.0138,0.0
2012-07-07 19:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 19:30:00,line_001_002,4.3495,0.2486,0.1204,0.0
2012-07-07 19:30:00,line_002_003,0.6122,0.035,0.0169,0.0
2012-07-07 19:30:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 20:00:00,line_001_002,4.2885,0.2451,0.1187,0.0
2012-07-07 20:00:00,line_002_003,0.7249,0.0414,0.0201,0.0
2012-07-07 20:00:00,line_003_004,0.0,0.0,-0.0,-0.0
2012-07-07 20:30:00,line_001_002,3.8468,0.2199,0.1065,0.0
2012-07-07 20:30:00,line_002_003,0.5316,0.0304,0.0147,0.0
2012-07-07 20:30:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 21:00:00,line_001_002,4.8469,0.277,0.1342,0.0
2012-07-07 21:00:00,line_002_003,0.886,0.0506,0.0245,0.0
2012-07-07 21:00:00,line_003_004,0.0,0.0,-0.0,-0.0
2012-07-07 21:30:00,line_001_002,4.777,0.273,0.1322,0.0
2012-07-07 21:30:00,line_002_003,0.4188,0.0239,0.0116,0.0
2012-07-07 21:30:00,line_003_004,0.0,0.0,-0.0,0.0
2012-07-07 22:00:00,line_001_002,5.0539,0.2889,0.1399,0.0
2012-07-07 22:00:00,line_002_003,1.031,0.0589,0.0285,0.0
2012-07-07 22:00:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 22:30:00,line_001_002,2.0988,0.12,0.0581,0.0
2012-07-07 22:30:00,line_002_003,0.435,0.0249,0.012,0.0
2012-07-07 22:30:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 23:00:00,line_001_002,3.0835,0.1762,0.0853,0.0
2012-07-07 23:00:00,line_002_003,1.0471,0.0598,0.029,0.0
2012-07-07 23:00:00,line_003_004,0.0,0.0,-0.0,0.0
