Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,2.3176,0.1325,0.0641,0.0
2012-07-07 06:00:00,line_002_003,0.9021,0.0516,0.025,0.0
2012-07-07 06:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 06:30:00,line_001_002,4.126,0.2358,0.1142,0.0
2012-07-07 06:30:00,line_002_003,0.4511,0.0258,0.0125,0.0
2012-07-07 06:30:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 07:00:00,line_001_002,1.494,0.0672,0.044,0.0
2012-07-07 07:00:00,line_002_003,0.7572,0.0433,0.0209,0.0
2012-07-07 07:00:00,line_003_004,0.0,0.0,-0.0,-0.0
2012-07-07 07:30:00,line_001_002,2.6582,-0.1479,0.0545,0.0
2012-07-07 07:30:00,line_002_003,1.9321,-0.1201,0.0188,0.0
2012-07-07 07:30:00,line_003_004,2.5147,-0.1597,-0.0004,0.0
2012-07-07 08:00:00,line_001_002,2.8728,-0.073,0.0928,0.0
2012-07-07 08:00:00,line_002_003,2.0351,0.0804,0.0611,0.0
2012-07-07 08:00:00,line_003_004,0.7342,-0.0466,-0.0004,0.0
2012-07-07 08:30:00,line_001_002,1.8874,-0.0797,0.0537,0.0
2012-07-07 08:30:00,line_002_003,3.4686,0.2173,0.0317,0.0
2012-07-07 08:30:00,line_003_004,2.3775,0.151,-0.0004,0.0
2012-07-07 09:00:00,line_001_002,1.8851,-0.0984,0.0441,0.0
2012-07-07 09:00:00,line_002_003,5.0973,0.3223,0.0255,0.0
2012-07-07 09:00:00,line_003_004,4.2344,0.2689,-0.0004,0.0
2012-07-07 09:30:00,line_001_002,1.6044,-0.0662,0.0462,0.0
2012-07-07 09:30:00,line_002_003,6.8336,0.4336,0.0153,0.0001
2012-07-07 09:30:00,line_003_004,6.32,0.4013,-0.0003,0.0
2012-07-07 10:00:00,line_001_002,1.7553,-0.0707,0.0512,0.0
2012-07-07 10:00:00,line_002_003,8.1381,0.5163,0.0203,0.0001
2012-07-07 10:00:00,line_003_004,7.4621,0.4738,-0.0003,0.0001
2012-07-07 10:30:00,line_001_002,1.6761,-0.0961,0.0314,0.0
2012-07-07 10:30:00,line_002_003,9.0233,0.573,0.0087,0.0001
2012-07-07 10:30:00,line_003_004,8.7318,0.5545,-0.0003,0.0001
2012-07-07 11:00:00,line_001_002,1.3187,-0.0759,0.0244,0.0
2012-07-07 11:00:00,line_002_003,10.5838,0.6717,0.0199,0.0001
2012-07-07 11:00:00,line_003_004,9.9247,0.6302,-0.0003,0.0001
2012-07-07 11:30:00,line_001_002,1.1214,-0.0624,0.0231,0.0
2012-07-07 11:30:00,line_002_003,10.8394,0.6883,0.0083,0.0001
2012-07-07 11:30:00,line_003_004,10.5628,0.6707,-0.0003,0.0001
2012-07-07 12:00:00,line_001_002,2.97,-0.0954,0.0928,0.0
2012-07-07 12:00:00,line_002_003,8.5095,0.5399,0.0203,0.0001
2012-07-07 12:00:00,line_003_004,7.834,0.4975,-0.0003,0.0001
2012-07-07 12:30:00,line_001_002,3.4337,-0.0886,0.1108,0.0
2012-07-07 12:30:00,line_002_003,7.5744,0.481,0.0073,0.0001
2012-07-07 12:30:00,line_003_004,7.3266,0.4652,-0.0003,0.0001
2012-07-07 13:00:00,line_001_002,2.782,-0.1126,0.081,0.0
2012-07-07 13:00:00,line_002_003,8.2144,0.5211,0.0198,0.0001
2012-07-07 13:00:00,line_003_004,7.5535,0.4796,-0.0003,0.0001
2012-07-07 13:30:00,line_001_002,4.1841,-0.1269,0.1321,0.0
2012-07-07 13:30:00,line_002_003,5.118,0.3249,0.0077,0.0
2012-07-07 13:30:00,line_003_004,4.855,0.3083,-0.0004,0.0
2012-07-07 14:00:00,line_001_002,3.316,-0.1381,0.0952,0.0
2012-07-07 14:00:00,line_002_003,5.7558,0.3647,0.0206,0.0
2012-07-07 14:00:00,line_003_004,5.0613,0.3214,-0.0003,0.0
2012-07-07 14:30:00,line_001_002,3.5983,-0.1292,0.1094,0.0
2012-07-07 14:30:00,line_002_003,3.8539,0.2446,0.0077,0.0
2012-07-07 14:30:00,line_003_004,3.5902,0.228,-0.0004,0.0
2012-07-07 15:00:00,line_001_002,2.9071,-0.1059,0.088,0.0
2012-07-07 15:00:00,line_002_003,3.9295,0.2484,0.0206,0.0
2012-07-07 15:00:00,line_003_004,3.2295,0.2051,-0.0004,0.0
2012-07-07 15:30:00,line_001_002,2.7937,-0.1419,0.068,0.0
2012-07-07 15:30:00,line_002_003,1.8226,0.1154,0.0072,0.0
2012-07-07 15:30:00,line_003_004,1.5711,0.0998,-0.0004,0.0
2012-07-07 16:00:00,line_001_002,3.7047,-0.121,0.1153,0.0
2012-07-07 16:00:00,line_002_003,1.0022,-0.0562,0.0201,0.0
2012-07-07 16:00:00,line_003_004,1.5513,-0.0985,-0.0004,0.0
2012-07-07 16:30:00,line_001_002,3.2679,-0.1269,0.0968,0.0
2012-07-07 16:30:00,line_002_003,2.6707,-0.1693,0.0081,0.0
2012-07-07 16:30:00,line_003_004,2.9413,-0.1868,-0.0004,0.0
2012-07-07 17:00:00,line_001_002,4.2946,-0.1703,0.1262,0.0
2012-07-07 17:00:00,line_002_003,5.4759,-0.3469,0.0193,0.0
2012-07-07 17:00:00,line_003_004,6.1005,-0.3875,-0.0004,0.0
2012-07-07 17:30:00,line_001_002,4.2587,-0.1314,0.1341,0.0
2012-07-07 17:30:00,line_002_003,6.0392,-0.3833,0.0104,0.0
2012-07-07 17:30:00,line_003_004,6.3838,-0.4055,-0.0004,0.0
2012-07-07 18:00:00,line_001_002,3.162,-0.1045,0.0982,0.0
2012-07-07 18:00:00,line_002_003,4.3385,-0.2748,0.0157,0.0
2012-07-07 18:00:00,line_003_004,4.8492,-0.308,-0.0004,0.0
2012-07-07 18:30:00,line_001_002,4.5215,-0.097,0.1481,0.0
2012-07-07 18:30:00,line_002_003,5.8808,-0.373,0.0144,0.0
2012-07-07 18:30:00,line_003_004,6.3524,-0.4035,-0.0004,0.0
2012-07-07 19:00:00,line_001_002,3.3061,-0.0768,0.1077,0.0
2012-07-07 19:00:00,line_002_003,4.279,-0.2712,0.0135,0.0
2012-07-07 19:00:00,line_003_004,4.7202,-0.2998,-0.0004,0.0
2012-07-07 19:30:00,line_001_002,3.6891,-0.0864,0.1201,0.0
2012-07-07 19:30:00,line_002_003,4.7364,-0.3001,0.0166,0.0
2012-07-07 19:30:00,line_003_004,5.2758,-0.3351,-0.0004,0.0
2012-07-07 20:00:00,line_001_002,3.6747,-0.0962,0.1184,0.0
2012-07-07 20:00:00,line_002_003,4.7389,-0.2999,0.0197,0.0
2012-07-07 20:00:00,line_003_004,5.375,-0.3414,-0.0004,0.0
2012-07-07 20:30:00,line_001_002,3.2674,-0.0782,0.1061,0.0
2012-07-07 20:30:00,line_002_003,4.2246,-0.2677,0.0144,0.0
2012-07-07 20:30:00,line_003_004,4.6934,-0.2981,-0.0004,0.0
2012-07-07 21:00:00,line_001_002,4.074,-0.0827,0.1338,0.0
2012-07-07 21:00:00,line_002_003,4.8914,-0.3091,0.0242,0.0
2012-07-07 21:00:00,line_003_004,5.6646,-0.3598,-0.0004,0.0
2012-07-07 21:30:00,line_001_002,4.0564,-0.0962,0.1319,0.0
2012-07-07 21:30:00,line_002_003,5.4416,-0.3453,0.0113,0.0
2012-07-07 21:30:00,line_003_004,5.8141,-0.3693,-0.0004,0.0
2012-07-07 22:00:00,line_001_002,4.2317,-0.079,0.1396,0.0
2012-07-07 22:00:00,line_002_003,4.8976,-0.3089,0.0282,0.0
2012-07-07 22:00:00,line_003_004,5.7922,-0.3679,-0.0004,0.0
2012-07-07 22:30:00,line_001_002,2.0096,-0.0835,0.0577,0.0
2012-07-07 22:30:00,line_002_003,2.8224,-0.1786,0.0117,0.0
2012-07-07 22:30:00,line_003_004,3.2042,-0.2035,-0.0004,0.0
