Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,2.3176,0.1325,0.0641,0.0
2012-07-07 06:00:00,line_002_003,0.9021,0.0516,0.025,0.0
2012-07-07 06:00:00,line_003_004,0.0,-0.0,-0.0,0.0
2012-07-07 06:30:00,line_001_002,4.126,0.2358,0.1142,0.0
2012-07-07 06:30:00,line_002_003,0.4511,0.0258,0.0125,0.0
2012-07-07 06:30:00,line_003_004,0.0,-0.0,-0.0,-0.0
2012-07-07 07:00:00,line_001_002,1.494,0.0672,0.044,0.0
2012-07-07 07:00:00,line_002_003,0.7572,0.0433,0.0209,0.0
2012-07-07 07:00:00,line_003_004,0.0,0.0,-0.0,-0.0
2012-07-07 07:30:00,line_001_002,1.6459,-0.0248,0.0545,0.0
2012-07-07 07:30:00,line_002_003,0.5713,0.0031,0.0188,0.0
2012-07-07 07:30:00,line_003_004,0.5751,-0.0365,-0.0004,0.0
2012-07-07 08:00:00,line_001_002,2.8203,-0.0549,0.0928,0.0
2012-07-07 08:00:00,line_002_003,2.1032,0.0986,0.0611,0.0
2012-07-07 08:00:00,line_003_004,0.4481,-0.0285,-0.0004,0.0
2012-07-07 08:30:00,line_001_002,3.4331,-0.2044,0.0537,0.0
2012-07-07 08:30:00,line_002_003,1.5497,0.0926,0.0317,0.0
2012-07-07 08:30:00,line_003_004,0.4143,0.0263,-0.0004,0.0
2012-07-07 09:00:00,line_001_002,5.9345,-0.3725,0.0441,0.0
2012-07-07 09:00:00,line_002_003,0.9085,0.0483,0.0255,0.0
2012-07-07 09:00:00,line_003_004,0.0815,-0.0052,-0.0004,0.0
2012-07-07 09:30:00,line_001_002,7.1128,-0.4477,0.0462,0.0001
2012-07-07 09:30:00,line_002_003,0.8576,0.052,0.0152,0.0
2012-07-07 09:30:00,line_003_004,0.3108,0.0197,-0.0004,0.0
2012-07-07 10:00:00,line_001_002,8.6834,-0.5475,0.0511,0.0001
2012-07-07 10:00:00,line_002_003,0.724,0.0393,0.0201,0.0
2012-07-07 10:00:00,line_003_004,0.0482,-0.003,-0.0004,0.0
2012-07-07 10:30:00,line_001_002,10.2397,-0.6491,0.0313,0.0001
2012-07-07 10:30:00,line_002_003,0.3407,0.0198,0.0085,0.0
2012-07-07 10:30:00,line_003_004,0.0231,0.0014,-0.0004,0.0
2012-07-07 11:00:00,line_001_002,10.9467,-0.6945,0.0243,0.0001
2012-07-07 11:00:00,line_002_003,0.8936,0.0529,0.0197,0.0
2012-07-07 11:00:00,line_003_004,0.1813,0.0115,-0.0004,0.0
2012-07-07 11:30:00,line_001_002,10.4345,-0.6621,0.023,0.0001
2012-07-07 11:30:00,line_002_003,1.4013,0.0885,0.0081,0.0
2012-07-07 11:30:00,line_003_004,1.1179,0.071,-0.0004,0.0
2012-07-07 12:00:00,line_001_002,10.2635,-0.6402,0.0928,0.0001
2012-07-07 12:00:00,line_002_003,0.6069,-0.005,0.0201,0.0
2012-07-07 12:00:00,line_003_004,0.745,-0.0473,-0.0004,0.0
2012-07-07 12:30:00,line_001_002,9.2785,-0.5697,0.1107,0.0001
2012-07-07 12:30:00,line_002_003,0.2206,-0.0002,0.0072,0.0
2012-07-07 12:30:00,line_003_004,0.2498,-0.0159,-0.0004,0.0
2012-07-07 13:00:00,line_001_002,8.5245,-0.5306,0.081,0.0001
2012-07-07 13:00:00,line_002_003,1.66,0.1031,0.0197,0.0
2012-07-07 13:00:00,line_003_004,0.971,0.0617,-0.0004,0.0
2012-07-07 13:30:00,line_001_002,8.3589,-0.4969,0.1321,0.0001
2012-07-07 13:30:00,line_002_003,0.7301,-0.0452,0.0076,0.0
2012-07-07 13:30:00,line_003_004,0.9728,-0.0618,-0.0004,0.0
2012-07-07 14:00:00,line_001_002,6.9942,-0.4242,0.0952,0.0001
2012-07-07 14:00:00,line_002_003,1.2857,0.0786,0.0206,0.0
2012-07-07 14:00:00,line_003_004,0.5554,0.0353,-0.0004,0.0
2012-07-07 14:30:00,line_001_002,6.4843,-0.3809,0.1094,0.0001
2012-07-07 14:30:00,line_002_003,0.2451,-0.0072,0.0076,0.0
2012-07-07 14:30:00,line_003_004,0.3751,-0.0238,-0.0004,0.0
2012-07-07 15:00:00,line_001_002,4.8973,-0.2838,0.088,0.0
2012-07-07 15:00:00,line_002_003,1.1633,0.0705,0.0206,0.0
2012-07-07 15:00:00,line_003_004,0.4289,0.0272,-0.0004,0.0
2012-07-07 15:30:00,line_001_002,3.6706,-0.211,0.068,0.0
2012-07-07 15:30:00,line_002_003,0.7418,0.0464,0.0072,0.0
2012-07-07 15:30:00,line_003_004,0.484,0.0307,-0.0004,0.0
2012-07-07 16:00:00,line_001_002,3.4871,-0.0595,0.1153,0.0
2012-07-07 16:00:00,line_002_003,0.6148,0.0054,0.0201,0.0
2012-07-07 16:00:00,line_003_004,0.5819,-0.037,-0.0004,0.0
2012-07-07 16:30:00,line_001_002,3.115,0.0971,0.0968,0.0
2012-07-07 16:30:00,line_002_003,0.874,0.0547,0.0081,0.0
2012-07-07 16:30:00,line_003_004,0.5864,0.0372,-0.0004,0.0
2012-07-07 17:00:00,line_001_002,4.155,0.1559,0.1261,0.0
2012-07-07 17:00:00,line_002_003,0.6236,-0.0207,0.0192,0.0
2012-07-07 17:00:00,line_003_004,0.964,-0.0612,-0.0004,0.0
2012-07-07 17:30:00,line_001_002,4.6781,0.2352,0.134,0.0
2012-07-07 17:30:00,line_002_003,0.3765,-0.0167,0.0103,0.0
2012-07-07 17:30:00,line_003_004,0.6114,-0.0388,-0.0004,0.0
2012-07-07 18:00:00,line_001_002,4.5104,0.2676,0.0982,0.0
2012-07-07 18:00:00,line_002_003,1.5568,0.0972,0.0157,0.0
2012-07-07 18:00:00,line_003_004,1.0095,0.0641,-0.0004,0.0
2012-07-07 18:30:00,line_001_002,5.0865,0.2397,0.148,0.0
2012-07-07 18:30:00,line_002_003,0.6667,-0.0363,0.0143,0.0
2012-07-07 18:30:00,line_003_004,1.0506,-0.0667,-0.0004,0.0
2012-07-07 19:00:00,line_001_002,4.5821,0.2691,0.1076,0.0
2012-07-07 19:00:00,line_002_003,1.1993,0.0746,0.0134,0.0
2012-07-07 19:00:00,line_003_004,0.7261,0.0461,-0.0004,0.0
2012-07-07 19:30:00,line_001_002,4.3033,0.2386,0.12,0.0
2012-07-07 19:30:00,line_002_003,0.5674,0.025,0.0165,0.0
2012-07-07 19:30:00,line_003_004,0.1575,-0.01,-0.0004,0.0
2012-07-07 20:00:00,line_001_002,4.2139,0.2283,0.1183,0.0
2012-07-07 20:00:00,line_002_003,0.6544,0.0246,0.0197,0.0
2012-07-07 20:00:00,line_003_004,0.2655,-0.0169,-0.0004,0.0
2012-07-07 20:30:00,line_001_002,4.3587,0.2546,0.1061,0.0
2012-07-07 20:30:00,line_002_003,1.0558,0.0652,0.0143,0.0
2012-07-07 20:30:00,line_003_004,0.5476,0.0348,-0.0004,0.0
2012-07-07 21:00:00,line_001_002,4.7686,0.2593,0.1338,0.0
2012-07-07 21:00:00,line_002_003,0.8112,0.0329,0.0241,0.0
2012-07-07 21:00:00,line_003_004,0.2792,-0.0177,-0.0004,0.0
2012-07-07 21:30:00,line_001_002,4.756,0.2691,0.1318,0.0
2012-07-07 21:30:00,line_002_003,0.3981,0.02,0.0112,0.0
2012-07-07 21:30:00,line_003_004,0.0627,-0.004,-0.0004,0.0
2012-07-07 22:00:00,line_001_002,4.8266,0.2342,0.1395,0.0
2012-07-07 22:00:00,line_002_003,0.8528,0.0043,0.0281,0.0
2012-07-07 22:00:00,line_003_004,0.8607,-0.0547,-0.0004,0.0
2012-07-07 22:30:00,line_001_002,3.2669,0.198,0.0577,0.0
2012-07-07 22:30:00,line_002_003,1.6348,0.1029,0.0117,0.0
2012-07-07 22:30:00,line_003_004,1.2294,0.0781,-0.0004,0.0
2012-07-07 23:00:00,line_001_002,2.9207,0.1372,0.0849,0.0
