Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,5.7737,0.3498,0.1081,0.0
2012-07-07 06:00:00,line_002_003,3.9681,0.2409,0.0734,0.0
2012-07-07 06:00:00,line_003_004,2.6669,0.1613,0.0476,0.0
2012-07-07 06:00:00,line_004_005,1.6657,0.098,0.0284,0.0
2012-07-07 06:30:00,line_001_002,5.3239,0.3177,0.1157,0.0
2012-07-07 06:30:00,line_002_003,1.805,0.1076,0.0394,0.0
2012-07-07 06:30:00,line_003_004,1.3686,0.0818,0.0292,0.0
2012-07-07 06:30:00,line_004_005,0.7711,0.0465,0.0153,0.0
2012-07-07 07:00:00,line_001_002,5.5236,0.3299,0.1194,0.0001
2012-07-07 07:00:00,line_002_003,4.7271,0.2823,0.1021,0.0
2012-07-07 07:00:00,line_003_004,3.9948,0.239,0.0849,0.0
2012-07-07 07:00:00,line_004_005,2.3647,0.1426,0.0468,0.0
2012-07-07 07:30:00,line_001_002,3.6298,-0.0468,0.1092,0.0
2012-07-07 07:30:00,line_002_003,2.974,-0.1207,0.0824,0.0
2012-07-07 07:30:00,line_003_004,2.7334,0.1633,0.0587,0.0
2012-07-07 07:30:00,line_004_005,1.4498,0.0875,0.0287,0.0
2012-07-07 08:00:00,line_001_002,4.3274,0.1453,0.1184,0.0
2012-07-07 08:00:00,line_002_003,3.2625,0.08,0.0947,0.0
2012-07-07 08:00:00,line_003_004,1.6771,0.1001,0.0364,0.0
2012-07-07 08:00:00,line_004_005,0.7917,0.0478,0.0157,0.0
2012-07-07 08:30:00,line_001_002,4.3301,0.2643,0.0709,0.0
2012-07-07 08:30:00,line_002_003,3.5709,0.2189,0.0544,0.0
2012-07-07 08:30:00,line_003_004,1.5922,0.0946,0.0357,0.0
2012-07-07 08:30:00,line_004_005,0.4113,0.0248,0.0081,0.0
2012-07-07 09:00:00,line_001_002,5.8327,0.3622,0.0697,0.0
2012-07-07 09:00:00,line_002_003,5.196,0.3238,0.0557,0.0
2012-07-07 09:00:00,line_003_004,1.8654,0.1107,0.0421,0.0
2012-07-07 09:00:00,line_004_005,0.4113,0.0248,0.0081,0.0
2012-07-07 09:30:00,line_001_002,7.9981,0.4991,0.084,0.0001
2012-07-07 09:30:00,line_002_003,6.9413,0.4352,0.0608,0.0001
2012-07-07 09:30:00,line_003_004,2.5036,0.1489,0.0555,0.0
2012-07-07 09:30:00,line_004_005,0.8432,0.0508,0.0167,0.0
2012-07-07 10:00:00,line_001_002,9.3311,0.5818,0.1014,0.0001
2012-07-07 10:00:00,line_002_003,8.2733,0.5178,0.0781,0.0001
2012-07-07 10:00:00,line_003_004,3.3115,0.1986,0.0687,0.0
2012-07-07 10:00:00,line_004_005,2.4266,0.1463,0.0481,0.0
