Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,5.7737,0.3498,0.1081,0.0
2012-07-07 06:00:00,line_002_003,3.9681,0.2409,0.0734,0.0
2012-07-07 06:00:00,line_003_004,2.6669,0.1613,0.0476,0.0
2012-07-07 06:00:00,line_004_005,1.6657,0.098,0.0284,0.0
2012-07-07 06:30:00,line_001_002,5.3239,0.3177,0.1157,0.0
2012-07-07 06:30:00,line_002_003,1.805,0.1076,0.0394,0.0
2012-07-07 06:30:00,line_003_004,1.3686,0.0818,0.0292,0.0
2012-07-07 06:30:00,line_004_005,0.7711,0.0465,0.0153,0.0
2012-07-07 07:00:00,line_001_002,5.5236,0.3299,0.1194,0.0001
2012-07-07 07:00:00,line_002_003,4.7271,0.2823,0.1021,0.0
2012-07-07 07:00:00,line_003_004,3.9948,0.239,0.0849,0.0
2012-07-07 07:00:00,line_004_005,2.3647,0.1426,0.0468,0.0
2012-07-07 07:30:00,line_001_002,4.4877,0.2443,0.1008,0.0
2012-07-07 07:30:00,line_002_003,3.2521,0.1705,0.074,0.0
2012-07-07 07:30:00,line_003_004,2.5818,0.1309,0.0583,0.0
2012-07-07 07:30:00,line_004_005,1.4497,0.0874,0.0287,0.0
2012-07-07 08:00:00,line_001_002,4.8756,0.2832,0.1099,0.0
2012-07-07 08:00:00,line_002_003,3.7821,0.2179,0.0862,0.0
2012-07-07 08:00:00,line_003_004,1.6308,0.0908,0.036,0.0
2012-07-07 08:00:00,line_004_005,0.7917,0.0477,0.0157,0.0
2012-07-07 08:30:00,line_001_002,3.9812,0.2399,0.078,0.0
2012-07-07 08:30:00,line_002_003,3.2205,0.1944,0.0615,0.0
2012-07-07 08:30:00,line_003_004,2.1005,0.1281,0.0353,0.0
2012-07-07 08:30:00,line_004_005,0.4113,0.0248,0.0081,0.0
2012-07-07 09:00:00,line_001_002,3.4436,0.2047,0.0767,0.0
2012-07-07 09:00:00,line_002_003,2.8017,0.1664,0.0628,0.0
2012-07-07 09:00:00,line_003_004,1.8976,0.113,0.0417,0.0
2012-07-07 09:00:00,line_004_005,0.4113,0.0248,0.0081,0.0
2012-07-07 09:30:00,line_001_002,4.4735,0.2687,0.091,0.0
2012-07-07 09:30:00,line_002_003,3.4036,0.2048,0.0678,0.0
2012-07-07 09:30:00,line_003_004,2.8587,0.1725,0.0551,0.0
2012-07-07 09:30:00,line_004_005,0.8431,0.0508,0.0167,0.0
2012-07-07 10:00:00,line_001_002,6.3545,0.3876,0.1084,0.0001
2012-07-07 10:00:00,line_002_003,5.2866,0.3237,0.0851,0.0
2012-07-07 10:00:00,line_003_004,4.5734,0.2813,0.0684,0.0
2012-07-07 10:00:00,line_004_005,2.4264,0.1463,0.0481,0.0
