Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,_sec_650632,61.1883,2.0485,0.0059,0.006
2012-07-07 06:00:00,_sec_632645,5.5576,-0.0,-0.0001,0.0001
2012-07-07 06:00:00,_sec_645646,2.7741,-0.0,-0.0001,0.0
2012-07-07 06:00:00,_sec_632633,2.792,-0.0,-0.0001,0.0
2012-07-07 06:00:00,_sec_632670,50.0375,2.0458,0.0041,0.0029
2012-07-07 06:00:00,_sec_670671,16.1154,-0.0,-0.0003,0.0013
2012-07-07 06:00:00,_sec_671984,5.3655,-0.0,-0.0001,0.0001
2012-07-07 06:00:00,_sec_684652,2.6802,-0.0,-0.0,0.0
2012-07-07 06:00:00,_sec_671692,5.3622,-0.0,-0.0001,0.0001
2012-07-07 06:00:00,_sec_692975,2.6778,-0.0,-0.0001,0.0
2012-07-07 06:00:00,_sec_671680,2.6907,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579791,0.9643,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579827,0.9642,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579828,0.9648,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579829,0.9641,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579726,0.9342,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579728,0.9342,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579730,0.9333,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579720,0.9305,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579722,0.9306,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579724,0.9303,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579696,0.9276,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579697,0.9276,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579698,0.9276,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579808,0.9244,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_19479078,0.9244,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579699,0.9248,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579799,0.9224,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579708,16.5012,1.0219,0.0004,0.0008
2012-07-07 06:00:00,_tap_171579819,16.5004,1.0218,0.0004,0.0008
2012-07-07 06:00:00,_tap_171579704,0.8986,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579716,0.899,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_565180591,0.8985,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_19479050,0.8955,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_19479077,0.8952,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_565180588,0.893,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_19479051,0.8972,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_19479079,0.8968,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_565180592,0.8963,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579710,0.895,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579712,0.8948,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579718,0.895,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579702,0.0,0.0,0.0,0.0
2012-07-07 06:00:00,_tap_19478922,0.0,0.0,0.0,0.0
2012-07-07 06:00:00,_tap_171579714,0.0,0.0,0.0,0.0
2012-07-07 06:00:00,_tap_171579719,0.8933,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579732,0.8932,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579713,0.8932,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579734,0.8928,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579736,0.8926,-0.0,-0.0,0.0
2012-07-07 06:00:00,_tap_171579738,0.892,-0.0,-0.0,0.0
2012-07-07 06:30:00,_sec_650632,61.1883,2.0485,0.0059,0.006
2012-07-07 06:30:00,_sec_632645,5.5576,-0.0,-0.0001,0.0001
2012-07-07 06:30:00,_sec_645646,2.7741,-0.0,-0.0001,0.0
2012-07-07 06:30:00,_sec_632633,2.792,-0.0,-0.0001,0.0
2012-07-07 06:30:00,_sec_632670,50.0375,2.0458,0.0041,0.0029
2012-07-07 06:30:00,_sec_670671,16.1154,-0.0,-0.0003,0.0013
2012-07-07 06:30:00,_sec_671984,5.3655,-0.0,-0.0001,0.0001
2012-07-07 06:30:00,_sec_684652,2.6802,-0.0,-0.0,0.0
2012-07-07 06:30:00,_sec_671692,5.3622,-0.0,-0.0001,0.0001
2012-07-07 06:30:00,_sec_692975,2.6778,-0.0,-0.0001,0.0
2012-07-07 06:30:00,_sec_671680,2.6907,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579791,0.9643,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579827,0.9642,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579828,0.9648,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579829,0.9641,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579726,0.9342,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579728,0.9342,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579730,0.9333,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579720,0.9305,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579722,0.9306,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579724,0.9303,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579696,0.9276,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579697,0.9276,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579698,0.9276,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579808,0.9244,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_19479078,0.9244,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579699,0.9248,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579799,0.9224,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579708,16.5012,1.0219,0.0004,0.0008
2012-07-07 06:30:00,_tap_171579819,16.5004,1.0218,0.0004,0.0008
2012-07-07 06:30:00,_tap_171579704,0.8986,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579716,0.899,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_565180591,0.8985,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_19479050,0.8955,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_19479077,0.8952,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_565180588,0.893,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_19479051,0.8972,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_19479079,0.8968,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_565180592,0.8963,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579710,0.895,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579712,0.8948,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579718,0.895,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579702,0.0,0.0,0.0,0.0
2012-07-07 06:30:00,_tap_19478922,0.0,0.0,0.0,0.0
2012-07-07 06:30:00,_tap_171579714,0.0,0.0,0.0,0.0
2012-07-07 06:30:00,_tap_171579719,0.8933,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579732,0.8932,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579713,0.8932,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579734,0.8928,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579736,0.8926,-0.0,-0.0,0.0
2012-07-07 06:30:00,_tap_171579738,0.892,-0.0,-0.0,0.0
2012-07-07 07:00:00,_sec_650632,61.1883,2.0485,0.0059,0.006
2012-07-07 07:00:00,_sec_632645,5.5576,-0.0,-0.0001,0.0001
2012-07-07 07:00:00,_sec_645646,2.7741,-0.0,-0.0001,0.0
2012-07-07 07:00:00,_sec_632633,2.792,-0.0,-0.0001,0.0
2012-07-07 07:00:00,_sec_632670,50.0375,2.0458,0.0041,0.0029
2012-07-07 07:00:00,_sec_670671,16.1154,-0.0,-0.0003,0.0013
2012-07-07 07:00:00,_sec_671984,5.3655,-0.0,-0.0001,0.0001
2012-07-07 07:00:00,_sec_684652,2.6802,-0.0,-0.0,0.0
2012-07-07 07:00:00,_sec_671692,5.3622,-0.0,-0.0001,0.0001
2012-07-07 07:00:00,_sec_692975,2.6778,-0.0,-0.0001,0.0
2012-07-07 07:00:00,_sec_671680,2.6907,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579791,0.9643,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579827,0.9642,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579828,0.9648,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579829,0.9641,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579726,0.9342,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579728,0.9342,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579730,0.9333,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579720,0.9305,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579722,0.9306,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579724,0.9303,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579696,0.9276,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579697,0.9276,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579698,0.9276,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579808,0.9244,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_19479078,0.9244,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579699,0.9248,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579799,0.9224,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579708,16.5012,1.0219,0.0004,0.0008
2012-07-07 07:00:00,_tap_171579819,16.5004,1.0218,0.0004,0.0008
2012-07-07 07:00:00,_tap_171579704,0.8986,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579716,0.899,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_565180591,0.8985,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_19479050,0.8955,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_19479077,0.8952,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_565180588,0.893,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_19479051,0.8972,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_19479079,0.8968,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_565180592,0.8963,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579710,0.895,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579712,0.8948,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579718,0.895,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579702,0.0,0.0,0.0,0.0
2012-07-07 07:00:00,_tap_19478922,0.0,0.0,0.0,0.0
2012-07-07 07:00:00,_tap_171579714,0.0,0.0,0.0,0.0
2012-07-07 07:00:00,_tap_171579719,0.8933,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579732,0.8932,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579713,0.8932,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579734,0.8928,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579736,0.8926,-0.0,-0.0,0.0
2012-07-07 07:00:00,_tap_171579738,0.892,-0.0,-0.0,0.0
2012-07-07 07:30:00,_sec_650632,61.1883,2.0485,0.0059,0.006
2012-07-07 07:30:00,_sec_632645,5.5576,-0.0,-0.0001,0.0001
2012-07-07 07:30:00,_sec_645646,2.7741,-0.0,-0.0001,0.0
2012-07-07 07:30:00,_sec_632633,2.792,-0.0,-0.0001,0.0
2012-07-07 07:30:00,_sec_632670,50.0375,2.0458,0.0041,0.0029
2012-07-07 07:30:00,_sec_670671,16.1154,-0.0,-0.0003,0.0013
2012-07-07 07:30:00,_sec_671984,5.3655,-0.0,-0.0001,0.0001
2012-07-07 07:30:00,_sec_684652,2.6802,-0.0,-0.0,0.0
2012-07-07 07:30:00,_sec_671692,5.3622,-0.0,-0.0001,0.0001
2012-07-07 07:30:00,_sec_692975,2.6778,-0.0,-0.0001,0.0
2012-07-07 07:30:00,_sec_671680,2.6907,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579791,0.9643,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579827,0.9642,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579828,0.9648,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579829,0.9641,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579726,0.9342,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579728,0.9342,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579730,0.9333,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579720,0.9305,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579722,0.9306,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579724,0.9303,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579696,0.9276,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579697,0.9276,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579698,0.9276,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579808,0.9244,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_19479078,0.9244,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579699,0.9248,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579799,0.9224,-0.0,-0.0,0.0
2012-07-07 07:30:00,_tap_171579708,16.5012,1.0219,0.0004,0.0008
2012-07-07 07:30:00,_tap_171579819,16.5004,1.0218,0.0004,0.0008
2012-07-07 07:30:00,_tap_171579704,0.8986,-0.0,-0.0,0.0
