Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,7.9383,0.4811,0.1436,0.0001
2012-07-07 06:00:00,line_002_003,3.9681,0.2408,0.0733,0.0
2012-07-07 06:00:00,line_002_006,2.1945,0.1313,0.0355,0.0
2012-07-07 06:00:00,line_003_004,2.6669,0.1613,0.0476,0.0
2012-07-07 06:00:00,line_004_005,1.6657,0.098,0.0283,0.0
2012-07-07 06:30:00,line_001_002,7.1838,0.4313,0.1488,0.0001
2012-07-07 06:30:00,line_002_003,1.8049,0.1076,0.0394,0.0
2012-07-07 06:30:00,line_002_006,1.8629,0.1135,0.0331,0.0
2012-07-07 06:30:00,line_003_004,1.3686,0.0818,0.0292,0.0
2012-07-07 06:30:00,line_004_005,0.7711,0.0465,0.0153,0.0
2012-07-07 07:00:00,line_001_002,7.0479,0.4229,0.1465,0.0001
2012-07-07 07:00:00,line_002_003,4.7271,0.2822,0.1021,0.0
2012-07-07 07:00:00,line_002_006,1.5267,0.0931,0.0271,0.0
2012-07-07 07:00:00,line_003_004,3.9948,0.2389,0.0849,0.0
2012-07-07 07:00:00,line_004_005,2.3647,0.1426,0.0468,0.0
2012-07-07 07:30:00,line_001_002,6.4483,0.3872,0.1334,0.0001
2012-07-07 07:30:00,line_002_003,3.4033,0.2029,0.0744,0.0
2012-07-07 07:30:00,line_002_006,1.8115,0.1104,0.0322,0.0
2012-07-07 07:30:00,line_003_004,2.7332,0.1633,0.0587,0.0
2012-07-07 07:30:00,line_004_005,1.4497,0.0874,0.0287,0.0
2012-07-07 08:00:00,line_001_002,6.6872,0.4003,0.1418,0.0001
2012-07-07 08:00:00,line_002_003,3.828,0.2271,0.0866,0.0
2012-07-07 08:00:00,line_002_006,1.7695,0.1079,0.0314,0.0
2012-07-07 08:00:00,line_003_004,1.677,0.1001,0.0363,0.0
2012-07-07 08:00:00,line_004_005,0.7917,0.0477,0.0157,0.0
2012-07-07 08:30:00,line_001_002,5.5628,0.3338,0.1156,0.0001
2012-07-07 08:30:00,line_002_003,2.7145,0.1609,0.0619,0.0
2012-07-07 08:30:00,line_002_006,2.0916,0.1275,0.0372,0.0
2012-07-07 08:30:00,line_003_004,1.5921,0.0946,0.0357,0.0
2012-07-07 08:30:00,line_004_005,0.4113,0.0248,0.0081,0.0
2012-07-07 09:00:00,line_001_002,5.3356,0.32,0.1114,0.0
2012-07-07 09:00:00,line_002_003,2.7694,0.1641,0.0632,0.0
2012-07-07 09:00:00,line_002_006,1.9282,0.1175,0.0343,0.0
2012-07-07 09:00:00,line_003_004,1.8653,0.1107,0.0421,0.0
2012-07-07 09:00:00,line_004_005,0.4113,0.0248,0.0081,0.0
2012-07-07 09:30:00,line_001_002,6.0156,0.3609,0.1252,0.0001
2012-07-07 09:30:00,line_002_003,3.0489,0.1812,0.0682,0.0
2012-07-07 09:30:00,line_002_006,1.9002,0.1158,0.0338,0.0
2012-07-07 09:30:00,line_003_004,2.5034,0.1489,0.0555,0.0
2012-07-07 09:30:00,line_004_005,0.8431,0.0508,0.0167,0.0
2012-07-07 10:00:00,line_001_002,7.4481,0.4484,0.1506,0.0001
2012-07-07 10:00:00,line_002_003,4.0279,0.241,0.0855,0.0
2012-07-07 10:00:00,line_002_006,2.3531,0.1434,0.0418,0.0
2012-07-07 10:00:00,line_003_004,3.3113,0.1986,0.0687,0.0
2012-07-07 10:00:00,line_004_005,2.4264,0.1463,0.0481,0.0
2012-07-07 10:30:00,line_001_002,11.9728,0.7223,0.2376,0.0002
2012-07-07 10:30:00,line_002_003,8.6971,0.5233,0.176,0.0001
2012-07-07 10:30:00,line_002_006,2.4931,0.1519,0.0443,0.0
2012-07-07 10:30:00,line_003_004,8.3858,0.5048,0.1686,0.0001
2012-07-07 10:30:00,line_004_005,7.7002,0.4641,0.1524,0.0001
2012-07-07 11:00:00,line_001_002,4.5325,0.2728,0.0918,0.0
2012-07-07 11:00:00,line_002_003,2.3873,0.142,0.053,0.0
2012-07-07 11:00:00,line_002_006,1.9936,0.1215,0.0354,0.0
2012-07-07 11:00:00,line_003_004,1.686,0.1006,0.0366,0.0
2012-07-07 11:00:00,line_004_005,0.7711,0.0465,0.0153,0.0
2012-07-07 11:30:00,line_001_002,4.7858,0.2885,0.0955,0.0
2012-07-07 11:30:00,line_002_003,2.367,0.1416,0.0504,0.0
2012-07-07 11:30:00,line_002_006,1.9096,0.1164,0.0339,0.0
2012-07-07 11:30:00,line_003_004,2.071,0.1241,0.0435,0.0
2012-07-07 11:30:00,line_004_005,1.3777,0.0831,0.0273,0.0
2012-07-07 12:00:00,line_001_002,9.7411,0.5857,0.1992,0.0002
2012-07-07 12:00:00,line_002_003,3.4152,0.2028,0.0767,0.0
2012-07-07 12:00:00,line_002_006,3.8237,0.233,0.068,0.0
2012-07-07 12:00:00,line_003_004,2.6982,0.1604,0.06,0.0
2012-07-07 12:00:00,line_004_005,0.8534,0.0515,0.0169,0.0
2012-07-07 12:30:00,line_001_002,8.4464,0.5089,0.1696,0.0001
2012-07-07 12:30:00,line_002_003,1.2823,0.0764,0.0282,0.0
2012-07-07 12:30:00,line_002_006,3.5903,0.2188,0.0638,0.0
2012-07-07 12:30:00,line_003_004,1.0173,0.0607,0.022,0.0
2012-07-07 12:30:00,line_004_005,0.4935,0.0298,0.0098,0.0
2012-07-07 13:00:00,line_001_002,7.3218,0.439,0.1533,0.0001
2012-07-07 13:00:00,line_002_003,3.174,0.1885,0.0712,0.0
2012-07-07 13:00:00,line_002_006,2.0356,0.1241,0.0362,0.0
2012-07-07 13:00:00,line_003_004,2.4726,0.1471,0.0548,0.0
2012-07-07 13:00:00,line_004_005,0.8122,0.049,0.0161,0.0
2012-07-07 13:30:00,line_001_002,8.571,0.514,0.179,0.0001
2012-07-07 13:30:00,line_002_003,2.2075,0.1313,0.049,0.0
2012-07-07 13:30:00,line_002_006,2.0636,0.1258,0.0367,0.0
2012-07-07 13:30:00,line_003_004,1.9269,0.1147,0.0425,0.0
2012-07-07 13:30:00,line_004_005,0.7094,0.0428,0.0141,0.0
2012-07-07 14:00:00,line_001_002,7.6993,0.4619,0.1603,0.0001
2012-07-07 14:00:00,line_002_003,3.2271,0.1923,0.0706,0.0
2012-07-07 14:00:00,line_002_006,1.8955,0.1155,0.0337,0.0
2012-07-07 14:00:00,line_003_004,2.4947,0.149,0.0535,0.0
2012-07-07 14:00:00,line_004_005,1.3366,0.0806,0.0265,0.0
2012-07-07 14:30:00,line_001_002,9.7187,0.5828,0.2033,0.0002
2012-07-07 14:30:00,line_002_003,4.2842,0.2557,0.0928,0.0
2012-07-07 14:30:00,line_002_006,1.9189,0.117,0.0341,0.0
2012-07-07 14:30:00,line_003_004,4.0037,0.2391,0.0862,0.0
2012-07-07 14:30:00,line_004_005,2.0563,0.124,0.0407,0.0
2012-07-07 15:00:00,line_001_002,7.6715,0.4607,0.1586,0.0001
2012-07-07 15:00:00,line_002_003,3.3043,0.1971,0.0717,0.0
2012-07-07 15:00:00,line_002_006,2.0403,0.1244,0.0363,0.0
2012-07-07 15:00:00,line_003_004,2.5719,0.1539,0.0546,0.0
2012-07-07 15:00:00,line_004_005,1.5319,0.0924,0.0303,0.0
2012-07-07 15:30:00,line_001_002,6.5473,0.3935,0.1343,0.0001
2012-07-07 15:30:00,line_002_003,2.499,0.1492,0.054,0.0
2012-07-07 15:30:00,line_002_006,1.9469,0.1187,0.0346,0.0
2012-07-07 15:30:00,line_003_004,2.2341,0.1335,0.0478,0.0
2012-07-07 15:30:00,line_004_005,1.2235,0.0738,0.0242,0.0
2012-07-07 16:00:00,line_001_002,9.3801,0.5627,0.1955,0.0002
2012-07-07 16:00:00,line_002_003,3.7613,0.2241,0.0826,0.0
2012-07-07 16:00:00,line_002_006,2.3297,0.142,0.0414,0.0
2012-07-07 16:00:00,line_003_004,3.0445,0.1817,0.0658,0.0
2012-07-07 16:00:00,line_004_005,1.4805,0.0893,0.0293,0.0
2012-07-07 16:30:00,line_001_002,9.0097,0.5407,0.1871,0.0001
2012-07-07 16:30:00,line_002_003,3.7145,0.2215,0.0809,0.0
2012-07-07 16:30:00,line_002_006,2.2317,0.136,0.0397,0.0
2012-07-07 16:30:00,line_003_004,3.4184,0.204,0.074,0.0
2012-07-07 16:30:00,line_004_005,1.6553,0.0998,0.0328,0.0
2012-07-07 17:00:00,line_001_002,10.8539,0.6527,0.2217,0.0002
2012-07-07 17:00:00,line_002_003,3.4924,0.2082,0.0762,0.0
2012-07-07 17:00:00,line_002_006,3.6696,0.2236,0.0652,0.0
2012-07-07 17:00:00,line_003_004,2.8067,0.1677,0.0602,0.0
2012-07-07 17:00:00,line_004_005,1.5011,0.0905,0.0297,0.0
2012-07-07 17:30:00,line_001_002,10.105,0.6076,0.2048,0.0002
2012-07-07 17:30:00,line_002_003,3.1901,0.1912,0.0665,0.0
2012-07-07 17:30:00,line_002_006,2.5326,0.1538,0.0441,0.0
2012-07-07 17:30:00,line_003_004,2.7065,0.1621,0.0564,0.0
2012-07-07 17:30:00,line_004_005,1.3172,0.0789,0.025,0.0
2012-07-07 18:00:00,line_001_002,18.4563,1.1239,0.3118,0.0005
2012-07-07 18:00:00,line_002_003,7.1409,0.4379,0.1162,0.0001
2012-07-07 18:00:00,line_002_006,7.1996,0.4313,0.1173,0.0001
2012-07-07 18:00:00,line_003_004,5.3177,0.3207,0.0871,0.0
2012-07-07 18:00:00,line_004_005,2.833,0.1627,0.0418,0.0
2012-07-07 18:30:00,line_001_002,23.3809,1.4191,0.4158,0.0008
2012-07-07 18:30:00,line_002_003,9.9074,0.6036,0.1747,0.0001
2012-07-07 18:30:00,line_002_006,7.5862,0.4549,0.1241,0.0001
2012-07-07 18:30:00,line_003_004,8.1007,0.4892,0.1466,0.0001
2012-07-07 18:30:00,line_004_005,4.5682,0.268,0.0764,0.0
2012-07-07 19:00:00,line_001_002,17.6022,1.0718,0.2966,0.0004
2012-07-07 19:00:00,line_002_003,6.7889,0.4169,0.1084,0.0001
2012-07-07 19:00:00,line_002_006,6.296,0.3762,0.1012,0.0001
2012-07-07 19:00:00,line_003_004,5.0486,0.3043,0.0811,0.0
2012-07-07 19:00:00,line_004_005,2.7212,0.1559,0.0396,0.0
2012-07-07 19:30:00,line_001_002,16.7864,1.0211,0.2848,0.0004
2012-07-07 19:30:00,line_002_003,6.9299,0.4251,0.1124,0.0001
2012-07-07 19:30:00,line_002_006,5.0211,0.2982,0.0785,0.0
2012-07-07 19:30:00,line_003_004,5.0805,0.3061,0.0826,0.0
2012-07-07 19:30:00,line_004_005,2.5285,0.1441,0.0357,0.0
2012-07-07 20:00:00,line_001_002,17.3263,1.0533,0.2967,0.0004
2012-07-07 20:00:00,line_002_003,7.4765,0.4575,0.1251,0.0001
2012-07-07 20:00:00,line_002_006,5.1792,0.3079,0.0813,0.0
2012-07-07 20:00:00,line_003_004,5.5103,0.3321,0.0927,0.0
2012-07-07 20:00:00,line_004_005,2.5691,0.1466,0.0366,0.0
2012-07-07 20:30:00,line_001_002,15.7697,0.9573,0.2722,0.0003
2012-07-07 20:30:00,line_002_003,8.1523,0.4974,0.1414,0.0001
2012-07-07 20:30:00,line_002_006,3.194,0.1861,0.0458,0.0
2012-07-07 20:30:00,line_003_004,6.3613,0.383,0.1133,0.0
2012-07-07 20:30:00,line_004_005,2.4475,0.1391,0.0341,0.0
2012-07-07 21:00:00,line_001_002,16.2014,0.9837,0.2796,0.0003
2012-07-07 21:00:00,line_002_003,7.7948,0.4765,0.1323,0.0001
2012-07-07 21:00:00,line_002_006,3.365,0.1966,0.0489,0.0
2012-07-07 21:00:00,line_003_004,5.6708,0.3418,0.0962,0.0
2012-07-07 21:00:00,line_004_005,2.6502,0.1515,0.0382,0.0
2012-07-07 21:30:00,line_001_002,15.9409,0.9682,0.2738,0.0003
2012-07-07 21:30:00,line_002_003,7.393,0.4528,0.1225,0.0001
2012-07-07 21:30:00,line_002_006,3.1294,0.1821,0.0446,0.0
2012-07-07 21:30:00,line_003_004,5.7184,0.3448,0.097,0.0
2012-07-07 21:30:00,line_004_005,2.7415,0.1571,0.04,0.0
2012-07-07 22:00:00,line_001_002,16.2817,0.99,0.2766,0.0004
2012-07-07 22:00:00,line_002_003,6.7678,0.4152,0.1094,0.0001
2012-07-07 22:00:00,line_002_006,4.4079,0.2607,0.0675,0.0
2012-07-07 22:00:00,line_003_004,4.5294,0.2723,0.0701,0.0
2012-07-07 22:00:00,line_004_005,2.3261,0.1317,0.0317,0.0
2012-07-07 22:30:00,line_001_002,12.8099,0.7828,0.2003,0.0002
2012-07-07 22:30:00,line_002_003,5.5171,0.3406,0.0814,0.0
2012-07-07 22:30:00,line_002_006,4.445,0.263,0.0682,0.0
2012-07-07 22:30:00,line_003_004,3.8775,0.2317,0.0555,0.0
2012-07-07 22:30:00,line_004_005,1.9635,0.1094,0.0244,0.0
2012-07-07 23:00:00,line_001_002,12.0679,0.7358,0.1923,0.0002
2012-07-07 23:00:00,line_002_003,6.4221,0.3947,0.1014,0.0
2012-07-07 23:00:00,line_002_006,2.4573,0.1406,0.0325,0.0
2012-07-07 23:00:00,line_003_004,4.1806,0.2509,0.0617,0.0
2012-07-07 23:00:00,line_004_005,2.2958,0.1298,0.0311,0.0
2012-07-07 23:30:00,line_001_002,10.9274,0.6671,0.1693,0.0001
2012-07-07 23:30:00,line_002_003,6.0344,0.3718,0.092,0.0
2012-07-07 23:30:00,line_002_006,1.77,0.0976,0.02,0.0
2012-07-07 23:30:00,line_003_004,4.2696,0.2565,0.0636,0.0
2012-07-07 23:30:00,line_004_005,2.3868,0.1354,0.0329,0.0
2012-07-08 00:00:00,line_001_002,11.0467,0.674,0.1724,0.0001
2012-07-08 00:00:00,line_002_003,6.3577,0.3909,0.0997,0.0
2012-07-08 00:00:00,line_002_006,1.8242,0.1011,0.021,0.0
2012-07-08 00:00:00,line_003_004,4.223,0.2536,0.0626,0.0
2012-07-08 00:00:00,line_004_005,2.3464,0.133,0.0321,0.0
2012-07-08 00:30:00,line_001_002,10.3407,0.6321,0.1561,0.0001
2012-07-08 00:30:00,line_002_003,5.8,0.3578,0.0866,0.0
2012-07-08 00:30:00,line_002_006,1.7971,0.0994,0.0205,0.0
2012-07-08 00:30:00,line_003_004,4.0146,0.2407,0.0574,0.0
2012-07-08 00:30:00,line_004_005,2.3565,0.1336,0.0323,0.0
2012-07-08 01:00:00,line_001_002,10.7755,0.6579,0.1662,0.0001
2012-07-08 01:00:00,line_002_003,6.1789,0.3804,0.0954,0.0
2012-07-08 01:00:00,line_002_006,1.7926,0.0991,0.0204,0.0
2012-07-08 01:00:00,line_003_004,4.2597,0.2559,0.0634,0.0
2012-07-08 01:00:00,line_004_005,2.3767,0.1348,0.0327,0.0
2012-07-08 01:30:00,line_001_002,10.1803,0.6224,0.1528,0.0001
2012-07-08 01:30:00,line_002_003,5.7179,0.3529,0.0849,0.0
