Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,sec_001002,32.8454,1.988,0.7225,0.0008
2012-07-07 06:00:00,sec_003004,4.3444,0.2243,0.0738,0.0
2012-07-07 06:00:00,sec_001003,8.2293,0.4218,0.1531,0.0
2012-07-07 06:00:00,sec_005006,4.7461,0.2642,0.0813,0.0
2012-07-07 06:00:00,sec_007008,19.3524,1.104,0.4213,0.0002
2012-07-07 06:00:00,sec_009010,25.9911,1.5584,0.5916,0.0003
2012-07-07 06:00:00,sec_011012,15.9278,0.9108,0.3578,0.0002
2012-07-07 06:00:00,sec_008011,18.9085,1.075,0.4155,0.0002
2012-07-07 06:00:00,sec_010007,22.7027,1.2696,0.4803,0.0003
2012-07-07 06:00:00,sec_002009,32.403,1.9584,0.7164,0.0006
2012-07-07 06:00:00,sec_006013,1.5072,0.085,0.0308,0.0
2012-07-07 06:00:00,sec_009005,5.1776,0.2931,0.0871,0.0
2012-07-07 06:00:00,sec_012014,8.9087,0.4929,0.1901,0.0001
2012-07-07 06:00:00,ramal_001,6.4647,0.3032,0.1187,0.0
2012-07-07 06:00:00,ramal_002,4.022,0.2285,0.0995,0.0
2012-07-07 06:00:00,ramal_003,2.3868,0.0963,0.0407,0.0
2012-07-07 06:00:00,ramal_004,2.9145,0.1353,0.0519,0.0
2012-07-07 06:00:00,ramal_005,2.0648,0.0932,0.035,0.0
2012-07-07 06:00:00,ramal_006,2.6038,0.1068,0.04,0.0
2012-07-07 06:00:00,ramal_007,0.7391,0.0297,0.0131,0.0
2012-07-07 06:00:00,ramal_008,0.7021,0.0276,0.0138,0.0
2012-07-07 06:00:00,ramal_009,0.7254,0.0302,0.0102,0.0
2012-07-07 06:00:00,ramal_010,0.8856,0.0369,0.0125,0.0
2012-07-07 06:00:00,ramal_011,0.1586,0.0063,0.0026,0.0
2012-07-07 06:00:00,ramal_012,0.6294,0.0265,0.0069,0.0
2012-07-07 06:00:00,ramal_013,0.7331,0.0306,0.0092,0.0
2012-07-07 06:00:00,ramal_014,0.691,0.0283,0.0115,0.0
2012-07-07 06:00:00,ramal_015,0.4188,0.0164,0.0077,0.0
2012-07-07 06:00:00,ramal_016,0.2958,0.0115,0.0057,0.0
2012-07-07 06:00:00,ramal_017,1.0262,0.0407,0.0192,0.0
2012-07-07 06:00:00,ramal_018,1.4825,0.0601,0.0246,0.0
2012-07-07 06:00:00,ramal_019,1.4373,0.0584,0.0238,0.0
2012-07-07 06:00:00,ramal_020,1.2798,0.0501,0.0251,0.0
2012-07-07 06:00:00,ramal_021,0.7192,0.0301,0.0091,0.0
2012-07-07 06:00:00,ramal_022,2.0706,0.0869,0.0262,0.0
2012-07-07 06:00:00,ramal_023,2.6831,0.1087,0.0443,0.0
2012-07-07 06:00:00,ramal_024,1.6558,0.0672,0.0274,0.0
2012-07-07 06:00:00,ramal_025,3.6517,0.1481,0.0605,0.0
2012-07-07 06:00:00,ramal_026,0.9487,0.038,0.0167,0.0
2012-07-07 06:00:00,ramal_027,2.1155,0.0858,0.0351,0.0
2012-07-07 06:00:00,ramal_028,2.0631,0.0866,0.0261,0.0
2012-07-07 06:00:00,ramal_029,1.2863,0.0521,0.0212,0.0
2012-07-07 06:00:00,ramal_030,0.5474,0.023,0.0069,0.0
2012-07-07 06:00:00,ramal_031,1.6387,0.0676,0.024,0.0
2012-07-07 06:30:00,sec_001002,27.5538,1.6324,0.6491,0.0006
2012-07-07 06:30:00,sec_003004,3.5837,0.1807,0.0636,0.0
2012-07-07 06:30:00,sec_001003,7.4412,0.3648,0.1432,0.0
2012-07-07 06:30:00,sec_005006,3.5548,0.2013,0.0732,0.0
2012-07-07 06:30:00,sec_007008,16.0658,0.8708,0.348,0.0001
2012-07-07 06:30:00,sec_009010,21.4929,1.2253,0.486,0.0002
2012-07-07 06:30:00,sec_011012,14.0477,0.7729,0.31,0.0001
2012-07-07 06:30:00,sec_008011,16.066,0.8707,0.348,0.0001
2012-07-07 06:30:00,sec_010007,19.1892,1.0093,0.4014,0.0002
2012-07-07 06:30:00,sec_002009,27.554,1.6318,0.6489,0.0004
2012-07-07 06:30:00,sec_006013,1.5419,0.0784,0.0364,0.0
2012-07-07 06:30:00,sec_009005,3.5548,0.2014,0.0732,0.0
2012-07-07 06:30:00,sec_012014,6.2968,0.3246,0.1273,0.0001
2012-07-07 06:30:00,ramal_001,5.2873,0.2396,0.0926,0.0
2012-07-07 06:30:00,ramal_002,7.0992,0.355,0.1462,0.0
2012-07-07 06:30:00,ramal_003,1.5555,0.0628,0.0268,0.0
2012-07-07 06:30:00,ramal_004,2.0382,0.098,0.0379,0.0
2012-07-07 06:30:00,ramal_005,1.4735,0.0679,0.0262,0.0
2012-07-07 06:30:00,ramal_006,2.8607,0.1174,0.044,0.0
2012-07-07 06:30:00,ramal_007,0.5257,0.0212,0.0093,0.0
2012-07-07 06:30:00,ramal_008,0.6664,0.0262,0.0131,0.0
2012-07-07 06:30:00,ramal_009,1.7064,0.0709,0.0241,0.0
2012-07-07 06:30:00,ramal_010,1.2424,0.0517,0.0176,0.0
2012-07-07 06:30:00,ramal_011,0.449,0.018,0.0074,0.0
2012-07-07 06:30:00,ramal_012,1.1496,0.0487,0.0126,0.0
2012-07-07 06:30:00,ramal_013,0.3006,0.0124,0.0037,0.0
2012-07-07 06:30:00,ramal_014,0.3867,0.0159,0.0065,0.0
2012-07-07 06:30:00,ramal_015,1.1204,0.0444,0.0209,0.0
2012-07-07 06:30:00,ramal_016,0.4663,0.0181,0.009,0.0
2012-07-07 06:30:00,ramal_017,3.8583,0.153,0.072,0.0
2012-07-07 06:30:00,ramal_018,1.9843,0.0804,0.0329,0.0
2012-07-07 06:30:00,ramal_019,1.4149,0.0575,0.0235,0.0
2012-07-07 06:30:00,ramal_020,1.1909,0.0466,0.0233,0.0
2012-07-07 06:30:00,ramal_021,0.7625,0.0319,0.0096,0.0
2012-07-07 06:30:00,ramal_022,1.0423,0.0438,0.0132,0.0
2012-07-07 06:30:00,ramal_023,0.8743,0.0355,0.0145,0.0
2012-07-07 06:30:00,ramal_024,0.622,0.0252,0.0103,0.0
2012-07-07 06:30:00,ramal_025,2.7626,0.112,0.0457,0.0
2012-07-07 06:30:00,ramal_026,0.3795,0.0152,0.0067,0.0
2012-07-07 06:30:00,ramal_027,2.1173,0.0858,0.0351,0.0
2012-07-07 06:30:00,ramal_028,1.4511,0.0609,0.0184,0.0
2012-07-07 06:30:00,ramal_029,1.2163,0.0494,0.0201,0.0
2012-07-07 06:30:00,ramal_030,0.8065,0.0339,0.0102,0.0
2012-07-07 06:30:00,ramal_031,0.9823,0.0407,0.0139,0.0
2012-07-07 07:00:00,sec_001002,34.3253,1.8456,0.8089,0.0008
2012-07-07 07:00:00,sec_003004,5.8405,0.2749,0.0894,0.0
2012-07-07 07:00:00,sec_001003,7.3787,0.33,0.1649,0.0
2012-07-07 07:00:00,sec_005006,5.2621,0.279,0.1011,0.0
2012-07-07 07:00:00,sec_007008,16.4592,0.9272,0.4163,0.0001
2012-07-07 07:00:00,sec_009010,23.7832,1.3017,0.6048,0.0003
2012-07-07 07:00:00,sec_011012,15.3102,0.8616,0.3442,0.0002
2012-07-07 07:00:00,sec_008011,16.4593,0.927,0.4163,0.0001
2012-07-07 07:00:00,sec_010007,16.2659,0.9267,0.4618,0.0002
2012-07-07 07:00:00,sec_002009,34.3255,1.8449,0.8086,0.0006
2012-07-07 07:00:00,sec_006013,2.4183,0.1152,0.0535,0.0
2012-07-07 07:00:00,sec_009005,5.262,0.2791,0.1011,0.0
2012-07-07 07:00:00,sec_012014,8.5331,0.47,0.1845,0.0001
2012-07-07 07:00:00,ramal_001,7.7716,0.3802,0.1479,0.0001
2012-07-07 07:00:00,ramal_002,3.1945,0.1733,0.0768,0.0
2012-07-07 07:00:00,ramal_003,2.7084,0.1093,0.0466,0.0
2012-07-07 07:00:00,ramal_004,3.7852,0.1835,0.0721,0.0
2012-07-07 07:00:00,ramal_005,4.2121,0.1911,0.0718,0.0
2012-07-07 07:00:00,ramal_006,2.3491,0.0963,0.0361,0.0
2012-07-07 07:00:00,ramal_007,0.5301,0.0212,0.0093,0.0
2012-07-07 07:00:00,ramal_008,0.6297,0.0249,0.0124,0.0
2012-07-07 07:00:00,ramal_009,4.0134,0.1667,0.0566,0.0
2012-07-07 07:00:00,ramal_010,3.9526,0.164,0.0557,0.0
2012-07-07 07:00:00,ramal_011,0.3505,0.0141,0.0058,0.0
2012-07-07 07:00:00,ramal_012,1.7852,0.0757,0.0196,0.0
2012-07-07 07:00:00,ramal_013,1.0012,0.0419,0.0126,0.0
2012-07-07 07:00:00,ramal_014,0.4758,0.0193,0.0079,0.0
2012-07-07 07:00:00,ramal_015,1.9691,0.0781,0.0368,0.0
2012-07-07 07:00:00,ramal_016,0.4571,0.0178,0.0089,0.0
2012-07-07 07:00:00,ramal_017,2.512,0.0996,0.0468,0.0
2012-07-07 07:00:00,ramal_018,1.4777,0.0601,0.0246,0.0
2012-07-07 07:00:00,ramal_019,1.5034,0.0612,0.025,0.0
2012-07-07 07:00:00,ramal_020,1.3203,0.0519,0.026,0.0
2012-07-07 07:00:00,ramal_021,0.9185,0.0388,0.0117,0.0
2012-07-07 07:00:00,ramal_022,0.7635,0.032,0.0096,0.0
2012-07-07 07:00:00,ramal_023,1.1346,0.0458,0.0187,0.0
2012-07-07 07:00:00,ramal_024,0.6695,0.0271,0.0111,0.0
2012-07-07 07:00:00,ramal_025,2.6421,0.1074,0.0439,0.0
2012-07-07 07:00:00,ramal_026,0.3083,0.0123,0.0054,0.0
2012-07-07 07:00:00,ramal_027,1.5151,0.0618,0.0253,0.0
2012-07-07 07:00:00,ramal_028,4.0831,0.1714,0.0516,0.0
2012-07-07 07:00:00,ramal_029,1.0888,0.0439,0.0179,0.0
2012-07-07 07:00:00,ramal_030,0.9912,0.0417,0.0125,0.0
2012-07-07 07:00:00,ramal_031,1.4954,0.0616,0.0218,0.0
2012-07-07 07:30:00,sec_001002,34.1934,1.7327,1.1194,0.0008
2012-07-07 07:30:00,sec_003004,3.3498,0.1617,0.0601,0.0
2012-07-07 07:30:00,sec_001003,6.3736,-0.0769,0.179,0.0
2012-07-07 07:30:00,sec_005006,10.52,0.541,0.2249,0.0001
2012-07-07 07:30:00,sec_007008,17.3485,0.8391,0.5617,0.0001
2012-07-07 07:30:00,sec_009010,18.8553,0.8379,0.7601,0.0002
2012-07-07 07:30:00,sec_011012,22.5075,1.2478,0.5218,0.0004
2012-07-07 07:30:00,sec_008011,17.3487,0.8389,0.5616,0.0001
2012-07-07 07:30:00,sec_010007,15.1928,0.4765,0.6183,0.0001
2012-07-07 07:30:00,sec_002009,34.1937,1.7319,1.1191,0.0006
2012-07-07 07:30:00,sec_006013,6.0521,0.3048,0.1458,0.0001
2012-07-07 07:30:00,sec_009005,10.5199,0.5412,0.2249,0.0002
2012-07-07 07:30:00,sec_012014,14.0549,0.7205,0.2931,0.0003
2012-07-07 07:30:00,ramal_001,7.4758,0.338,0.1373,0.0001
2012-07-07 07:30:00,ramal_002,5.2232,0.2762,0.1226,0.0
2012-07-07 07:30:00,ramal_003,2.7842,0.1124,0.0481,0.0
2012-07-07 07:30:00,ramal_004,2.2164,0.0993,0.0398,0.0
2012-07-07 07:30:00,ramal_005,4.2102,0.1979,0.0844,0.0
2012-07-07 07:30:00,ramal_006,2.7834,0.1142,0.0428,0.0
2012-07-07 07:30:00,ramal_007,0.7813,0.0314,0.0138,0.0
2012-07-07 07:30:00,ramal_008,0.8345,0.033,0.0165,0.0
2012-07-07 07:30:00,ramal_009,3.047,0.1267,0.043,0.0
2012-07-07 07:30:00,ramal_010,5.8436,0.2427,0.0824,0.0
2012-07-07 07:30:00,ramal_011,2.478,0.1004,0.041,0.0
2012-07-07 07:30:00,ramal_012,1.5356,0.0651,0.0168,0.0
2012-07-07 07:30:00,ramal_013,0.9374,0.0393,0.0118,0.0
2012-07-07 07:30:00,ramal_014,0.719,0.029,0.0118,0.0
2012-07-07 07:30:00,ramal_015,3.2837,0.1302,0.0612,0.0
2012-07-07 07:30:00,ramal_016,3.7168,0.1456,0.0727,0.0
2012-07-07 07:30:00,ramal_017,2.7589,0.1095,0.0515,0.0
2012-07-07 07:30:00,ramal_018,2.5284,0.1023,0.0418,0.0
2012-07-07 07:30:00,ramal_019,1.7743,0.0723,0.0295,0.0
2012-07-07 07:30:00,ramal_020,2.429,0.095,0.0476,0.0
2012-07-07 07:30:00,ramal_021,0.9858,0.0411,0.0124,0.0
2012-07-07 07:30:00,ramal_022,0.7485,0.0314,0.0094,0.0
2012-07-07 07:30:00,ramal_023,1.5339,0.0624,0.0254,0.0
2012-07-07 07:30:00,ramal_024,1.304,0.0527,0.0215,0.0
2012-07-07 07:30:00,ramal_025,2.3689,0.0958,0.0392,0.0
2012-07-07 07:30:00,ramal_026,0.913,0.0366,0.0161,0.0
2012-07-07 07:30:00,ramal_027,2.6306,0.1064,0.0435,0.0
2012-07-07 07:30:00,ramal_028,0.6509,0.0275,0.0083,0.0
2012-07-07 07:30:00,ramal_029,7.8904,0.3199,0.1303,0.0001
2012-07-07 07:30:00,ramal_030,0.6586,0.0278,0.0084,0.0
2012-07-07 07:30:00,ramal_031,1.2699,0.0525,0.018,0.0
2012-07-07 08:00:00,sec_001002,22.0709,0.5844,1.1243,0.0003
2012-07-07 08:00:00,sec_003004,2.2212,0.1115,0.0381,0.0
2012-07-07 08:00:00,sec_001003,13.0735,-0.7348,0.1519,0.0001
2012-07-07 08:00:00,sec_005006,14.6771,0.8106,0.3202,0.0001
2012-07-07 08:00:00,sec_007008,9.3486,0.1112,0.4989,0.0
2012-07-07 08:00:00,sec_009010,14.4839,-0.4476,0.7145,0.0001
2012-07-07 08:00:00,sec_011012,19.6246,1.1164,0.4639,0.0003
2012-07-07 08:00:00,sec_008011,9.3489,0.1112,0.4989,0.0
2012-07-07 08:00:00,sec_010007,18.0725,-0.8589,0.5461,0.0002
2012-07-07 08:00:00,sec_002009,22.0713,0.5841,1.1242,0.0002
2012-07-07 08:00:00,sec_006013,10.3468,0.5414,0.2426,0.0003
2012-07-07 08:00:00,sec_009005,14.677,0.811,0.3203,0.0004
2012-07-07 08:00:00,sec_012014,10.7308,0.6152,0.2422,0.0002
2012-07-07 08:00:00,ramal_001,7.2998,0.3579,0.1373,0.0001
2012-07-07 08:00:00,ramal_002,3.8084,0.2198,0.097,0.0
2012-07-07 08:00:00,ramal_003,5.1153,0.2068,0.0869,0.0
2012-07-07 08:00:00,ramal_004,1.8475,0.0886,0.035,0.0
2012-07-07 08:00:00,ramal_005,4.3487,0.1923,0.0883,0.0
2012-07-07 08:00:00,ramal_006,2.7178,0.1117,0.0419,0.0
2012-07-07 08:00:00,ramal_007,0.2925,0.0119,0.0052,0.0
2012-07-07 08:00:00,ramal_008,1.5194,0.0597,0.0299,0.0
2012-07-07 08:00:00,ramal_009,1.5957,0.0664,0.0225,0.0
2012-07-07 08:00:00,ramal_010,2.6451,0.1099,0.0373,0.0
2012-07-07 08:00:00,ramal_011,0.419,0.0166,0.0068,0.0
2012-07-07 08:00:00,ramal_012,2.9177,0.1239,0.0321,0.0
2012-07-07 08:00:00,ramal_013,2.1263,0.0887,0.0267,0.0
2012-07-07 08:00:00,ramal_014,5.4858,0.2227,0.0908,0.0
2012-07-07 08:00:00,ramal_015,6.3944,0.2536,0.1193,0.0
2012-07-07 08:00:00,ramal_016,1.6714,0.0648,0.0324,0.0
2012-07-07 08:00:00,ramal_017,2.7896,0.1106,0.0521,0.0
2012-07-07 08:00:00,ramal_018,1.3193,0.0536,0.0219,0.0
2012-07-07 08:00:00,ramal_019,1.3901,0.0565,0.0231,0.0
2012-07-07 08:00:00,ramal_020,3.4999,0.1373,0.0687,0.0
2012-07-07 08:00:00,ramal_021,2.3123,0.0971,0.0293,0.0
2012-07-07 08:00:00,ramal_022,0.9488,0.0399,0.012,0.0
2012-07-07 08:00:00,ramal_023,0.8716,0.0356,0.0145,0.0
2012-07-07 08:00:00,ramal_024,2.193,0.0888,0.0363,0.0
2012-07-07 08:00:00,ramal_025,2.1889,0.0889,0.0363,0.0
2012-07-07 08:00:00,ramal_026,0.4151,0.0166,0.0073,0.0
2012-07-07 08:00:00,ramal_027,1.0521,0.0429,0.0175,0.0
2012-07-07 08:00:00,ramal_028,1.052,0.0442,0.0133,0.0
2012-07-07 08:00:00,ramal_029,5.4582,0.2215,0.0904,0.0001
2012-07-07 08:00:00,ramal_030,0.5783,0.0244,0.0073,0.0
2012-07-07 08:00:00,ramal_031,1.4934,0.0616,0.0218,0.0
2012-07-07 08:30:00,sec_001002,20.7553,-0.4679,1.1688,0.0003
2012-07-07 08:30:00,sec_003004,3.6773,0.1846,0.0666,0.0
2012-07-07 08:30:00,sec_001003,21.5578,-1.2504,0.1917,0.0003
2012-07-07 08:30:00,sec_005006,19.1178,1.0455,0.378,0.0002
2012-07-07 08:30:00,sec_007008,13.2612,-0.4755,0.5148,0.0001
2012-07-07 08:30:00,sec_009010,29.5283,-1.6655,0.7258,0.0004
2012-07-07 08:30:00,sec_011012,20.2439,1.1113,0.4654,0.0003
2012-07-07 08:30:00,sec_008011,13.2615,-0.4755,0.5148,0.0001
2012-07-07 08:30:00,sec_010007,35.5952,-2.0225,0.5788,0.0008
2012-07-07 08:30:00,sec_002009,20.7558,-0.4682,1.1687,0.0002
2012-07-07 08:30:00,sec_006013,11.8733,0.5785,0.2501,0.0003
2012-07-07 08:30:00,sec_009005,19.1177,1.0461,0.3783,0.0007
2012-07-07 08:30:00,sec_012014,12.0501,0.6643,0.2638,0.0003
