Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,3.9632,0.2379,0.0822,0.0
2012-07-07 06:00:00,line_002_003,2.5955,0.157,0.0502,0.0
2012-07-07 06:00:00,line_003_004,1.7411,0.1054,0.0332,0.0
2012-07-07 06:00:00,line_004_005,1.1497,0.0701,0.0204,0.0
2012-07-07 06:30:00,line_001_002,5.3349,0.3176,0.1179,0.0
2012-07-07 06:30:00,line_002_003,1.7806,0.1075,0.0348,0.0
2012-07-07 06:30:00,line_003_004,1.3545,0.0818,0.0264,0.0
2012-07-07 06:30:00,line_004_005,0.7631,0.0465,0.0136,0.0
2012-07-07 07:00:00,line_001_002,5.1227,0.3062,0.1096,0.0
2012-07-07 07:00:00,line_002_003,4.3186,0.2587,0.0908,0.0
2012-07-07 07:00:00,line_003_004,3.9537,0.239,0.0766,0.0
2012-07-07 07:00:00,line_004_005,2.3402,0.1426,0.0416,0.0
2012-07-07 07:30:00,line_001_002,2.9355,-0.1479,0.0972,0.0
2012-07-07 07:30:00,line_002_003,1.9113,0.1013,0.0661,0.0
2012-07-07 07:30:00,line_003_004,2.7052,0.1633,0.053,0.0
2012-07-07 07:30:00,line_004_005,1.4347,0.0875,0.0255,0.0
2012-07-07 08:00:00,line_001_002,2.2593,-0.0729,0.1025,0.0
2012-07-07 08:00:00,line_002_003,1.6726,0.0084,0.0747,0.0
2012-07-07 08:00:00,line_003_004,1.6597,0.1001,0.0329,0.0
2012-07-07 08:00:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-07 08:30:00,line_001_002,1.6719,-0.0792,0.0704,0.0
2012-07-07 08:30:00,line_002_003,3.0022,-0.1815,0.0544,0.0
2012-07-07 08:30:00,line_003_004,1.5756,0.0946,0.0326,0.0
2012-07-07 08:30:00,line_004_005,0.407,0.0248,0.0072,0.0
2012-07-07 09:00:00,line_001_002,1.896,-0.0979,0.0693,0.0
2012-07-07 09:00:00,line_002_003,4.737,-0.2949,0.056,0.0
2012-07-07 09:00:00,line_003_004,1.8459,0.1107,0.0384,0.0
2012-07-07 09:00:00,line_004_005,0.407,0.0248,0.0072,0.0
2012-07-07 09:30:00,line_001_002,1.8035,-0.0657,0.0845,0.0
2012-07-07 09:30:00,line_002_003,6.1013,-0.3824,0.0611,0.0
2012-07-07 09:30:00,line_003_004,2.4776,0.149,0.0505,0.0
2012-07-07 09:30:00,line_004_005,0.8344,0.0509,0.0148,0.0
2012-07-07 10:00:00,line_001_002,2.7278,-0.0703,0.0991,0.0
2012-07-07 10:00:00,line_002_003,6.5922,-0.4097,0.0757,0.0
2012-07-07 10:00:00,line_003_004,3.2773,0.1987,0.0617,0.0
2012-07-07 10:00:00,line_004_005,2.4013,0.1464,0.0427,0.0
2012-07-07 10:30:00,line_001_002,6.5463,-0.0957,0.1732,0.0001
2012-07-07 10:30:00,line_002_003,6.5329,-0.1924,0.1564,0.0001
2012-07-07 10:30:00,line_003_004,8.2993,0.505,0.1503,0.0001
2012-07-07 10:30:00,line_004_005,7.6205,0.4643,0.1354,0.0001
2012-07-07 11:00:00,line_001_002,1.4235,-0.0756,0.0487,0.0
2012-07-07 11:00:00,line_002_003,9.7073,-0.6147,0.0469,0.0001
2012-07-07 11:00:00,line_003_004,1.6686,0.1006,0.0332,0.0
2012-07-07 11:00:00,line_004_005,0.7631,0.0465,0.0136,0.0
2012-07-07 11:30:00,line_001_002,1.5724,-0.0621,0.0552,0.0
2012-07-07 11:30:00,line_002_003,10.0962,-0.6395,0.045,0.0001
2012-07-07 11:30:00,line_003_004,2.0497,0.1241,0.0391,0.0
2012-07-07 11:30:00,line_004_005,1.3634,0.0831,0.0242,0.0
2012-07-07 12:00:00,line_001_002,2.8601,-0.0951,0.1259,0.0
2012-07-07 12:00:00,line_002_003,9.2323,-0.5821,0.0686,0.0001
2012-07-07 12:00:00,line_003_004,2.6704,0.1605,0.0546,0.0
2012-07-07 12:00:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-07 12:30:00,line_001_002,3.2166,-0.0883,0.1078,0.0
2012-07-07 12:30:00,line_002_003,11.1348,-0.7067,0.0252,0.0001
2012-07-07 12:30:00,line_003_004,1.0069,0.0608,0.0199,0.0
2012-07-07 12:30:00,line_004_005,0.4884,0.0298,0.0087,0.0
2012-07-07 13:00:00,line_001_002,2.7343,-0.1123,0.1117,0.0
2012-07-07 13:00:00,line_002_003,9.0556,-0.5714,0.0636,0.0001
2012-07-07 13:00:00,line_003_004,2.4471,0.1472,0.0499,0.0
2012-07-07 13:00:00,line_004_005,0.8038,0.049,0.0143,0.0
2012-07-07 13:30:00,line_001_002,4.055,-0.1265,0.1438,0.0
2012-07-07 13:30:00,line_002_003,9.1177,-0.5773,0.0441,0.0001
2012-07-07 13:30:00,line_003_004,1.9071,0.1148,0.0386,0.0
2012-07-07 13:30:00,line_004_005,0.7021,0.0428,0.0125,0.0
2012-07-07 14:00:00,line_001_002,3.3976,-0.1377,0.1217,0.0
2012-07-07 14:00:00,line_002_003,7.3795,-0.4644,0.0627,0.0001
2012-07-07 14:00:00,line_003_004,2.4691,0.1491,0.0484,0.0
2012-07-07 14:00:00,line_004_005,1.3227,0.0806,0.0235,0.0
2012-07-07 14:30:00,line_001_002,4.3948,-0.1292,0.1686,0.0
2012-07-07 14:30:00,line_002_003,5.3396,-0.328,0.0835,0.0
2012-07-07 14:30:00,line_003_004,3.9627,0.2392,0.078,0.0
2012-07-07 14:30:00,line_004_005,2.035,0.1241,0.0362,0.0
2012-07-07 15:00:00,line_001_002,3.1237,-0.1054,0.1166,0.0
2012-07-07 15:00:00,line_002_003,4.7776,-0.2962,0.0635,0.0
2012-07-07 15:00:00,line_003_004,2.5456,0.1539,0.0493,0.0
2012-07-07 15:00:00,line_004_005,1.5161,0.0924,0.027,0.0
2012-07-07 15:30:00,line_001_002,3.106,-0.1419,0.1001,0.0
2012-07-07 15:30:00,line_002_003,3.7624,-0.2338,0.0484,0.0
2012-07-07 15:30:00,line_003_004,2.2112,0.1336,0.0432,0.0
2012-07-07 15:30:00,line_004_005,1.2108,0.0738,0.0215,0.0
2012-07-07 16:00:00,line_001_002,3.855,-0.1209,0.1532,0.0
2012-07-07 16:00:00,line_002_003,1.3201,-0.0373,0.0735,0.0
2012-07-07 16:00:00,line_003_004,3.0132,0.1818,0.0596,0.0
2012-07-07 16:00:00,line_004_005,1.4652,0.0893,0.026,0.0
2012-07-07 16:30:00,line_001_002,3.8406,-0.1269,0.147,0.0
2012-07-07 16:30:00,line_002_003,1.7311,0.0808,0.0727,0.0
2012-07-07 16:30:00,line_003_004,3.3834,0.2041,0.0669,0.0
2012-07-07 16:30:00,line_004_005,1.6381,0.0999,0.0291,0.0
2012-07-07 17:00:00,line_001_002,4.4367,-0.1704,0.1569,0.0
2012-07-07 17:00:00,line_002_003,2.7973,0.1641,0.0677,0.0
2012-07-07 17:00:00,line_003_004,2.7779,0.1677,0.0544,0.0
2012-07-07 17:00:00,line_004_005,1.4855,0.0906,0.0264,0.0
2012-07-07 17:30:00,line_001_002,4.386,-0.1314,0.1589,0.0
2012-07-07 17:30:00,line_002_003,2.771,0.1668,0.0559,0.0
2012-07-07 17:30:00,line_003_004,2.4582,0.1483,0.0487,0.0
2012-07-07 17:30:00,line_004_005,1.1803,0.0719,0.021,0.0
2012-07-07 18:00:00,line_001_002,3.347,-0.1044,0.13,0.0
2012-07-07 18:00:00,line_002_003,3.0827,0.1861,0.0608,0.0
2012-07-07 18:00:00,line_003_004,2.5335,0.1529,0.0499,0.0
2012-07-07 18:00:00,line_004_005,1.2922,0.0788,0.023,0.0
2012-07-07 18:30:00,line_001_002,5.7343,-0.0969,0.2246,0.0
2012-07-07 18:30:00,line_002_003,5.8252,0.352,0.1136,0.0
2012-07-07 18:30:00,line_003_004,5.3218,0.3215,0.1036,0.0
2012-07-07 18:30:00,line_004_005,3.0219,0.1842,0.0537,0.0
2012-07-07 19:00:00,line_001_002,3.4341,-0.0767,0.1326,0.0
2012-07-07 19:00:00,line_002_003,2.7339,0.165,0.0538,0.0
2012-07-07 19:00:00,line_003_004,2.2609,0.1365,0.0444,0.0
2012-07-07 19:00:00,line_004_005,1.1803,0.0719,0.021,0.0
2012-07-07 19:30:00,line_001_002,3.5795,-0.0864,0.1437,0.0
2012-07-07 19:30:00,line_002_003,2.8738,0.1732,0.0574,0.0
2012-07-07 19:30:00,line_003_004,2.2941,0.1382,0.0459,0.0
2012-07-07 19:30:00,line_004_005,0.987,0.0602,0.0175,0.0
2012-07-07 20:00:00,line_001_002,3.5584,-0.0961,0.1512,0.0
2012-07-07 20:00:00,line_002_003,3.4158,0.2057,0.0688,0.0
2012-07-07 20:00:00,line_003_004,2.7292,0.1643,0.0551,0.0
2012-07-07 20:00:00,line_004_005,1.0277,0.0626,0.0183,0.0
2012-07-07 20:30:00,line_001_002,3.4363,-0.0782,0.161,0.0
2012-07-07 20:30:00,line_002_003,4.0894,0.2456,0.0842,0.0
2012-07-07 20:30:00,line_003_004,3.586,0.2152,0.0742,0.0
2012-07-07 20:30:00,line_004_005,0.9056,0.0552,0.0161,0.0
2012-07-07 21:00:00,line_001_002,3.8183,-0.0827,0.1664,0.0
2012-07-07 21:00:00,line_002_003,3.7301,0.2247,0.075,0.0
2012-07-07 21:00:00,line_003_004,2.8909,0.174,0.0583,0.0
2012-07-07 21:00:00,line_004_005,1.1091,0.0676,0.0197,0.0
2012-07-07 21:30:00,line_001_002,4.1989,-0.0962,0.1673,0.0
2012-07-07 21:30:00,line_002_003,3.3353,0.2009,0.0669,0.0
2012-07-07 21:30:00,line_003_004,2.9387,0.177,0.059,0.0
2012-07-07 21:30:00,line_004_005,1.2006,0.0732,0.0213,0.0
2012-07-07 22:00:00,line_001_002,3.6292,-0.0789,0.1467,0.0
2012-07-07 22:00:00,line_002_003,2.7093,0.1634,0.0539,0.0
2012-07-07 22:00:00,line_003_004,1.7328,0.1045,0.0345,0.0
2012-07-07 22:00:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-07 22:30:00,line_001_002,1.9147,-0.0835,0.0691,0.0
2012-07-07 22:30:00,line_002_003,1.4717,0.0887,0.0295,0.0
2012-07-07 22:30:00,line_003_004,1.0598,0.0638,0.0213,0.0
2012-07-07 22:30:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-07 23:00:00,line_001_002,2.5043,-0.0977,0.0945,0.0
2012-07-07 23:00:00,line_002_003,2.3654,0.1428,0.0465,0.0
2012-07-07 23:00:00,line_003_004,1.3736,0.083,0.0268,0.0
2012-07-07 23:00:00,line_004_005,0.7529,0.0459,0.0134,0.0
2012-07-07 23:30:00,line_001_002,2.3302,-0.0834,0.0856,0.0
2012-07-07 23:30:00,line_002_003,1.9839,0.1199,0.0388,0.0
2012-07-07 23:30:00,line_003_004,1.4651,0.0886,0.0285,0.0
2012-07-07 23:30:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-08 00:00:00,line_001_002,2.2005,-0.0804,0.0858,0.0
2012-07-08 00:00:00,line_002_003,2.3021,0.139,0.0451,0.0
2012-07-08 00:00:00,line_003_004,1.4171,0.0856,0.0276,0.0
2012-07-08 00:00:00,line_004_005,0.8038,0.049,0.0143,0.0
2012-07-08 00:30:00,line_001_002,2.2223,-0.0969,0.0716,0.0
2012-07-08 00:30:00,line_002_003,1.7502,0.1059,0.0337,0.0
2012-07-08 00:30:00,line_003_004,1.2009,0.0727,0.0229,0.0
2012-07-08 00:30:00,line_004_005,0.814,0.0496,0.0145,0.0
2012-07-08 01:00:00,line_001_002,2.4671,-0.1164,0.0809,0.0
2012-07-08 01:00:00,line_002_003,2.1263,0.1285,0.0416,0.0
2012-07-08 01:00:00,line_003_004,1.455,0.0879,0.0283,0.0
2012-07-08 01:00:00,line_004_005,0.8343,0.0509,0.0148,0.0
2012-07-08 01:30:00,line_001_002,2.2346,-0.1066,0.0682,0.0
2012-07-08 01:30:00,line_002_003,1.6688,0.1009,0.0323,0.0
2012-07-08 01:30:00,line_003_004,1.1195,0.0678,0.0214,0.0
2012-07-08 01:30:00,line_004_005,0.7326,0.0447,0.013,0.0
2012-07-08 02:00:00,line_001_002,2.0074,-0.1097,0.0586,0.0
2012-07-08 02:00:00,line_002_003,1.6409,0.0989,0.0328,0.0
2012-07-08 02:00:00,line_003_004,1.0306,0.0621,0.0207,0.0
2012-07-08 02:00:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-08 02:30:00,line_001_002,1.74,-0.1015,0.0387,0.0
2012-07-08 02:30:00,line_002_003,1.3341,0.0806,0.0261,0.0
2012-07-08 02:30:00,line_003_004,0.7543,0.0456,0.0146,0.0
2012-07-08 02:30:00,line_004_005,0.4477,0.0273,0.008,0.0
2012-07-08 03:00:00,line_001_002,1.8205,-0.0939,0.0535,0.0
2012-07-08 03:00:00,line_002_003,1.8079,0.1094,0.035,0.0
2012-07-08 03:00:00,line_003_004,1.3045,0.079,0.025,0.0
2012-07-08 03:00:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-08 03:30:00,line_001_002,1.9596,-0.1052,0.052,0.0
2012-07-08 03:30:00,line_002_003,1.5894,0.0962,0.0307,0.0
2012-07-08 03:30:00,line_003_004,1.0554,0.0639,0.0201,0.0
2012-07-08 03:30:00,line_004_005,0.7122,0.0434,0.0127,0.0
2012-07-08 04:00:00,line_001_002,1.808,-0.1022,0.0455,0.0
2012-07-08 04:00:00,line_002_003,1.2851,0.0776,0.0253,0.0
2012-07-08 04:00:00,line_003_004,0.7969,0.0481,0.0156,0.0
2012-07-08 04:00:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-08 04:30:00,line_001_002,1.5849,-0.094,0.0341,0.0
2012-07-08 04:30:00,line_002_003,1.3026,0.0786,0.0257,0.0
2012-07-08 04:30:00,line_003_004,0.8143,0.0492,0.016,0.0
2012-07-08 04:30:00,line_004_005,0.4274,0.0261,0.0076,0.0
2012-07-08 05:00:00,line_001_002,1.8508,-0.1029,0.039,0.0
2012-07-08 05:00:00,line_002_003,1.5207,0.0922,0.0286,0.0
2012-07-08 05:00:00,line_003_004,0.9714,0.0591,0.0177,0.0
2012-07-08 05:00:00,line_004_005,0.8547,0.0521,0.0152,0.0
2012-07-08 05:30:00,line_001_002,2.0994,-0.103,0.0696,0.0
2012-07-08 05:30:00,line_002_003,2.4202,0.1463,0.0472,0.0
2012-07-08 05:30:00,line_003_004,1.7184,0.1039,0.0333,0.0
2012-07-08 05:30:00,line_004_005,1.0175,0.062,0.0181,0.0
2012-07-08 06:00:00,line_001_002,2.0721,-0.0917,0.0789,0.0
2012-07-08 06:00:00,line_002_003,2.3601,0.1424,0.0467,0.0
2012-07-08 06:00:00,line_003_004,1.4599,0.0881,0.0288,0.0
2012-07-08 06:00:00,line_004_005,0.7224,0.044,0.0128,0.0
2012-07-08 06:30:00,line_001_002,2.4098,-0.103,0.1012,0.0
2012-07-08 06:30:00,line_002_003,3.1022,0.1866,0.0631,0.0
2012-07-08 06:30:00,line_003_004,2.4778,0.1489,0.0506,0.0
2012-07-08 06:30:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-08 07:00:00,line_001_002,2.3102,-0.1037,0.0878,0.0
2012-07-08 07:00:00,line_002_003,2.6161,0.1553,0.0589,0.0
2012-07-08 07:00:00,line_003_004,2.0627,0.1246,0.0404,0.0
2012-07-08 07:00:00,line_004_005,1.0989,0.067,0.0195,0.0
2012-07-08 07:30:00,line_001_002,2.3675,-0.0925,0.0936,0.0
2012-07-08 07:30:00,line_002_003,1.8363,0.0955,0.0652,0.0
2012-07-08 07:30:00,line_003_004,2.7803,0.168,0.054,0.0
2012-07-08 07:30:00,line_004_005,1.5974,0.0974,0.0284,0.0
2012-07-08 08:00:00,line_001_002,3.4424,-0.1015,0.1483,0.0
2012-07-08 08:00:00,line_002_003,3.1843,0.1581,0.1208,0.0
2012-07-08 08:00:00,line_003_004,4.1494,0.2511,0.0796,0.0
2012-07-08 08:00:00,line_004_005,2.6454,0.1612,0.047,0.0
2012-07-08 08:30:00,line_001_002,2.0659,-0.1046,0.077,0.0
2012-07-08 08:30:00,line_002_003,2.6435,-0.156,0.0601,0.0
2012-07-08 08:30:00,line_003_004,1.8953,0.1141,0.0383,0.0
2012-07-08 08:30:00,line_004_005,0.7123,0.0434,0.0127,0.0
2012-07-08 09:00:00,line_001_002,1.8969,-0.089,0.0806,0.0
2012-07-08 09:00:00,line_002_003,4.0863,-0.2504,0.0668,0.0
2012-07-08 09:00:00,line_003_004,2.3623,0.1421,0.048,0.0
2012-07-08 09:00:00,line_004_005,0.814,0.0496,0.0145,0.0
2012-07-08 09:30:00,line_001_002,3.0227,-0.1407,0.1028,0.0
2012-07-08 09:30:00,line_002_003,4.8443,-0.2953,0.0814,0.0
2012-07-08 09:30:00,line_003_004,3.9306,0.2376,0.0762,0.0
2012-07-08 09:30:00,line_004_005,2.3097,0.1408,0.0411,0.0
2012-07-08 10:00:00,line_001_002,3.0515,-0.1467,0.1041,0.0
2012-07-08 10:00:00,line_002_003,6.203,-0.3855,0.079,0.0
2012-07-08 10:00:00,line_003_004,3.3323,0.2014,0.0648,0.0
2012-07-08 10:00:00,line_004_005,1.9231,0.1172,0.0342,0.0
2012-07-08 10:30:00,line_001_002,2.8865,-0.1452,0.0892,0.0
2012-07-08 10:30:00,line_002_003,7.7613,-0.4884,0.0647,0.0001
2012-07-08 10:30:00,line_003_004,3.0425,0.1839,0.0591,0.0
2012-07-08 10:30:00,line_004_005,1.7501,0.1067,0.0311,0.0
2012-07-08 11:00:00,line_001_002,2.0623,-0.1153,0.0613,0.0
2012-07-08 11:00:00,line_002_003,8.6926,-0.549,0.0572,0.0001
2012-07-08 11:00:00,line_003_004,2.1335,0.1283,0.0435,0.0
2012-07-08 11:00:00,line_004_005,0.7021,0.0428,0.0125,0.0
2012-07-08 11:30:00,line_001_002,2.6033,-0.1265,0.0807,0.0
2012-07-08 11:30:00,line_002_003,7.8032,-0.4881,0.0789,0.0001
