Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,3.9632,0.2379,0.0822,0.0
2012-07-07 06:00:00,line_002_003,2.5955,0.157,0.0502,0.0
2012-07-07 06:00:00,line_003_004,1.7411,0.1054,0.0332,0.0
2012-07-07 06:00:00,line_004_005,1.1497,0.0701,0.0204,0.0
2012-07-07 06:30:00,line_001_002,5.3349,0.3176,0.1179,0.0
2012-07-07 06:30:00,line_002_003,1.7806,0.1075,0.0348,0.0
2012-07-07 06:30:00,line_003_004,1.3545,0.0818,0.0264,0.0
2012-07-07 06:30:00,line_004_005,0.7631,0.0465,0.0136,0.0
2012-07-07 07:00:00,line_001_002,5.1227,0.3062,0.1096,0.0
2012-07-07 07:00:00,line_002_003,4.3186,0.2587,0.0908,0.0
2012-07-07 07:00:00,line_003_004,3.9537,0.239,0.0766,0.0
2012-07-07 07:00:00,line_004_005,2.3402,0.1426,0.0416,0.0
2012-07-07 07:30:00,line_001_002,2.9157,-0.148,0.0949,0.0
2012-07-07 07:30:00,line_002_003,3.6463,-0.2218,0.0657,0.0
2012-07-07 07:30:00,line_003_004,2.6692,-0.1597,0.0527,0.0
2012-07-07 07:30:00,line_004_005,1.4347,0.0875,0.0255,0.0
2012-07-07 08:00:00,line_001_002,2.2331,-0.073,0.1001,0.0
2012-07-07 08:00:00,line_002_003,2.6,-0.1383,0.0743,0.0
2012-07-07 08:00:00,line_003_004,0.9372,-0.0466,0.0325,0.0
2012-07-07 08:00:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-07 08:30:00,line_001_002,1.6937,-0.0797,0.0719,0.0
2012-07-07 08:30:00,line_002_003,2.1807,-0.1251,0.054,0.0
2012-07-07 08:30:00,line_003_004,2.4326,0.151,0.0322,0.0
2012-07-07 08:30:00,line_004_005,0.407,0.0248,0.0072,0.0
2012-07-07 09:00:00,line_001_002,1.9158,-0.0984,0.0708,0.0
2012-07-07 09:00:00,line_002_003,2.3602,-0.1368,0.0556,0.0
2012-07-07 09:00:00,line_003_004,4.2802,0.2689,0.0381,0.0
2012-07-07 09:00:00,line_004_005,0.407,0.0248,0.0072,0.0
2012-07-07 09:30:00,line_001_002,1.825,-0.0662,0.0859,0.0
2012-07-07 09:30:00,line_002_003,2.2793,-0.1301,0.0607,0.0
2012-07-07 09:30:00,line_003_004,6.3701,0.4013,0.0501,0.0
2012-07-07 09:30:00,line_004_005,0.8343,0.0509,0.0148,0.0
2012-07-07 10:00:00,line_001_002,2.7478,-0.0707,0.1005,0.0
2012-07-07 10:00:00,line_002_003,2.6941,-0.1346,0.0753,0.0
2012-07-07 10:00:00,line_003_004,7.5265,0.4738,0.0614,0.0001
2012-07-07 10:00:00,line_004_005,2.4012,0.1464,0.0427,0.0
2012-07-07 10:30:00,line_001_002,6.5631,-0.0962,0.1747,0.0001
2012-07-07 10:30:00,line_002_003,6.262,-0.1431,0.1561,0.0001
2012-07-07 10:30:00,line_003_004,9.0466,0.5544,0.1499,0.0001
2012-07-07 10:30:00,line_004_005,7.6204,0.4643,0.1354,0.0001
2012-07-07 11:00:00,line_001_002,1.4424,-0.0761,0.0502,0.0
2012-07-07 11:00:00,line_002_003,1.5349,-0.0853,0.0465,0.0
2012-07-07 11:00:00,line_003_004,9.9349,0.6301,0.0329,0.0001
2012-07-07 11:00:00,line_004_005,0.7631,0.0465,0.0136,0.0
2012-07-07 11:30:00,line_001_002,1.5928,-0.0626,0.0567,0.0
2012-07-07 11:30:00,line_002_003,1.6921,-0.0931,0.0446,0.0
2012-07-07 11:30:00,line_003_004,10.5779,0.6706,0.0389,0.0001
2012-07-07 11:30:00,line_004_005,1.3634,0.0831,0.0242,0.0
2012-07-07 12:00:00,line_001_002,2.8806,-0.0956,0.1274,0.0
2012-07-07 12:00:00,line_002_003,4.0205,-0.2453,0.0682,0.0
2012-07-07 12:00:00,line_003_004,7.8802,0.4973,0.0543,0.0001
2012-07-07 12:00:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-07 12:30:00,line_001_002,3.2344,-0.0888,0.1092,0.0
2012-07-07 12:30:00,line_002_003,4.7786,-0.3025,0.0248,0.0
2012-07-07 12:30:00,line_003_004,7.3292,0.4651,0.0196,0.0001
2012-07-07 12:30:00,line_004_005,0.4884,0.0298,0.0087,0.0
2012-07-07 13:00:00,line_001_002,2.7549,-0.1128,0.1131,0.0
2012-07-07 13:00:00,line_002_003,3.9013,-0.2391,0.0632,0.0
2012-07-07 13:00:00,line_003_004,7.5933,0.4796,0.0496,0.0001
2012-07-07 13:00:00,line_004_005,0.8038,0.049,0.0143,0.0
2012-07-07 13:30:00,line_001_002,4.0739,-0.127,0.1453,0.0
2012-07-07 13:30:00,line_002_003,6.0864,-0.3839,0.0437,0.0
2012-07-07 13:30:00,line_003_004,4.8905,0.3082,0.0382,0.0
2012-07-07 13:30:00,line_004_005,0.7021,0.0428,0.0125,0.0
2012-07-07 14:00:00,line_001_002,3.4184,-0.1382,0.1231,0.0
2012-07-07 14:00:00,line_002_003,4.7071,-0.2922,0.0623,0.0
2012-07-07 14:00:00,line_003_004,5.1158,0.3213,0.048,0.0
2012-07-07 14:00:00,line_004_005,1.3227,0.0806,0.0235,0.0
2012-07-07 14:30:00,line_001_002,4.3688,-0.1292,0.1661,0.0
2012-07-07 14:30:00,line_002_003,5.5104,-0.3393,0.083,0.0
2012-07-07 14:30:00,line_003_004,3.7917,0.2279,0.0776,0.0
2012-07-07 14:30:00,line_004_005,2.035,0.1241,0.0362,0.0
2012-07-07 15:00:00,line_001_002,3.1448,-0.1059,0.1181,0.0
2012-07-07 15:00:00,line_002_003,3.9954,-0.245,0.0631,0.0
2012-07-07 15:00:00,line_003_004,3.3202,0.2051,0.0489,0.0
2012-07-07 15:00:00,line_004_005,1.516,0.0924,0.027,0.0
2012-07-07 15:30:00,line_001_002,3.0837,-0.142,0.0976,0.0
2012-07-07 15:30:00,line_002_003,4.2834,-0.2676,0.048,0.0
2012-07-07 15:30:00,line_003_004,1.712,0.0998,0.0428,0.0
2012-07-07 15:30:00,line_004_005,1.2108,0.0738,0.0215,0.0
2012-07-07 16:00:00,line_001_002,3.8295,-0.1209,0.1509,0.0
2012-07-07 16:00:00,line_002_003,5.1309,-0.3175,0.0732,0.0
2012-07-07 16:00:00,line_003_004,1.8694,-0.0984,0.0592,0.0
2012-07-07 16:00:00,line_004_005,1.4652,0.0893,0.0261,0.0
2012-07-07 16:30:00,line_001_002,3.8159,-0.1269,0.1447,0.0
2012-07-07 16:30:00,line_002_003,5.0185,-0.31,0.0724,0.0
2012-07-07 16:30:00,line_003_004,3.1512,-0.1868,0.0666,0.0
2012-07-07 16:30:00,line_004_005,1.6382,0.0999,0.0291,0.0
2012-07-07 17:00:00,line_001_002,4.4135,-0.1703,0.1547,0.0
2012-07-07 17:00:00,line_002_003,6.2503,-0.3911,0.0675,0.0
2012-07-07 17:00:00,line_003_004,6.1647,-0.3875,0.0541,0.0
2012-07-07 17:00:00,line_004_005,1.4856,0.0906,0.0264,0.0
2012-07-07 17:30:00,line_001_002,4.3626,-0.1314,0.1567,0.0
2012-07-07 17:30:00,line_002_003,6.1554,-0.3869,0.0557,0.0
2012-07-07 17:30:00,line_003_004,6.4324,-0.4055,0.0484,0.0
2012-07-07 17:30:00,line_004_005,1.1803,0.072,0.021,0.0
2012-07-07 18:00:00,line_001_002,3.3224,-0.1044,0.1278,0.0
2012-07-07 18:00:00,line_002_003,4.4313,-0.2748,0.0604,0.0
2012-07-07 18:00:00,line_003_004,4.9164,-0.3079,0.0495,0.0
2012-07-07 18:00:00,line_004_005,1.2922,0.0788,0.023,0.0
2012-07-07 18:30:00,line_001_002,5.7106,-0.0968,0.2225,0.0
2012-07-07 18:30:00,line_002_003,6.1617,-0.3729,0.1133,0.0
2012-07-07 18:30:00,line_003_004,6.5853,-0.4033,0.1033,0.0
2012-07-07 18:30:00,line_004_005,3.022,0.1842,0.0537,0.0
2012-07-07 19:00:00,line_001_002,3.4099,-0.0767,0.1303,0.0
2012-07-07 19:00:00,line_002_003,4.3538,-0.2712,0.0535,0.0
2012-07-07 19:00:00,line_003_004,4.7749,-0.2998,0.0441,0.0
2012-07-07 19:00:00,line_004_005,1.1803,0.072,0.021,0.0
2012-07-07 19:30:00,line_001_002,3.555,-0.0864,0.1415,0.0
2012-07-07 19:30:00,line_002_003,4.8089,-0.3,0.0571,0.0
2012-07-07 19:30:00,line_003_004,5.3282,-0.335,0.0455,0.0
2012-07-07 19:30:00,line_004_005,0.987,0.0602,0.0176,0.0
2012-07-07 20:00:00,line_001_002,3.5332,-0.0961,0.149,0.0
2012-07-07 20:00:00,line_002_003,4.8454,-0.2998,0.0684,0.0
2012-07-07 20:00:00,line_003_004,5.4525,-0.3413,0.0548,0.0
2012-07-07 20:00:00,line_004_005,1.0277,0.0627,0.0183,0.0
2012-07-07 20:30:00,line_001_002,3.4104,-0.0782,0.1587,0.0
2012-07-07 20:30:00,line_002_003,4.4656,-0.2677,0.0838,0.0
2012-07-07 20:30:00,line_003_004,4.8914,-0.2981,0.0738,0.0
2012-07-07 20:30:00,line_004_005,0.9056,0.0552,0.0161,0.0
2012-07-07 21:00:00,line_001_002,3.7931,-0.0826,0.1642,0.0
2012-07-07 21:00:00,line_002_003,5.0086,-0.309,0.0747,0.0
2012-07-07 21:00:00,line_003_004,5.7473,-0.3597,0.058,0.0
2012-07-07 21:00:00,line_004_005,1.1091,0.0676,0.0197,0.0
2012-07-07 21:30:00,line_001_002,4.175,-0.0962,0.165,0.0
2012-07-07 21:30:00,line_002_003,5.5406,-0.3453,0.0666,0.0
2012-07-07 21:30:00,line_003_004,5.8955,-0.3693,0.0587,0.0
2012-07-07 21:30:00,line_004_005,1.2007,0.0732,0.0214,0.0
2012-07-07 22:00:00,line_001_002,3.6048,-0.0789,0.1444,0.0
2012-07-07 22:00:00,line_002_003,4.938,-0.3088,0.0536,0.0
2012-07-07 22:00:00,line_003_004,5.8177,-0.3678,0.0342,0.0
2012-07-07 22:00:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-07 22:30:00,line_001_002,1.8922,-0.0835,0.0667,0.0
2012-07-07 22:30:00,line_002_003,2.85,-0.1786,0.0291,0.0
2012-07-07 22:30:00,line_003_004,3.2227,-0.2035,0.021,0.0
2012-07-07 22:30:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-07 23:00:00,line_001_002,2.4816,-0.0977,0.0922,0.0
2012-07-07 23:00:00,line_002_003,3.4587,-0.2141,0.0462,0.0
2012-07-07 23:00:00,line_003_004,4.3359,-0.274,0.0265,0.0
2012-07-07 23:00:00,line_004_005,0.753,0.0459,0.0134,0.0
2012-07-07 23:30:00,line_001_002,2.3065,-0.0835,0.0833,0.0
2012-07-07 23:30:00,line_002_003,3.1639,-0.197,0.0384,0.0
2012-07-07 23:30:00,line_003_004,3.625,-0.2283,0.0281,0.0
2012-07-07 23:30:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-08 00:00:00,line_001_002,2.1771,-0.0805,0.0835,0.0
2012-07-08 00:00:00,line_002_003,2.9077,-0.1784,0.0448,0.0
2012-07-08 00:00:00,line_003_004,3.678,-0.2319,0.0272,0.0
2012-07-08 00:00:00,line_004_005,0.8038,0.049,0.0143,0.0
2012-07-08 00:30:00,line_001_002,2.2016,-0.0969,0.0693,0.0
2012-07-08 00:30:00,line_002_003,3.012,-0.1878,0.0334,0.0
2012-07-08 00:30:00,line_003_004,3.5004,-0.221,0.0225,0.0
2012-07-08 00:30:00,line_004_005,0.814,0.0496,0.0145,0.0
2012-07-08 01:00:00,line_001_002,2.447,-0.1164,0.0786,0.0
2012-07-08 01:00:00,line_002_003,3.387,-0.2108,0.0412,0.0
2012-07-08 01:00:00,line_003_004,3.9841,-0.2514,0.0279,0.0
2012-07-08 01:00:00,line_004_005,0.8344,0.0509,0.0148,0.0
2012-07-08 01:30:00,line_001_002,2.2154,-0.1067,0.0659,0.0
2012-07-08 01:30:00,line_002_003,3.0795,-0.1926,0.0319,0.0
2012-07-08 01:30:00,line_003_004,3.5717,-0.2257,0.021,0.0
2012-07-08 01:30:00,line_004_005,0.7326,0.0447,0.013,0.0
2012-07-08 02:00:00,line_001_002,1.9912,-0.1098,0.0563,0.0
2012-07-08 02:00:00,line_002_003,2.7284,-0.1701,0.0324,0.0
2012-07-08 02:00:00,line_003_004,3.2754,-0.2069,0.0203,0.0
2012-07-08 02:00:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-08 02:30:00,line_001_002,1.7283,-0.1015,0.0364,0.0
2012-07-08 02:30:00,line_002_003,2.0701,-0.1285,0.0257,0.0
2012-07-08 02:30:00,line_003_004,2.585,-0.1635,0.0142,0.0
2012-07-08 02:30:00,line_004_005,0.4477,0.0273,0.008,0.0
2012-07-08 03:00:00,line_001_002,1.8032,-0.094,0.0511,0.0
2012-07-08 03:00:00,line_002_003,2.2201,-0.1358,0.0346,0.0
2012-07-08 03:00:00,line_003_004,2.6514,-0.1662,0.0246,0.0
2012-07-08 03:00:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-08 03:30:00,line_001_002,1.944,-0.1053,0.0497,0.0
2012-07-08 03:30:00,line_002_003,2.4848,-0.1542,0.0303,0.0
2012-07-08 03:30:00,line_003_004,2.9558,-0.1865,0.0197,0.0
2012-07-08 03:30:00,line_004_005,0.7123,0.0434,0.0127,0.0
2012-07-08 04:00:00,line_001_002,1.7942,-0.1023,0.0432,0.0
2012-07-08 04:00:00,line_002_003,2.3719,-0.1484,0.0249,0.0
2012-07-08 04:00:00,line_003_004,2.8119,-0.1779,0.0153,0.0
2012-07-08 04:00:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-08 04:30:00,line_001_002,1.574,-0.094,0.0317,0.0
2012-07-08 04:30:00,line_002_003,1.7865,-0.1104,0.0253,0.0
2012-07-08 04:30:00,line_003_004,2.2166,-0.1398,0.0156,0.0
2012-07-08 04:30:00,line_004_005,0.4274,0.0261,0.0076,0.0
2012-07-08 05:00:00,line_001_002,1.8381,-0.103,0.0366,0.0
2012-07-08 05:00:00,line_002_003,2.0501,-0.1243,0.0282,0.0
2012-07-08 05:00:00,line_003_004,2.5057,-0.1574,0.0173,0.0
2012-07-08 05:00:00,line_004_005,0.8547,0.0521,0.0152,0.0
2012-07-08 05:30:00,line_001_002,2.0801,-0.103,0.0673,0.0
2012-07-08 05:30:00,line_002_003,2.5603,-0.1548,0.0468,0.0
2012-07-08 05:30:00,line_003_004,3.1535,-0.1972,0.0329,0.0
2012-07-08 05:30:00,line_004_005,1.0175,0.062,0.0181,0.0
2012-07-08 06:00:00,line_001_002,2.0502,-0.0917,0.0766,0.0
2012-07-08 06:00:00,line_002_003,2.7571,-0.1684,0.0463,0.0
2012-07-08 06:00:00,line_003_004,3.5372,-0.2227,0.0285,0.0
2012-07-08 06:00:00,line_004_005,0.7224,0.044,0.0128,0.0
