Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,3.9632,0.2379,0.0822,0.0
2012-07-07 06:00:00,line_002_003,2.5955,0.157,0.0502,0.0
2012-07-07 06:00:00,line_003_004,1.7411,0.1054,0.0332,0.0
2012-07-07 06:00:00,line_004_005,1.1497,0.0701,0.0204,0.0
2012-07-07 06:30:00,line_001_002,5.3349,0.3176,0.1179,0.0
2012-07-07 06:30:00,line_002_003,1.7806,0.1075,0.0348,0.0
2012-07-07 06:30:00,line_003_004,1.3545,0.0818,0.0264,0.0
2012-07-07 06:30:00,line_004_005,0.7631,0.0465,0.0136,0.0
2012-07-07 07:00:00,line_001_002,5.1227,0.3062,0.1096,0.0
2012-07-07 07:00:00,line_002_003,4.3186,0.2587,0.0908,0.0
2012-07-07 07:00:00,line_003_004,3.9537,0.239,0.0766,0.0
2012-07-07 07:00:00,line_004_005,2.3402,0.1426,0.0416,0.0
2012-07-07 07:30:00,line_001_002,3.1514,0.1751,0.0952,0.0
2012-07-07 07:30:00,line_002_003,1.9111,0.1013,0.066,0.0
2012-07-07 07:30:00,line_003_004,2.7051,0.1633,0.053,0.0
2012-07-07 07:30:00,line_004_005,1.4346,0.0875,0.0255,0.0
2012-07-07 08:00:00,line_001_002,2.0742,0.0737,0.1005,0.0
2012-07-07 08:00:00,line_002_003,1.6726,0.0084,0.0747,0.0
2012-07-07 08:00:00,line_003_004,1.6597,0.1001,0.0329,0.0
2012-07-07 08:00:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-07 08:30:00,line_001_002,2.4277,-0.1361,0.0723,0.0
2012-07-07 08:30:00,line_002_003,3.002,-0.1815,0.0544,0.0
2012-07-07 08:30:00,line_003_004,1.5756,0.0946,0.0326,0.0
2012-07-07 08:30:00,line_004_005,0.407,0.0248,0.0072,0.0
2012-07-07 09:00:00,line_001_002,4.1944,-0.2566,0.0712,0.0
2012-07-07 09:00:00,line_002_003,4.7366,-0.2949,0.056,0.0
2012-07-07 09:00:00,line_003_004,1.8459,0.1107,0.0384,0.0
2012-07-07 09:00:00,line_004_005,0.407,0.0248,0.0072,0.0
2012-07-07 09:30:00,line_001_002,5.2108,-0.3185,0.0864,0.0
2012-07-07 09:30:00,line_002_003,6.1006,-0.3824,0.0611,0.0
2012-07-07 09:30:00,line_003_004,2.4776,0.149,0.0505,0.0
2012-07-07 09:30:00,line_004_005,0.8344,0.0509,0.0148,0.0
2012-07-07 10:00:00,line_001_002,5.7948,-0.3457,0.101,0.0
2012-07-07 10:00:00,line_002_003,6.5914,-0.4097,0.0757,0.0
2012-07-07 10:00:00,line_003_004,3.2773,0.1987,0.0617,0.0
2012-07-07 10:00:00,line_004_005,2.4013,0.1464,0.0427,0.0
2012-07-07 10:30:00,line_001_002,6.7524,-0.1455,0.1751,0.0001
2012-07-07 10:30:00,line_002_003,6.5327,-0.1924,0.1564,0.0001
2012-07-07 10:30:00,line_003_004,8.2992,0.505,0.1503,0.0001
2012-07-07 10:30:00,line_004_005,7.6205,0.4643,0.1354,0.0001
2012-07-07 11:00:00,line_001_002,9.5652,-0.6053,0.0507,0.0001
2012-07-07 11:00:00,line_002_003,9.7055,-0.6147,0.0469,0.0001
2012-07-07 11:00:00,line_003_004,1.6686,0.1006,0.0332,0.0
2012-07-07 11:00:00,line_004_005,0.7631,0.0465,0.0136,0.0
2012-07-07 11:30:00,line_001_002,9.6361,-0.6088,0.0571,0.0001
2012-07-07 11:30:00,line_002_003,10.0943,-0.6394,0.045,0.0001
2012-07-07 11:30:00,line_003_004,2.0497,0.1242,0.0391,0.0
2012-07-07 11:30:00,line_004_005,1.3635,0.0831,0.0243,0.0
2012-07-07 12:00:00,line_001_002,7.1554,-0.4323,0.1279,0.0001
2012-07-07 12:00:00,line_002_003,9.2311,-0.5821,0.0686,0.0001
2012-07-07 12:00:00,line_003_004,2.6704,0.1605,0.0546,0.0
2012-07-07 12:00:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-07 12:30:00,line_001_002,8.07,-0.493,0.1097,0.0001
2012-07-07 12:30:00,line_002_003,11.1333,-0.7067,0.0252,0.0001
2012-07-07 12:30:00,line_003_004,1.0069,0.0608,0.0199,0.0
2012-07-07 12:30:00,line_004_005,0.4884,0.0298,0.0087,0.0
2012-07-07 13:00:00,line_001_002,7.2675,-0.445,0.1136,0.0001
2012-07-07 13:00:00,line_002_003,9.0544,-0.5714,0.0636,0.0001
2012-07-07 13:00:00,line_003_004,2.4471,0.1472,0.0499,0.0
2012-07-07 13:00:00,line_004_005,0.8038,0.049,0.0143,0.0
2012-07-07 13:30:00,line_001_002,5.9159,-0.3203,0.1457,0.0
2012-07-07 13:30:00,line_002_003,9.1169,-0.5773,0.0441,0.0001
2012-07-07 13:30:00,line_003_004,1.9071,0.1148,0.0386,0.0
2012-07-07 13:30:00,line_004_005,0.7021,0.0428,0.0125,0.0
2012-07-07 14:00:00,line_001_002,5.4291,-0.3103,0.1236,0.0
2012-07-07 14:00:00,line_002_003,7.3788,-0.4644,0.0627,0.0001
2012-07-07 14:00:00,line_003_004,2.4691,0.1491,0.0484,0.0
2012-07-07 14:00:00,line_004_005,1.3227,0.0806,0.0235,0.0
2012-07-07 14:30:00,line_001_002,4.319,-0.1179,0.1665,0.0
2012-07-07 14:30:00,line_002_003,5.3394,-0.328,0.0835,0.0
2012-07-07 14:30:00,line_003_004,3.9627,0.2392,0.078,0.0
2012-07-07 14:30:00,line_004_005,2.035,0.1241,0.0362,0.0
2012-07-07 15:00:00,line_001_002,3.5515,-0.1571,0.1185,0.0
2012-07-07 15:00:00,line_002_003,4.7774,-0.2962,0.0635,0.0
2012-07-07 15:00:00,line_003_004,2.5455,0.1539,0.0493,0.0
2012-07-07 15:00:00,line_004_005,1.5161,0.0924,0.027,0.0
2012-07-07 15:30:00,line_001_002,2.7949,-0.1081,0.098,0.0
2012-07-07 15:30:00,line_002_003,3.7624,-0.2338,0.0484,0.0
2012-07-07 15:30:00,line_003_004,2.2111,0.1336,0.0432,0.0
2012-07-07 15:30:00,line_004_005,1.2108,0.0738,0.0215,0.0
2012-07-07 16:00:00,line_001_002,3.9466,0.1592,0.1512,0.0
2012-07-07 16:00:00,line_002_003,1.3201,-0.0373,0.0735,0.0
2012-07-07 16:00:00,line_003_004,3.0132,0.1818,0.0596,0.0
2012-07-07 16:00:00,line_004_005,1.4652,0.0893,0.026,0.0
2012-07-07 16:30:00,line_001_002,4.7961,0.2639,0.1451,0.0
2012-07-07 16:30:00,line_002_003,1.7309,0.0808,0.0727,0.0
2012-07-07 16:30:00,line_003_004,3.3833,0.2041,0.0669,0.0
2012-07-07 16:30:00,line_004_005,1.6381,0.0999,0.0291,0.0
2012-07-07 17:00:00,line_001_002,6.5338,0.3848,0.155,0.0001
2012-07-07 17:00:00,line_002_003,2.7972,0.1641,0.0677,0.0
2012-07-07 17:00:00,line_003_004,2.7779,0.1677,0.0544,0.0
2012-07-07 17:00:00,line_004_005,1.4855,0.0905,0.0264,0.0
2012-07-07 17:30:00,line_001_002,7.0938,0.4223,0.1569,0.0001
2012-07-07 17:30:00,line_002_003,2.7709,0.1668,0.0559,0.0
2012-07-07 17:30:00,line_003_004,2.4581,0.1482,0.0487,0.0
2012-07-07 17:30:00,line_004_005,1.1803,0.0719,0.021,0.0
2012-07-07 18:00:00,line_001_002,5.9634,0.3564,0.1281,0.0
2012-07-07 18:00:00,line_002_003,3.0827,0.186,0.0608,0.0
2012-07-07 18:00:00,line_003_004,2.5335,0.1529,0.0499,0.0
2012-07-07 18:00:00,line_004_005,1.2922,0.0788,0.023,0.0
2012-07-07 18:30:00,line_001_002,10.4928,0.628,0.2227,0.0001
2012-07-07 18:30:00,line_002_003,5.8251,0.3519,0.1135,0.0
2012-07-07 18:30:00,line_003_004,5.3217,0.3215,0.1035,0.0
2012-07-07 18:30:00,line_004_005,3.0218,0.1841,0.0537,0.0
2012-07-07 19:00:00,line_001_002,6.023,0.3595,0.1306,0.0
2012-07-07 19:00:00,line_002_003,2.7338,0.165,0.0538,0.0
2012-07-07 19:00:00,line_003_004,2.2609,0.1365,0.0444,0.0
2012-07-07 19:00:00,line_004_005,1.1803,0.0719,0.021,0.0
2012-07-07 19:30:00,line_001_002,6.4877,0.3868,0.1418,0.0001
2012-07-07 19:30:00,line_002_003,2.8738,0.1732,0.0574,0.0
2012-07-07 19:30:00,line_003_004,2.2941,0.1382,0.0459,0.0
2012-07-07 19:30:00,line_004_005,0.987,0.0602,0.0175,0.0
2012-07-07 20:00:00,line_001_002,6.8614,0.4094,0.1493,0.0001
2012-07-07 20:00:00,line_002_003,3.4157,0.2057,0.0687,0.0
2012-07-07 20:00:00,line_003_004,2.7292,0.1642,0.0551,0.0
2012-07-07 20:00:00,line_004_005,1.0276,0.0626,0.0183,0.0
2012-07-07 20:30:00,line_001_002,7.295,0.4351,0.1591,0.0001
2012-07-07 20:30:00,line_002_003,4.0893,0.2456,0.0841,0.0
2012-07-07 20:30:00,line_003_004,3.5859,0.2152,0.0741,0.0
2012-07-07 20:30:00,line_004_005,0.9056,0.0552,0.0161,0.0
2012-07-07 21:00:00,line_001_002,7.5599,0.4511,0.1645,0.0001
2012-07-07 21:00:00,line_002_003,3.73,0.2246,0.075,0.0
2012-07-07 21:00:00,line_003_004,2.8909,0.174,0.0583,0.0
2012-07-07 21:00:00,line_004_005,1.109,0.0676,0.0197,0.0
2012-07-07 21:30:00,line_001_002,7.5494,0.45,0.1653,0.0001
2012-07-07 21:30:00,line_002_003,3.3352,0.2009,0.0669,0.0
2012-07-07 21:30:00,line_003_004,2.9386,0.1769,0.059,0.0
2012-07-07 21:30:00,line_004_005,1.2006,0.0732,0.0213,0.0
2012-07-07 22:00:00,line_001_002,6.5998,0.3933,0.1448,0.0001
2012-07-07 22:00:00,line_002_003,2.7092,0.1634,0.0539,0.0
2012-07-07 22:00:00,line_003_004,1.7327,0.1044,0.0345,0.0
2012-07-07 22:00:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-07 22:30:00,line_001_002,3.0806,0.1838,0.0671,0.0
2012-07-07 22:30:00,line_002_003,1.4717,0.0887,0.0295,0.0
2012-07-07 22:30:00,line_003_004,1.0598,0.0638,0.0213,0.0
2012-07-07 22:30:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-07 23:00:00,line_001_002,4.3339,0.2592,0.0925,0.0
2012-07-07 23:00:00,line_002_003,2.3653,0.1428,0.0465,0.0
2012-07-07 23:00:00,line_003_004,1.3735,0.083,0.0268,0.0
2012-07-07 23:00:00,line_004_005,0.7529,0.0459,0.0134,0.0
2012-07-07 23:30:00,line_001_002,3.9043,0.2334,0.0836,0.0
2012-07-07 23:30:00,line_002_003,1.9838,0.1199,0.0387,0.0
2012-07-07 23:30:00,line_003_004,1.4651,0.0885,0.0285,0.0
2012-07-07 23:30:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-08 00:00:00,line_001_002,3.9583,0.237,0.0838,0.0
2012-07-08 00:00:00,line_002_003,2.3021,0.139,0.0451,0.0
2012-07-08 00:00:00,line_003_004,1.4171,0.0856,0.0276,0.0
2012-07-08 00:00:00,line_004_005,0.8038,0.049,0.0143,0.0
2012-07-08 00:30:00,line_001_002,3.2863,0.1967,0.0697,0.0
2012-07-08 00:30:00,line_002_003,1.7501,0.1059,0.0337,0.0
2012-07-08 00:30:00,line_003_004,1.2009,0.0727,0.0229,0.0
2012-07-08 00:30:00,line_004_005,0.814,0.0496,0.0145,0.0
2012-07-08 01:00:00,line_001_002,3.7224,0.2228,0.0789,0.0
2012-07-08 01:00:00,line_002_003,2.1262,0.1284,0.0416,0.0
2012-07-08 01:00:00,line_003_004,1.4549,0.0879,0.0283,0.0
2012-07-08 01:00:00,line_004_005,0.8343,0.0509,0.0148,0.0
2012-07-08 01:30:00,line_001_002,3.1209,0.1868,0.0662,0.0
2012-07-08 01:30:00,line_002_003,1.6688,0.1009,0.0323,0.0
2012-07-08 01:30:00,line_003_004,1.1195,0.0678,0.0214,0.0
2012-07-08 01:30:00,line_004_005,0.7326,0.0447,0.013,0.0
2012-07-08 02:00:00,line_001_002,2.6612,0.1592,0.0566,0.0
2012-07-08 02:00:00,line_002_003,1.6409,0.0989,0.0328,0.0
2012-07-08 02:00:00,line_003_004,1.0306,0.0621,0.0207,0.0
2012-07-08 02:00:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-08 02:30:00,line_001_002,1.79,0.1076,0.0368,0.0
2012-07-08 02:30:00,line_002_003,1.3341,0.0806,0.0261,0.0
2012-07-08 02:30:00,line_003_004,0.7543,0.0456,0.0146,0.0
2012-07-08 02:30:00,line_004_005,0.4477,0.0273,0.008,0.0
2012-07-08 03:00:00,line_001_002,2.5156,0.1512,0.0515,0.0
2012-07-08 03:00:00,line_002_003,1.8079,0.1093,0.035,0.0
2012-07-08 03:00:00,line_003_004,1.3044,0.079,0.025,0.0
2012-07-08 03:00:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-08 03:30:00,line_001_002,2.4171,0.1451,0.05,0.0
2012-07-08 03:30:00,line_002_003,1.5893,0.0961,0.0307,0.0
2012-07-08 03:30:00,line_003_004,1.0553,0.0639,0.0201,0.0
2012-07-08 03:30:00,line_004_005,0.7122,0.0434,0.0127,0.0
2012-07-08 04:00:00,line_001_002,2.0652,0.1237,0.0436,0.0
2012-07-08 04:00:00,line_002_003,1.2851,0.0776,0.0253,0.0
2012-07-08 04:00:00,line_003_004,0.7968,0.0481,0.0156,0.0
2012-07-08 04:00:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-08 04:30:00,line_001_002,1.5784,0.095,0.0321,0.0
2012-07-08 04:30:00,line_002_003,1.3026,0.0786,0.0257,0.0
2012-07-08 04:30:00,line_003_004,0.8143,0.0492,0.016,0.0
2012-07-08 04:30:00,line_004_005,0.4273,0.0261,0.0076,0.0
2012-07-08 05:00:00,line_001_002,1.8803,0.1135,0.037,0.0
2012-07-08 05:00:00,line_002_003,1.5207,0.0922,0.0286,0.0
2012-07-08 05:00:00,line_003_004,0.9714,0.0591,0.0177,0.0
2012-07-08 05:00:00,line_004_005,0.8547,0.0521,0.0152,0.0
2012-07-08 05:30:00,line_001_002,3.2959,0.1981,0.0677,0.0
2012-07-08 05:30:00,line_002_003,2.4202,0.1462,0.0472,0.0
2012-07-08 05:30:00,line_003_004,1.7184,0.1039,0.0333,0.0
2012-07-08 05:30:00,line_004_005,1.0175,0.062,0.0181,0.0
2012-07-08 06:00:00,line_001_002,3.6563,0.2191,0.077,0.0
2012-07-08 06:00:00,line_002_003,2.3601,0.1424,0.0467,0.0
2012-07-08 06:00:00,line_003_004,1.4599,0.0881,0.0288,0.0
2012-07-08 06:00:00,line_004_005,0.7224,0.044,0.0128,0.0
