Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,5.7737,0.3498,0.1081,0.0
2012-07-07 06:00:00,line_002_003,3.9681,0.2409,0.0734,0.0
2012-07-07 06:00:00,line_003_004,2.6669,0.1613,0.0476,0.0
2012-07-07 06:00:00,line_004_005,1.6657,0.098,0.0284,0.0
2012-07-07 06:30:00,line_001_002,5.3239,0.3177,0.1157,0.0
2012-07-07 06:30:00,line_002_003,1.805,0.1076,0.0394,0.0
2012-07-07 06:30:00,line_003_004,1.3686,0.0818,0.0292,0.0
2012-07-07 06:30:00,line_004_005,0.7711,0.0465,0.0153,0.0
2012-07-07 07:00:00,line_001_002,5.5236,0.3299,0.1194,0.0001
2012-07-07 07:00:00,line_002_003,4.7271,0.2823,0.1021,0.0
2012-07-07 07:00:00,line_003_004,3.9948,0.239,0.0849,0.0
2012-07-07 07:00:00,line_004_005,2.3647,0.1426,0.0468,0.0
2012-07-07 07:30:00,line_001_002,4.4979,0.2444,0.1032,0.0
2012-07-07 07:30:00,line_002_003,3.4034,0.2029,0.0744,0.0
2012-07-07 07:30:00,line_003_004,2.7333,0.1633,0.0587,0.0
2012-07-07 07:30:00,line_004_005,1.4497,0.0874,0.0287,0.0
2012-07-07 08:00:00,line_001_002,4.886,0.2833,0.1123,0.0
2012-07-07 08:00:00,line_002_003,3.828,0.2271,0.0866,0.0
2012-07-07 08:00:00,line_003_004,1.677,0.1001,0.0364,0.0
2012-07-07 08:00:00,line_004_005,0.7917,0.0477,0.0157,0.0
2012-07-07 08:30:00,line_001_002,3.9836,0.2404,0.0765,0.0
2012-07-07 08:30:00,line_002_003,2.7146,0.1609,0.0619,0.0
2012-07-07 08:30:00,line_003_004,1.5921,0.0946,0.0357,0.0
2012-07-07 08:30:00,line_004_005,0.4113,0.0248,0.0081,0.0
2012-07-07 09:00:00,line_001_002,3.4476,0.2052,0.0752,0.0
2012-07-07 09:00:00,line_002_003,2.7695,0.1641,0.0632,0.0
2012-07-07 09:00:00,line_003_004,1.8653,0.1107,0.0421,0.0
2012-07-07 09:00:00,line_004_005,0.4113,0.0248,0.0081,0.0
2012-07-07 09:30:00,line_001_002,4.4759,0.2692,0.0895,0.0
2012-07-07 09:30:00,line_002_003,3.049,0.1812,0.0682,0.0
2012-07-07 09:30:00,line_003_004,2.5035,0.149,0.0555,0.0
2012-07-07 09:30:00,line_004_005,0.8431,0.0509,0.0167,0.0
2012-07-07 10:00:00,line_001_002,6.3575,0.3881,0.1068,0.0001
2012-07-07 10:00:00,line_002_003,4.028,0.241,0.0855,0.0
2012-07-07 10:00:00,line_003_004,3.3114,0.1987,0.0688,0.0
2012-07-07 10:00:00,line_004_005,2.4265,0.1463,0.0481,0.0
