Timestep,Branch,Current(A),P(kW),Q(kvar),Losses(kW)
2012-07-07 06:00:00,line_001_002,3.9632,0.2379,0.0822,0.0
2012-07-07 06:00:00,line_002_003,2.5955,0.157,0.0502,0.0
2012-07-07 06:00:00,line_003_004,1.7411,0.1054,0.0332,0.0
2012-07-07 06:00:00,line_004_005,1.1497,0.0701,0.0204,0.0
2012-07-07 06:30:00,line_001_002,5.3349,0.3176,0.1179,0.0
2012-07-07 06:30:00,line_002_003,1.7806,0.1075,0.0348,0.0
2012-07-07 06:30:00,line_003_004,1.3545,0.0818,0.0264,0.0
2012-07-07 06:30:00,line_004_005,0.7631,0.0465,0.0136,0.0
2012-07-07 07:00:00,line_001_002,5.1227,0.3062,0.1096,0.0
2012-07-07 07:00:00,line_002_003,4.3186,0.2587,0.0908,0.0
2012-07-07 07:00:00,line_003_004,3.9537,0.239,0.0766,0.0
2012-07-07 07:00:00,line_004_005,2.3402,0.1426,0.0416,0.0
2012-07-07 07:30:00,line_001_002,2.734,0.1427,0.0948,0.0
2012-07-07 07:30:00,line_002_003,1.5156,0.0689,0.0656,0.0
2012-07-07 07:30:00,line_003_004,2.2242,0.1309,0.0526,0.0
2012-07-07 07:30:00,line_004_005,1.4347,0.0875,0.0255,0.0
2012-07-07 08:00:00,line_001_002,2.0094,0.0645,0.1001,0.0
2012-07-07 08:00:00,line_002_003,1.6642,-0.0008,0.0743,0.0
2012-07-07 08:00:00,line_003_004,1.5208,0.0909,0.0325,0.0
2012-07-07 08:00:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-07 08:30:00,line_001_002,1.9749,-0.1026,0.0719,0.0
2012-07-07 08:30:00,line_002_003,2.5068,-0.148,0.054,0.0
2012-07-07 08:30:00,line_003_004,2.0812,0.1281,0.0322,0.0
2012-07-07 08:30:00,line_004_005,0.407,0.0248,0.0072,0.0
2012-07-07 09:00:00,line_001_002,4.1572,-0.2542,0.0708,0.0
2012-07-07 09:00:00,line_002_003,4.6991,-0.2926,0.0556,0.0
2012-07-07 09:00:00,line_003_004,1.8789,0.1131,0.038,0.0
2012-07-07 09:00:00,line_004_005,0.407,0.0248,0.0072,0.0
2012-07-07 09:30:00,line_001_002,4.8545,-0.2949,0.086,0.0
2012-07-07 09:30:00,line_002_003,5.7343,-0.3588,0.0607,0.0
2012-07-07 09:30:00,line_003_004,2.8298,0.1725,0.0501,0.0
2012-07-07 09:30:00,line_004_005,0.8343,0.0509,0.0148,0.0
2012-07-07 10:00:00,line_001_002,4.6403,-0.2632,0.1006,0.0
2012-07-07 10:00:00,line_002_003,5.3343,-0.3271,0.0753,0.0
2012-07-07 10:00:00,line_003_004,4.5348,0.2813,0.0613,0.0
2012-07-07 10:00:00,line_004_005,2.4012,0.1464,0.0427,0.0
2012-07-07 10:30:00,line_001_002,8.2998,-0.3809,0.1747,0.0001
2012-07-07 10:30:00,line_002_003,8.3854,-0.4279,0.1561,0.0001
2012-07-07 10:30:00,line_003_004,6.5621,0.2695,0.1499,0.0001
2012-07-07 10:30:00,line_004_005,7.6207,0.4644,0.1355,0.0001
2012-07-07 11:00:00,line_001_002,7.1507,-0.4513,0.0502,0.0001
2012-07-07 11:00:00,line_002_003,7.2892,-0.4606,0.0465,0.0001
2012-07-07 11:00:00,line_003_004,4.0439,0.2547,0.0328,0.0
2012-07-07 11:00:00,line_004_005,0.7631,0.0465,0.0136,0.0
2012-07-07 11:30:00,line_001_002,8.458,-0.5336,0.0567,0.0001
2012-07-07 11:30:00,line_002_003,8.9126,-0.5642,0.0446,0.0001
2012-07-07 11:30:00,line_003_004,3.1991,0.1995,0.0388,0.0
2012-07-07 11:30:00,line_004_005,1.3634,0.0831,0.0242,0.0
2012-07-07 12:00:00,line_001_002,8.5475,-0.5249,0.1275,0.0001
2012-07-07 12:00:00,line_002_003,10.6797,-0.6747,0.0682,0.0001
2012-07-07 12:00:00,line_003_004,1.3991,0.0679,0.0542,0.0
2012-07-07 12:00:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-07 12:30:00,line_001_002,7.3795,-0.4468,0.1093,0.0001
2012-07-07 12:30:00,line_002_003,10.4059,-0.6605,0.0248,0.0001
2012-07-07 12:30:00,line_003_004,1.7124,0.107,0.0196,0.0
2012-07-07 12:30:00,line_004_005,0.4884,0.0298,0.0087,0.0
2012-07-07 13:00:00,line_001_002,6.9318,-0.4229,0.1132,0.0001
2012-07-07 13:00:00,line_002_003,8.7075,-0.5493,0.0632,0.0001
2012-07-07 13:00:00,line_003_004,2.7781,0.1693,0.0496,0.0
2012-07-07 13:00:00,line_004_005,0.8038,0.049,0.0143,0.0
2012-07-07 13:30:00,line_001_002,6.4254,-0.3599,0.1453,0.0001
2012-07-07 13:30:00,line_002_003,9.7378,-0.6169,0.0437,0.0001
2012-07-07 13:30:00,line_003_004,1.3287,0.0752,0.0382,0.0
2012-07-07 13:30:00,line_004_005,0.7021,0.0428,0.0125,0.0
2012-07-07 14:00:00,line_001_002,4.7093,-0.2565,0.1232,0.0
2012-07-07 14:00:00,line_002_003,6.5394,-0.4105,0.0623,0.0
2012-07-07 14:00:00,line_003_004,3.284,0.203,0.048,0.0
2012-07-07 14:00:00,line_004_005,1.3227,0.0806,0.0235,0.0
2012-07-07 14:30:00,line_001_002,4.8413,-0.2001,0.1661,0.0
2012-07-07 14:30:00,line_002_003,6.5974,-0.4102,0.0831,0.0
2012-07-07 14:30:00,line_003_004,2.7642,0.157,0.0776,0.0
2012-07-07 14:30:00,line_004_005,2.035,0.1241,0.0362,0.0
2012-07-07 15:00:00,line_001_002,3.1595,-0.1082,0.1181,0.0
2012-07-07 15:00:00,line_002_003,4.0303,-0.2473,0.0631,0.0
2012-07-07 15:00:00,line_003_004,3.2849,0.2028,0.0489,0.0
2012-07-07 15:00:00,line_004_005,1.516,0.0924,0.027,0.0
2012-07-07 15:30:00,line_001_002,2.5116,-0.0545,0.0976,0.0
2012-07-07 15:30:00,line_002_003,2.9417,-0.1802,0.048,0.0
2012-07-07 15:30:00,line_003_004,3.0237,0.1872,0.0428,0.0
2012-07-07 15:30:00,line_004_005,1.2108,0.0738,0.0215,0.0
2012-07-07 16:00:00,line_001_002,3.7453,0.1137,0.1508,0.0
2012-07-07 16:00:00,line_002_003,1.7505,-0.0829,0.0731,0.0
2012-07-07 16:00:00,line_003_004,2.3413,0.1362,0.0592,0.0
2012-07-07 16:00:00,line_004_005,1.4652,0.0893,0.026,0.0
2012-07-07 16:30:00,line_001_002,5.0164,0.2816,0.1447,0.0
2012-07-07 16:30:00,line_002_003,1.9355,0.0985,0.0723,0.0
2012-07-07 16:30:00,line_003_004,3.6468,0.2217,0.0666,0.0
2012-07-07 16:30:00,line_004_005,1.6381,0.0998,0.0291,0.0
2012-07-07 17:00:00,line_001_002,5.7423,0.3292,0.1546,0.0
2012-07-07 17:00:00,line_002_003,2.017,0.1085,0.0673,0.0
2012-07-07 17:00:00,line_003_004,1.9656,0.1121,0.054,0.0
2012-07-07 17:00:00,line_004_005,1.4855,0.0905,0.0264,0.0
2012-07-07 17:30:00,line_001_002,6.6399,0.3915,0.1565,0.0001
2012-07-07 17:30:00,line_002_003,2.3143,0.136,0.0555,0.0
2012-07-07 17:30:00,line_003_004,2.0015,0.1175,0.0483,0.0
2012-07-07 17:30:00,line_004_005,1.1803,0.0719,0.021,0.0
2012-07-07 18:00:00,line_001_002,7.752,0.4752,0.1278,0.0001
2012-07-07 18:00:00,line_002_003,4.8939,0.3048,0.0604,0.0
2012-07-07 18:00:00,line_003_004,4.3496,0.2717,0.0495,0.0
2012-07-07 18:00:00,line_004_005,1.2922,0.0788,0.023,0.0
2012-07-07 18:30:00,line_001_002,7.8767,0.4434,0.2223,0.0001
2012-07-07 18:30:00,line_002_003,3.2215,0.1673,0.1131,0.0
2012-07-07 18:30:00,line_003_004,2.7941,0.1369,0.1031,0.0
2012-07-07 18:30:00,line_004_005,3.0219,0.1842,0.0537,0.0
2012-07-07 19:00:00,line_001_002,7.6522,0.4679,0.1303,0.0001
2012-07-07 19:00:00,line_002_003,4.3866,0.2734,0.0534,0.0
2012-07-07 19:00:00,line_003_004,3.918,0.2448,0.044,0.0
2012-07-07 19:00:00,line_004_005,1.1803,0.0719,0.021,0.0
2012-07-07 19:30:00,line_001_002,6.4576,0.385,0.1414,0.0001
2012-07-07 19:30:00,line_002_003,2.8435,0.1713,0.057,0.0
2012-07-07 19:30:00,line_003_004,2.2638,0.1363,0.0455,0.0
2012-07-07 19:30:00,line_004_005,0.987,0.0602,0.0175,0.0
2012-07-07 20:00:00,line_001_002,6.7337,0.4009,0.1489,0.0001
2012-07-07 20:00:00,line_002_003,3.287,0.1972,0.0683,0.0
2012-07-07 20:00:00,line_003_004,2.6005,0.1557,0.0547,0.0
2012-07-07 20:00:00,line_004_005,1.0277,0.0626,0.0183,0.0
2012-07-07 20:30:00,line_001_002,7.3518,0.4391,0.1587,0.0001
2012-07-07 20:30:00,line_002_003,4.1467,0.2496,0.0838,0.0
2012-07-07 20:30:00,line_003_004,3.6433,0.2192,0.0738,0.0
2012-07-07 20:30:00,line_004_005,0.9055,0.0552,0.0161,0.0
2012-07-07 21:00:00,line_001_002,7.514,0.4481,0.1641,0.0001
2012-07-07 21:00:00,line_002_003,3.6838,0.2217,0.0746,0.0
2012-07-07 21:00:00,line_003_004,2.8447,0.171,0.0579,0.0
2012-07-07 21:00:00,line_004_005,1.1091,0.0676,0.0197,0.0
2012-07-07 21:30:00,line_001_002,7.118,0.4209,0.1649,0.0001
2012-07-07 21:30:00,line_002_003,2.9008,0.1717,0.0665,0.0
2012-07-07 21:30:00,line_003_004,2.5048,0.1478,0.0586,0.0
2012-07-07 21:30:00,line_004_005,1.2006,0.0732,0.0213,0.0
2012-07-07 22:00:00,line_001_002,5.9525,0.3493,0.1443,0.0
2012-07-07 22:00:00,line_002_003,2.0609,0.1194,0.0535,0.0
2012-07-07 22:00:00,line_003_004,1.0957,0.0605,0.0341,0.0
2012-07-07 22:00:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-07 22:30:00,line_001_002,4.5626,0.2818,0.0667,0.0
2012-07-07 22:30:00,line_002_003,2.9754,0.1867,0.0291,0.0
2012-07-07 22:30:00,line_003_004,2.5701,0.1618,0.021,0.0
2012-07-07 22:30:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-07 23:00:00,line_001_002,3.6932,0.2156,0.0921,0.0
2012-07-07 23:00:00,line_002_003,1.7252,0.0992,0.0461,0.0
2012-07-07 23:00:00,line_003_004,0.7598,0.0394,0.0264,0.0
2012-07-07 23:00:00,line_004_005,0.7529,0.0459,0.0134,0.0
2012-07-07 23:30:00,line_001_002,4.101,0.2468,0.0832,0.0
2012-07-07 23:30:00,line_002_003,2.1828,0.1332,0.0384,0.0
2012-07-07 23:30:00,line_003_004,1.6645,0.1019,0.0281,0.0
2012-07-07 23:30:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-08 00:00:00,line_001_002,3.8309,0.2285,0.0834,0.0
2012-07-08 00:00:00,line_002_003,2.1738,0.1306,0.0447,0.0
2012-07-08 00:00:00,line_003_004,1.2891,0.0772,0.0272,0.0
2012-07-08 00:00:00,line_004_005,0.8038,0.049,0.0143,0.0
2012-07-08 00:30:00,line_001_002,3.6272,0.2196,0.0693,0.0
2012-07-08 00:30:00,line_002_003,2.095,0.1288,0.0334,0.0
2012-07-08 00:30:00,line_003_004,1.5473,0.0956,0.0225,0.0
2012-07-08 00:30:00,line_004_005,0.814,0.0496,0.0145,0.0
2012-07-08 01:00:00,line_001_002,3.2677,0.1921,0.0785,0.0
2012-07-08 01:00:00,line_002_003,1.67,0.0977,0.0412,0.0
2012-07-08 01:00:00,line_003_004,1.0058,0.0571,0.0279,0.0
2012-07-08 01:00:00,line_004_005,0.8343,0.0509,0.0148,0.0
2012-07-08 01:30:00,line_001_002,3.2213,0.1937,0.0659,0.0
2012-07-08 01:30:00,line_002_003,1.7703,0.1078,0.0319,0.0
2012-07-08 01:30:00,line_003_004,1.2213,0.0746,0.021,0.0
2012-07-08 01:30:00,line_004_005,0.7326,0.0447,0.013,0.0
2012-07-08 02:00:00,line_001_002,2.4799,0.1471,0.0562,0.0
2012-07-08 02:00:00,line_002_003,1.4587,0.0868,0.0324,0.0
2012-07-08 02:00:00,line_003_004,0.8492,0.0499,0.0203,0.0
2012-07-08 02:00:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-08 02:30:00,line_001_002,2.2679,0.1393,0.0364,0.0
2012-07-08 02:30:00,line_002_003,1.8154,0.1124,0.0257,0.0
2012-07-08 02:30:00,line_003_004,1.2391,0.0774,0.0142,0.0
2012-07-08 02:30:00,line_004_005,0.4477,0.0273,0.008,0.0
2012-07-08 03:00:00,line_001_002,2.3558,0.1406,0.0511,0.0
2012-07-08 03:00:00,line_002_003,1.6475,0.0987,0.0346,0.0
2012-07-08 03:00:00,line_003_004,1.1446,0.0683,0.0246,0.0
2012-07-08 03:00:00,line_004_005,0.8445,0.0515,0.015,0.0
2012-07-08 03:30:00,line_001_002,2.264,0.1349,0.0496,0.0
2012-07-08 03:30:00,line_002_003,1.4354,0.086,0.0303,0.0
2012-07-08 03:30:00,line_003_004,0.9022,0.0537,0.0197,0.0
2012-07-08 03:30:00,line_004_005,0.7122,0.0434,0.0127,0.0
2012-07-08 04:00:00,line_001_002,1.996,0.1192,0.0431,0.0
2012-07-08 04:00:00,line_002_003,1.2155,0.0731,0.0249,0.0
2012-07-08 04:00:00,line_003_004,0.7273,0.0436,0.0152,0.0
2012-07-08 04:00:00,line_004_005,0.4172,0.0254,0.0074,0.0
2012-07-08 04:30:00,line_001_002,1.8972,0.1162,0.0317,0.0
2012-07-08 04:30:00,line_002_003,1.6228,0.0999,0.0253,0.0
2012-07-08 04:30:00,line_003_004,1.1362,0.0704,0.0156,0.0
2012-07-08 04:30:00,line_004_005,0.4273,0.0261,0.0076,0.0
2012-07-08 05:00:00,line_001_002,2.1624,0.1323,0.0366,0.0
2012-07-08 05:00:00,line_002_003,1.8044,0.111,0.0282,0.0
2012-07-08 05:00:00,line_003_004,1.2576,0.0779,0.0173,0.0
2012-07-08 05:00:00,line_004_005,0.8547,0.0521,0.0152,0.0
2012-07-08 05:30:00,line_001_002,2.9201,0.1728,0.0673,0.0
2012-07-08 05:30:00,line_002_003,2.0432,0.121,0.0468,0.0
2012-07-08 05:30:00,line_003_004,1.3445,0.0786,0.0329,0.0
2012-07-08 05:30:00,line_004_005,1.0175,0.062,0.0181,0.0
2012-07-08 06:00:00,line_001_002,3.9532,0.2391,0.0766,0.0
2012-07-08 06:00:00,line_002_003,2.6595,0.1624,0.0463,0.0
2012-07-08 06:00:00,line_003_004,1.7603,0.1081,0.0284,0.0
2012-07-08 06:00:00,line_004_005,0.7224,0.044,0.0128,0.0
2012-07-08 06:30:00,line_001_002,4.0344,0.2364,0.0988,0.0
2012-07-08 06:30:00,line_002_003,2.4847,0.1448,0.0626,0.0
2012-07-08 06:30:00,line_003_004,1.8642,0.1071,0.0502,0.0
2012-07-08 06:30:00,line_004_005,0.7835,0.0478,0.0139,0.0
2012-07-08 07:00:00,line_001_002,3.6718,0.2169,0.0854,0.0
2012-07-08 07:00:00,line_002_003,2.5185,0.1488,0.0585,0.0
2012-07-08 07:00:00,line_003_004,1.9638,0.1181,0.04,0.0
2012-07-08 07:00:00,line_004_005,1.0989,0.067,0.0195,0.0
2012-07-08 07:30:00,line_001_002,3.5985,0.2093,0.0912,0.0
2012-07-08 07:30:00,line_002_003,2.4696,0.1425,0.0648,0.0
2012-07-08 07:30:00,line_003_004,3.4919,0.2151,0.0537,0.0
2012-07-08 07:30:00,line_004_005,1.5974,0.0974,0.0284,0.0
2012-07-08 08:00:00,line_001_002,3.02,0.0901,0.1459,0.0
2012-07-08 08:00:00,line_002_003,2.3451,0.0255,0.1204,0.0
2012-07-08 08:00:00,line_003_004,2.3594,0.1185,0.0792,0.0
2012-07-08 08:00:00,line_004_005,2.6454,0.1612,0.047,0.0
2012-07-08 08:30:00,line_001_002,1.4243,-0.0388,0.0785,0.0
2012-07-08 08:30:00,line_002_003,1.6818,-0.0864,0.0597,0.0
2012-07-08 08:30:00,line_003_004,2.9544,0.1837,0.0379,0.0
2012-07-08 08:30:00,line_004_005,0.7122,0.0434,0.0127,0.0
2012-07-08 09:00:00,line_001_002,2.8757,-0.1629,0.0821,0.0
2012-07-08 09:00:00,line_002_003,3.3655,-0.2027,0.0664,0.0
2012-07-08 09:00:00,line_003_004,3.083,0.1898,0.0477,0.0
2012-07-08 09:00:00,line_004_005,0.814,0.0496,0.0145,0.0
2012-07-08 09:30:00,line_001_002,4.6666,-0.2703,0.1043,0.0
2012-07-08 09:30:00,line_002_003,5.3566,-0.3293,0.081,0.0
2012-07-08 09:30:00,line_003_004,3.4247,0.2037,0.0758,0.0
2012-07-08 09:30:00,line_004_005,2.3097,0.1408,0.0411,0.0
2012-07-08 10:00:00,line_001_002,5.4862,-0.3279,0.1056,0.0
2012-07-08 10:00:00,line_002_003,6.3645,-0.3961,0.0786,0.0
2012-07-08 10:00:00,line_003_004,3.1722,0.1908,0.0644,0.0
2012-07-08 10:00:00,line_004_005,1.9231,0.1172,0.0342,0.0
2012-07-08 10:30:00,line_001_002,7.0183,-0.4341,0.0907,0.0001
2012-07-08 10:30:00,line_002_003,7.9545,-0.5009,0.0643,0.0001
2012-07-08 10:30:00,line_003_004,2.8542,0.1714,0.0587,0.0
2012-07-08 10:30:00,line_004_005,1.7501,0.1067,0.0311,0.0
2012-07-08 11:00:00,line_001_002,7.3841,-0.4647,0.0628,0.0001
2012-07-08 11:00:00,line_002_003,7.6062,-0.4796,0.0568,0.0001
2012-07-08 11:00:00,line_003_004,3.1865,0.1976,0.0432,0.0
2012-07-08 11:00:00,line_004_005,0.7021,0.0428,0.0125,0.0
2012-07-08 11:30:00,line_001_002,7.8514,-0.4903,0.0822,0.0001
2012-07-08 11:30:00,line_002_003,7.9807,-0.4996,0.0785,0.0001
2012-07-08 11:30:00,line_003_004,3.6899,0.2225,0.0733,0.0
