Timestep,Bus,P(kW),Q(kvar)
2012-07-07 06:00:00,bus_001,0.0945,0.0457
2012-07-07 06:00:00,bus_002,0.0809,0.032
2012-07-07 06:00:00,bus_003,0.0516,0.0169
2012-07-07 06:00:00,bus_004,0.0353,0.0128
2012-07-07 06:00:00,bus_005,0.0701,0.0204
2012-07-07 06:30:00,bus_001,0.0705,0.0341
2012-07-07 06:30:00,bus_002,0.21,0.083
2012-07-07 06:30:00,bus_003,0.0259,0.0085
2012-07-07 06:30:00,bus_004,0.0353,0.0128
2012-07-07 06:30:00,bus_005,0.0465,0.0136
2012-07-07 07:00:00,bus_001,0.0967,0.0468
2012-07-07 07:00:00,bus_002,0.0475,0.0188
2012-07-07 07:00:00,bus_003,0.0669,0.0142
2012-07-07 07:00:00,bus_004,0.0964,0.035
2012-07-07 07:00:00,bus_005,0.1426,0.0416
2012-07-07 07:30:00,bus_001,0.1477,0.0715
2012-07-07 07:30:00,bus_002,0.0738,0.0292
2012-07-07 07:30:00,bus_003,0.1412,0.013
2012-07-07 07:30:00,bus_004,0.0759,0.0275
2012-07-07 07:30:00,bus_005,0.0874,0.0255
2012-07-07 08:00:00,bus_001,0.0727,0.0352
2012-07-07 08:00:00,bus_002,0.0653,0.0258
2012-07-07 08:00:00,bus_003,0.3458,0.0418
2012-07-07 08:00:00,bus_004,0.0523,0.019
2012-07-07 08:00:00,bus_005,0.0478,0.0139
2012-07-07 08:30:00,bus_001,0.0795,0.0385
2012-07-07 08:30:00,bus_002,0.0454,0.018
2012-07-07 08:30:00,bus_003,0.4087,0.0218
2012-07-07 08:30:00,bus_004,0.0698,0.0253
2012-07-07 08:30:00,bus_005,0.0248,0.0072
2012-07-07 09:00:00,bus_001,0.0982,0.0476
2012-07-07 09:00:00,bus_002,0.0383,0.0151
2012-07-07 09:00:00,bus_003,0.5125,0.0176
2012-07-07 09:00:00,bus_004,0.0859,0.0312
2012-07-07 09:00:00,bus_005,0.0248,0.0072
2012-07-07 09:30:00,bus_001,0.066,0.0319
2012-07-07 09:30:00,bus_002,0.0639,0.0252
2012-07-07 09:30:00,bus_003,0.5959,0.0106
2012-07-07 09:30:00,bus_004,0.0981,0.0356
2012-07-07 09:30:00,bus_005,0.0509,0.0148
2012-07-07 10:00:00,bus_001,0.0705,0.0341
2012-07-07 10:00:00,bus_002,0.0639,0.0252
2012-07-07 10:00:00,bus_003,0.6932,0.0139
2012-07-07 10:00:00,bus_004,0.0523,0.019
2012-07-07 10:00:00,bus_005,0.1464,0.0427
2012-07-07 10:30:00,bus_001,0.096,0.0465
2012-07-07 10:30:00,bus_002,0.0468,0.0185
2012-07-07 10:30:00,bus_003,0.7343,0.0061
2012-07-07 10:30:00,bus_004,0.0406,0.0147
2012-07-07 10:30:00,bus_005,0.4642,0.1353
2012-07-07 11:00:00,bus_001,0.0757,0.0367
2012-07-07 11:00:00,bus_002,0.0092,0.0036
2012-07-07 11:00:00,bus_003,0.7983,0.0136
2012-07-07 11:00:00,bus_004,0.0541,0.0196
2012-07-07 11:00:00,bus_005,0.0465,0.0136
2012-07-07 11:30:00,bus_001,0.0622,0.0301
2012-07-07 11:30:00,bus_002,0.0305,0.0121
2012-07-07 11:30:00,bus_003,0.7987,0.0058
2012-07-07 11:30:00,bus_004,0.041,0.0149
2012-07-07 11:30:00,bus_005,0.0831,0.0243
2012-07-07 12:00:00,bus_001,0.0952,0.0461
2012-07-07 12:00:00,bus_002,0.1498,0.0592
2012-07-07 12:00:00,bus_003,0.8274,0.0139
2012-07-07 12:00:00,bus_004,0.109,0.0396
2012-07-07 12:00:00,bus_005,0.0515,0.015
2012-07-07 12:30:00,bus_001,0.0885,0.0428
2012-07-07 12:30:00,bus_002,0.2136,0.0844
2012-07-07 12:30:00,bus_003,0.7989,0.0051
2012-07-07 12:30:00,bus_004,0.031,0.0112
2012-07-07 12:30:00,bus_005,0.0298,0.0087
2012-07-07 13:00:00,bus_001,0.1124,0.0545
2012-07-07 13:00:00,bus_002,0.1263,0.0499
2012-07-07 13:00:00,bus_003,0.8016,0.0136
2012-07-07 13:00:00,bus_004,0.0981,0.0356
2012-07-07 13:00:00,bus_005,0.049,0.0143
2012-07-07 13:30:00,bus_001,0.1267,0.0614
2012-07-07 13:30:00,bus_002,0.2569,0.1015
2012-07-07 13:30:00,bus_003,0.7253,0.0055
2012-07-07 13:30:00,bus_004,0.072,0.0261
2012-07-07 13:30:00,bus_005,0.0428,0.0125
2012-07-07 14:00:00,bus_001,0.1379,0.0668
2012-07-07 14:00:00,bus_002,0.154,0.0609
2012-07-07 14:00:00,bus_003,0.7001,0.0142
2012-07-07 14:00:00,bus_004,0.0685,0.0249
2012-07-07 14:00:00,bus_005,0.0806,0.0235
2012-07-07 14:30:00,bus_001,0.1289,0.0624
2012-07-07 14:30:00,bus_002,0.2101,0.083
2012-07-07 14:30:00,bus_003,0.6004,0.0054
2012-07-07 14:30:00,bus_004,0.1151,0.0418
2012-07-07 14:30:00,bus_005,0.1241,0.0362
2012-07-07 15:00:00,bus_001,0.1057,0.0512
2012-07-07 15:00:00,bus_002,0.1391,0.055
2012-07-07 15:00:00,bus_003,0.5367,0.0142
2012-07-07 15:00:00,bus_004,0.0615,0.0223
2012-07-07 15:00:00,bus_005,0.0924,0.027
2012-07-07 15:30:00,bus_001,0.1417,0.0686
2012-07-07 15:30:00,bus_002,0.1256,0.0496
2012-07-07 15:30:00,bus_003,0.3987,0.0051
2012-07-07 15:30:00,bus_004,0.0597,0.0217
2012-07-07 15:30:00,bus_005,0.0738,0.0215
2012-07-07 16:00:00,bus_001,0.1207,0.0585
2012-07-07 16:00:00,bus_002,0.1966,0.0777
2012-07-07 16:00:00,bus_003,0.3038,0.0139
2012-07-07 16:00:00,bus_004,0.0924,0.0335
2012-07-07 16:00:00,bus_005,0.0893,0.026
2012-07-07 16:30:00,bus_001,0.1267,0.0614
2012-07-07 16:30:00,bus_002,0.1831,0.0723
2012-07-07 16:30:00,bus_003,0.1582,0.0057
2012-07-07 16:30:00,bus_004,0.1042,0.0378
2012-07-07 16:30:00,bus_005,0.0998,0.0291
2012-07-07 17:00:00,bus_001,0.1702,0.0824
2012-07-07 17:00:00,bus_002,0.2207,0.0872
2012-07-07 17:00:00,bus_003,0.0847,0.0133
2012-07-07 17:00:00,bus_004,0.0772,0.028
2012-07-07 17:00:00,bus_005,0.0905,0.0264
2012-07-07 17:30:00,bus_001,0.1312,0.0635
2012-07-07 17:30:00,bus_002,0.2554,0.1009
2012-07-07 17:30:00,bus_003,0.0257,0.0073
2012-07-07 17:30:00,bus_004,0.0763,0.0277
2012-07-07 17:30:00,bus_005,0.0719,0.021
2012-07-07 18:00:00,bus_001,0.1042,0.0505
2012-07-07 18:00:00,bus_002,0.1703,0.0673
2012-07-07 18:00:00,bus_003,0.0331,0.0109
2012-07-07 18:00:00,bus_004,0.0741,0.0269
2012-07-07 18:00:00,bus_005,0.0788,0.023
2012-07-07 18:30:00,bus_001,0.0967,0.0468
2012-07-07 18:30:00,bus_002,0.276,0.109
2012-07-07 18:30:00,bus_003,0.0304,0.01
2012-07-07 18:30:00,bus_004,0.1373,0.0498
2012-07-07 18:30:00,bus_005,0.1841,0.0537
2012-07-07 19:00:00,bus_001,0.0765,0.037
2012-07-07 19:00:00,bus_002,0.1944,0.0768
2012-07-07 19:00:00,bus_003,0.0285,0.0094
2012-07-07 19:00:00,bus_004,0.0645,0.0234
2012-07-07 19:00:00,bus_005,0.0719,0.021
2012-07-07 19:30:00,bus_001,0.0862,0.0418
2012-07-07 19:30:00,bus_002,0.2136,0.0844
2012-07-07 19:30:00,bus_003,0.035,0.0115
2012-07-07 19:30:00,bus_004,0.078,0.0283
2012-07-07 19:30:00,bus_005,0.0602,0.0175
2012-07-07 20:00:00,bus_001,0.096,0.0465
2012-07-07 20:00:00,bus_002,0.2037,0.0805
2012-07-07 20:00:00,bus_003,0.0414,0.0136
2012-07-07 20:00:00,bus_004,0.1016,0.0369
