Timestep,Bus,P(kW),Q(kvar)
2012-07-07 06:00:00,bus_001,0.1224,0.0484
2012-07-07 06:00:00,bus_002,0.1089,0.0347
2012-07-07 06:00:00,bus_003,0.0795,0.0257
2012-07-07 06:00:00,bus_006,0.1313,0.0355
2012-07-07 06:00:00,bus_004,0.0633,0.0193
2012-07-07 06:00:00,bus_005,0.098,0.0283
2012-07-07 06:30:00,bus_001,0.0705,0.0321
2012-07-07 06:30:00,bus_002,0.21,0.0762
2012-07-07 06:30:00,bus_003,0.0258,0.0102
2012-07-07 06:30:00,bus_006,0.1135,0.0331
2012-07-07 06:30:00,bus_004,0.0353,0.014
2012-07-07 06:30:00,bus_005,0.0465,0.0153
2012-07-07 07:00:00,bus_001,0.1203,0.0441
2012-07-07 07:00:00,bus_002,0.0475,0.0172
2012-07-07 07:00:00,bus_003,0.0433,0.0171
2012-07-07 07:00:00,bus_006,0.0931,0.0271
2012-07-07 07:00:00,bus_004,0.0963,0.038
2012-07-07 07:00:00,bus_005,0.1426,0.0468
2012-07-07 07:30:00,bus_001,0.2493,0.0673
2012-07-07 07:30:00,bus_002,0.0738,0.0268
2012-07-07 07:30:00,bus_003,0.0396,0.0156
2012-07-07 07:30:00,bus_006,0.1104,0.0322
2012-07-07 07:30:00,bus_004,0.0758,0.03
2012-07-07 07:30:00,bus_005,0.0874,0.0287
2012-07-07 08:00:00,bus_001,0.2915,0.0331
2012-07-07 08:00:00,bus_002,0.0653,0.0237
2012-07-07 08:00:00,bus_003,0.127,0.0502
2012-07-07 08:00:00,bus_006,0.1079,0.0314
2012-07-07 08:00:00,bus_004,0.0523,0.0207
2012-07-07 08:00:00,bus_005,0.0477,0.0157
2012-07-07 08:30:00,bus_001,0.4219,0.0362
2012-07-07 08:30:00,bus_002,0.0454,0.0165
2012-07-07 08:30:00,bus_003,0.0663,0.0262
2012-07-07 08:30:00,bus_006,0.1275,0.0372
2012-07-07 08:30:00,bus_004,0.0698,0.0276
2012-07-07 08:30:00,bus_005,0.0248,0.0081
2012-07-07 09:00:00,bus_001,0.5573,0.0447
2012-07-07 09:00:00,bus_002,0.0383,0.0139
2012-07-07 09:00:00,bus_003,0.0534,0.0211
2012-07-07 09:00:00,bus_006,0.1175,0.0343
2012-07-07 09:00:00,bus_004,0.0859,0.0339
2012-07-07 09:00:00,bus_005,0.0248,0.0081
2012-07-07 09:30:00,bus_001,0.6296,0.0301
2012-07-07 09:30:00,bus_002,0.0639,0.0232
2012-07-07 09:30:00,bus_003,0.0322,0.0127
2012-07-07 09:30:00,bus_006,0.1158,0.0338
2012-07-07 09:30:00,bus_004,0.0981,0.0387
2012-07-07 09:30:00,bus_005,0.0508,0.0167
2012-07-07 10:00:00,bus_001,0.7213,0.0321
2012-07-07 10:00:00,bus_002,0.0639,0.0232
2012-07-07 10:00:00,bus_003,0.0423,0.0167
2012-07-07 10:00:00,bus_006,0.1434,0.0418
2012-07-07 10:00:00,bus_004,0.0523,0.0207
2012-07-07 10:00:00,bus_005,0.1463,0.0481
2012-07-07 10:30:00,bus_001,0.8119,0.0437
2012-07-07 10:30:00,bus_002,0.0468,0.017
2012-07-07 10:30:00,bus_003,0.0184,0.0073
2012-07-07 10:30:00,bus_006,0.1519,0.0443
2012-07-07 10:30:00,bus_004,0.0405,0.016
2012-07-07 10:30:00,bus_005,0.464,0.1523
2012-07-07 11:00:00,bus_001,0.8326,0.0345
2012-07-07 11:00:00,bus_002,0.0092,0.0033
2012-07-07 11:00:00,bus_003,0.0414,0.0164
2012-07-07 11:00:00,bus_006,0.1215,0.0354
2012-07-07 11:00:00,bus_004,0.0541,0.0214
2012-07-07 11:00:00,bus_005,0.0465,0.0153
2012-07-07 11:30:00,bus_001,0.8434,0.0283
2012-07-07 11:30:00,bus_002,0.0305,0.0111
2012-07-07 11:30:00,bus_003,0.0175,0.0069
2012-07-07 11:30:00,bus_006,0.1164,0.0339
2012-07-07 11:30:00,bus_004,0.041,0.0162
2012-07-07 11:30:00,bus_005,0.0831,0.0273
2012-07-07 12:00:00,bus_001,0.8803,0.0434
2012-07-07 12:00:00,bus_002,0.1497,0.0543
2012-07-07 12:00:00,bus_003,0.0423,0.0167
2012-07-07 12:00:00,bus_006,0.233,0.0679
2012-07-07 12:00:00,bus_004,0.109,0.043
2012-07-07 12:00:00,bus_005,0.0515,0.0169
2012-07-07 12:30:00,bus_001,0.8717,0.0403
2012-07-07 12:30:00,bus_002,0.2136,0.0775
2012-07-07 12:30:00,bus_003,0.0156,0.0062
2012-07-07 12:30:00,bus_006,0.2188,0.0638
2012-07-07 12:30:00,bus_004,0.031,0.0122
2012-07-07 12:30:00,bus_005,0.0298,0.0098
2012-07-07 13:00:00,bus_001,0.8726,0.0512
2012-07-07 13:00:00,bus_002,0.1263,0.0458
2012-07-07 13:00:00,bus_003,0.0414,0.0164
2012-07-07 13:00:00,bus_006,0.1241,0.0362
2012-07-07 13:00:00,bus_004,0.0981,0.0387
2012-07-07 13:00:00,bus_005,0.049,0.0161
2012-07-07 13:30:00,bus_001,0.8354,0.0577
2012-07-07 13:30:00,bus_002,0.2568,0.0932
2012-07-07 13:30:00,bus_003,0.0166,0.0065
2012-07-07 13:30:00,bus_006,0.1258,0.0367
2012-07-07 13:30:00,bus_004,0.0719,0.0284
2012-07-07 13:30:00,bus_005,0.0428,0.0141
2012-07-07 14:00:00,bus_001,0.7948,0.0628
2012-07-07 14:00:00,bus_002,0.154,0.0559
2012-07-07 14:00:00,bus_003,0.0433,0.0171
2012-07-07 14:00:00,bus_006,0.1155,0.0337
2012-07-07 14:00:00,bus_004,0.0684,0.027
2012-07-07 14:00:00,bus_005,0.0806,0.0265
2012-07-07 14:30:00,bus_001,0.7128,0.0587
2012-07-07 14:30:00,bus_002,0.21,0.0762
2012-07-07 14:30:00,bus_003,0.0166,0.0065
2012-07-07 14:30:00,bus_006,0.1169,0.0341
2012-07-07 14:30:00,bus_004,0.1151,0.0454
2012-07-07 14:30:00,bus_005,0.124,0.0407
2012-07-07 15:00:00,bus_001,0.5991,0.0482
2012-07-07 15:00:00,bus_002,0.1391,0.0505
2012-07-07 15:00:00,bus_003,0.0433,0.0171
2012-07-07 15:00:00,bus_006,0.1244,0.0363
2012-07-07 15:00:00,bus_004,0.0615,0.0243
2012-07-07 15:00:00,bus_005,0.0924,0.0303
2012-07-07 15:30:00,bus_001,0.5247,0.0646
2012-07-07 15:30:00,bus_002,0.1256,0.0456
2012-07-07 15:30:00,bus_003,0.0156,0.0062
2012-07-07 15:30:00,bus_006,0.1187,0.0346
2012-07-07 15:30:00,bus_004,0.0597,0.0236
2012-07-07 15:30:00,bus_005,0.0738,0.0242
2012-07-07 16:00:00,bus_001,0.3822,0.055
2012-07-07 16:00:00,bus_002,0.1965,0.0713
2012-07-07 16:00:00,bus_003,0.0423,0.0167
2012-07-07 16:00:00,bus_006,0.142,0.0414
2012-07-07 16:00:00,bus_004,0.0924,0.0365
2012-07-07 16:00:00,bus_005,0.0893,0.0293
2012-07-07 16:30:00,bus_001,0.2674,0.0577
2012-07-07 16:30:00,bus_002,0.183,0.0664
2012-07-07 16:30:00,bus_003,0.0175,0.0069
2012-07-07 16:30:00,bus_006,0.136,0.0397
2012-07-07 16:30:00,bus_004,0.1042,0.0411
2012-07-07 16:30:00,bus_005,0.0998,0.0328
2012-07-07 17:00:00,bus_001,0.2143,0.0775
2012-07-07 17:00:00,bus_002,0.2206,0.08
2012-07-07 17:00:00,bus_003,0.0405,0.016
2012-07-07 17:00:00,bus_006,0.2236,0.0652
2012-07-07 17:00:00,bus_004,0.0771,0.0305
2012-07-07 17:00:00,bus_005,0.0905,0.0297
2012-07-07 17:30:00,bus_001,0.1417,0.0611
2012-07-07 17:30:00,bus_002,0.2624,0.094
2012-07-07 17:30:00,bus_003,0.0291,0.0101
2012-07-07 17:30:00,bus_006,0.1538,0.0441
2012-07-07 17:30:00,bus_004,0.0832,0.0315
2012-07-07 17:30:00,bus_005,0.0789,0.025
2012-07-07 18:00:00,bus_001,0.1882,0.0635
2012-07-07 18:00:00,bus_002,0.2542,0.0777
2012-07-07 18:00:00,bus_003,0.1171,0.0291
2012-07-07 18:00:00,bus_006,0.4313,0.1172
2012-07-07 18:00:00,bus_004,0.158,0.0452
2012-07-07 18:00:00,bus_005,0.1627,0.0418
2012-07-07 18:30:00,bus_001,0.1807,0.0601
2012-07-07 18:30:00,bus_002,0.3598,0.116
2012-07-07 18:30:00,bus_003,0.1143,0.028
2012-07-07 18:30:00,bus_006,0.4548,0.124
2012-07-07 18:30:00,bus_004,0.2211,0.0701
2012-07-07 18:30:00,bus_005,0.2679,0.0764
2012-07-07 19:00:00,bus_001,0.1605,0.0509
2012-07-07 19:00:00,bus_002,0.2783,0.0865
2012-07-07 19:00:00,bus_003,0.1125,0.0273
2012-07-07 19:00:00,bus_006,0.3761,0.1011
2012-07-07 19:00:00,bus_004,0.1485,0.0415
2012-07-07 19:00:00,bus_005,0.1559,0.0396
2012-07-07 19:30:00,bus_001,0.1702,0.0553
2012-07-07 19:30:00,bus_002,0.2975,0.0935
2012-07-07 19:30:00,bus_003,0.1189,0.0298
2012-07-07 19:30:00,bus_006,0.2982,0.0784
2012-07-07 19:30:00,bus_004,0.162,0.0468
2012-07-07 19:30:00,bus_005,0.1441,0.0357
2012-07-07 20:00:00,bus_001,0.18,0.0597
2012-07-07 20:00:00,bus_002,0.2875,0.0898
2012-07-07 20:00:00,bus_003,0.1254,0.0323
2012-07-07 20:00:00,bus_006,0.3078,0.0813
2012-07-07 20:00:00,bus_004,0.1855,0.0561
2012-07-07 20:00:00,bus_005,0.1466,0.0366
2012-07-07 20:30:00,bus_001,0.162,0.0515
2012-07-07 20:30:00,bus_002,0.2734,0.0847
2012-07-07 20:30:00,bus_003,0.1143,0.028
2012-07-07 20:30:00,bus_006,0.1861,0.0458
2012-07-07 20:30:00,bus_004,0.2439,0.0791
2012-07-07 20:30:00,bus_005,0.1391,0.0341
2012-07-07 21:00:00,bus_001,0.1665,0.0536
2012-07-07 21:00:00,bus_002,0.3103,0.0981
2012-07-07 21:00:00,bus_003,0.1346,0.036
2012-07-07 21:00:00,bus_006,0.1966,0.0488
2012-07-07 21:00:00,bus_004,0.1903,0.058
2012-07-07 21:00:00,bus_005,0.1515,0.0382
2012-07-07 21:30:00,bus_001,0.18,0.0597
2012-07-07 21:30:00,bus_002,0.333,0.1063
2012-07-07 21:30:00,bus_003,0.1079,0.0254
2012-07-07 21:30:00,bus_006,0.1821,0.0446
2012-07-07 21:30:00,bus_004,0.1877,0.057
2012-07-07 21:30:00,bus_005,0.1571,0.04
2012-07-07 22:00:00,bus_001,0.1627,0.0519
2012-07-07 22:00:00,bus_002,0.3138,0.0994
2012-07-07 22:00:00,bus_003,0.1428,0.0393
2012-07-07 22:00:00,bus_006,0.2606,0.0675
2012-07-07 22:00:00,bus_004,0.1406,0.0384
2012-07-07 22:00:00,bus_005,0.1317,0.0317
2012-07-07 22:30:00,bus_001,0.1672,0.0539
2012-07-07 22:30:00,bus_002,0.179,0.0505
2012-07-07 22:30:00,bus_003,0.1088,0.0258
2012-07-07 22:30:00,bus_006,0.2629,0.0682
2012-07-07 22:30:00,bus_004,0.1223,0.0312
2012-07-07 22:30:00,bus_005,0.1094,0.0244
2012-07-07 23:00:00,bus_001,0.1815,0.0604
2012-07-07 23:00:00,bus_002,0.2003,0.0582
2012-07-07 23:00:00,bus_003,0.1438,0.0396
2012-07-07 23:00:00,bus_006,0.1406,0.0325
2012-07-07 23:00:00,bus_004,0.121,0.0306
2012-07-07 23:00:00,bus_005,0.1298,0.0311
2012-07-07 23:30:00,bus_001,0.1672,0.0539
2012-07-07 23:30:00,bus_002,0.1975,0.0572
2012-07-07 23:30:00,bus_003,0.1153,0.0284
2012-07-07 23:30:00,bus_006,0.0976,0.02
2012-07-07 23:30:00,bus_004,0.121,0.0306
2012-07-07 23:30:00,bus_005,0.1354,0.0329
2012-07-08 00:00:00,bus_001,0.1642,0.0526
2012-07-08 00:00:00,bus_002,0.1819,0.0515
2012-07-08 00:00:00,bus_003,0.1373,0.0371
2012-07-08 00:00:00,bus_006,0.1011,0.021
2012-07-08 00:00:00,bus_004,0.1206,0.0305
2012-07-08 00:00:00,bus_005,0.1329,0.0321
2012-07-08 00:30:00,bus_001,0.1807,0.0601
2012-07-08 00:30:00,bus_002,0.1748,0.049
2012-07-08 00:30:00,bus_003,0.1171,0.0291
2012-07-08 00:30:00,bus_006,0.0994,0.0205
2012-07-08 00:30:00,bus_004,0.1071,0.0251
2012-07-08 00:30:00,bus_005,0.1336,0.0323
2012-07-08 01:00:00,bus_001,0.2002,0.069
2012-07-08 01:00:00,bus_002,0.1783,0.0502
2012-07-08 01:00:00,bus_003,0.1245,0.032
2012-07-08 01:00:00,bus_006,0.0991,0.0204
2012-07-08 01:00:00,bus_004,0.121,0.0306
2012-07-08 01:00:00,bus_005,0.1348,0.0327
2012-07-08 01:30:00,bus_001,0.1904,0.0645
2012-07-08 01:30:00,bus_002,0.1698,0.0472
2012-07-08 01:30:00,bus_003,0.1171,0.0291
2012-07-08 01:30:00,bus_006,0.0996,0.0206
2012-07-08 01:30:00,bus_004,0.1071,0.0251
2012-07-08 01:30:00,bus_005,0.1286,0.0307
2012-07-08 02:00:00,bus_001,0.1934,0.0659
2012-07-08 02:00:00,bus_002,0.1443,0.0379
2012-07-08 02:00:00,bus_003,0.1208,0.0305
2012-07-08 02:00:00,bus_006,0.1002,0.0207
2012-07-08 02:00:00,bus_004,0.1206,0.0305
2012-07-08 02:00:00,bus_005,0.1094,0.0244
2012-07-08 02:30:00,bus_001,0.1852,0.0621
2012-07-08 02:30:00,bus_002,0.1109,0.0258
2012-07-08 02:30:00,bus_003,0.119,0.0298
2012-07-08 02:30:00,bus_006,0.1008,0.0209
2012-07-08 02:30:00,bus_004,0.1023,0.0232
2012-07-08 02:30:00,bus_005,0.1113,0.025
2012-07-08 03:00:00,bus_001,0.1777,0.0587
2012-07-08 03:00:00,bus_002,0.1258,0.0312
2012-07-08 03:00:00,bus_003,0.1143,0.028
2012-07-08 03:00:00,bus_006,0.0976,0.02
2012-07-08 03:00:00,bus_004,0.1114,0.0269
2012-07-08 03:00:00,bus_005,0.1354,0.0329
2012-07-08 03:30:00,bus_001,0.1889,0.0638
2012-07-08 03:30:00,bus_002,0.1329,0.0338
2012-07-08 03:30:00,bus_003,0.1162,0.0287
2012-07-08 03:30:00,bus_006,0.0994,0.0205
2012-07-08 03:30:00,bus_004,0.1045,0.0241
2012-07-08 03:30:00,bus_005,0.1274,0.0303
2012-07-08 04:00:00,bus_001,0.1859,0.0625
2012-07-08 04:00:00,bus_002,0.1301,0.0327
2012-07-08 04:00:00,bus_003,0.1134,0.0276
2012-07-08 04:00:00,bus_006,0.0991,0.0204
2012-07-08 04:00:00,bus_004,0.1066,0.025
2012-07-08 04:00:00,bus_005,0.1094,0.0244
2012-07-08 04:30:00,bus_001,0.1777,0.0587
2012-07-08 04:30:00,bus_002,0.1003,0.0219
2012-07-08 04:30:00,bus_003,0.1134,0.0276
2012-07-08 04:30:00,bus_006,0.1087,0.0232
2012-07-08 04:30:00,bus_004,0.1071,0.0251
2012-07-08 04:30:00,bus_005,0.11,0.0246
2012-07-08 05:00:00,bus_001,0.1867,0.0628
2012-07-08 05:00:00,bus_002,0.1053,0.0237
2012-07-08 05:00:00,bus_003,0.1171,0.0291
2012-07-08 05:00:00,bus_006,0.1082,0.0231
2012-07-08 05:00:00,bus_004,0.091,0.0188
2012-07-08 05:00:00,bus_005,0.1361,0.0331
2012-07-08 05:30:00,bus_001,0.1657,0.0588
2012-07-08 05:30:00,bus_002,0.1148,0.0308
