Timestep,Bus,P(kW),Q(kvar)
2012-07-07 06:00:00,vsource,0,0
2012-07-07 06:00:00,bus_001,0.0288,0.0058
2012-07-07 06:00:00,bus_002,0.0288,0.0058
2012-07-07 06:00:00,bus_003,0.0288,0.0058
2012-07-07 06:00:00,bus_004,0.0288,0.0058
2012-07-07 06:00:00,bus_005,0.0288,0.0058
2012-07-07 06:00:00,bus_006,0.0288,0.0058
2012-07-07 06:00:00,bus_007,0.0288,0.0058
2012-07-07 06:00:00,bus_008,0.0288,0.0058
2012-07-07 06:00:00,bus_009,0.0288,0.0058
2012-07-07 06:00:00,bus_010,0.0288,0.0058
2012-07-07 06:00:00,bus_011,0.0288,0.0058
2012-07-07 06:00:00,bus_012,0.0288,0.0058
2012-07-07 06:00:00,bus_013,0.0288,0.0058
2012-07-07 06:00:00,bus_014,0.0288,0.0058
2012-07-07 06:00:00,busload_001,0.3031,0.1188
2012-07-07 06:00:00,busload_002,0.2285,0.0995
2012-07-07 06:00:00,busload_003,0.0963,0.0407
2012-07-07 06:00:00,busload_004,0.1353,0.0519
2012-07-07 06:00:00,busload_005,0.0933,0.035
2012-07-07 06:00:00,busload_006,0.1068,0.04
2012-07-07 06:00:00,busload_007,0.0297,0.0131
2012-07-07 06:00:00,busload_008,0.0276,0.0138
2012-07-07 06:00:00,busload_009,0.0302,0.0102
2012-07-07 06:00:00,busload_010,0.0368,0.0125
2012-07-07 06:00:00,busload_011,0.0063,0.0026
2012-07-07 06:00:00,busload_012,0.0265,0.0069
2012-07-07 06:00:00,busload_013,0.0306,0.0092
2012-07-07 06:00:00,busload_014,0.0283,0.0115
2012-07-07 06:00:00,busload_015,0.0164,0.0077
2012-07-07 06:00:00,busload_016,0.0115,0.0058
2012-07-07 06:00:00,busload_017,0.0407,0.0192
2012-07-07 06:00:00,busload_018,0.0601,0.0246
2012-07-07 06:00:00,busload_019,0.0584,0.0239
2012-07-07 06:00:00,busload_020,0.0501,0.0251
2012-07-07 06:00:00,busload_021,0.0301,0.0091
2012-07-07 06:00:00,busload_022,0.0869,0.0262
2012-07-07 06:00:00,busload_023,0.1087,0.0443
2012-07-07 06:00:00,busload_024,0.0672,0.0274
2012-07-07 06:00:00,busload_025,0.1481,0.0605
2012-07-07 06:00:00,busload_026,0.038,0.0167
2012-07-07 06:00:00,busload_027,0.0858,0.0351
2012-07-07 06:00:00,busload_028,0.0866,0.0261
2012-07-07 06:00:00,busload_029,0.0521,0.0212
2012-07-07 06:00:00,busload_030,0.023,0.0069
2012-07-07 06:00:00,busload_031,0.0676,0.024
2012-07-07 06:30:00,vsource,0,0
2012-07-07 06:30:00,bus_001,0.0,0.0
2012-07-07 06:30:00,bus_002,0.0,0.0
2012-07-07 06:30:00,bus_003,0.0004,-0.0
2012-07-07 06:30:00,bus_004,0.0,0.0
2012-07-07 06:30:00,bus_005,0.0,0.0
2012-07-07 06:30:00,bus_006,0.0,0.0
2012-07-07 06:30:00,bus_007,0.0004,-0.0
2012-07-07 06:30:00,bus_008,0.0,0.0
2012-07-07 06:30:00,bus_009,0.0,0.0
2012-07-07 06:30:00,bus_010,0.0,0.0
2012-07-07 06:30:00,bus_011,0.0004,-0.0
2012-07-07 06:30:00,bus_012,0.0,0.0
2012-07-07 06:30:00,bus_013,0.0,0.0
2012-07-07 06:30:00,bus_014,0.0,0.0
2012-07-07 06:30:00,busload_001,0.2396,0.0926
2012-07-07 06:30:00,busload_002,0.3549,0.1462
2012-07-07 06:30:00,busload_003,0.0628,0.0268
2012-07-07 06:30:00,busload_004,0.098,0.038
2012-07-07 06:30:00,busload_005,0.0679,0.0262
2012-07-07 06:30:00,busload_006,0.1174,0.044
2012-07-07 06:30:00,busload_007,0.0212,0.0093
2012-07-07 06:30:00,busload_008,0.0262,0.0131
2012-07-07 06:30:00,busload_009,0.0709,0.0241
2012-07-07 06:30:00,busload_010,0.0517,0.0176
2012-07-07 06:30:00,busload_011,0.018,0.0074
2012-07-07 06:30:00,busload_012,0.0487,0.0126
2012-07-07 06:30:00,busload_013,0.0124,0.0037
2012-07-07 06:30:00,busload_014,0.0159,0.0065
2012-07-07 06:30:00,busload_015,0.0444,0.0209
2012-07-07 06:30:00,busload_016,0.0181,0.0091
2012-07-07 06:30:00,busload_017,0.153,0.072
