Timestep,Bus,P(kW),Q(kvar)
2012-07-07 06:00:00,bus_001,0.0945,0.0457
2012-07-07 06:00:00,bus_002,0.0809,0.0392
2012-07-07 06:00:00,bus_003,0.0516,0.025
2012-07-07 06:00:00,bus_004,0.1,-0.0
2012-07-07 06:30:00,bus_001,0.0704,0.0341
2012-07-07 06:30:00,bus_002,0.21,0.1017
2012-07-07 06:30:00,bus_003,0.0258,0.0125
2012-07-07 06:30:00,bus_004,0.1,-0.0
2012-07-07 07:00:00,bus_001,0.0731,0.0468
2012-07-07 07:00:00,bus_002,0.0475,0.023
2012-07-07 07:00:00,bus_003,0.0433,0.021
2012-07-07 07:00:00,bus_004,0.1,-0.0
2012-07-07 07:30:00,bus_001,0.046,0.0715
2012-07-07 07:30:00,bus_002,0.0738,0.0357
2012-07-07 07:30:00,bus_003,0.0396,0.0192
2012-07-07 07:30:00,bus_004,0.1,-0.0
2012-07-07 08:00:00,bus_001,-0.1461,0.0352
2012-07-07 08:00:00,bus_002,0.0653,0.0316
2012-07-07 08:00:00,bus_003,0.127,0.0615
2012-07-07 08:00:00,bus_004,-0.0028,-0.0
2012-07-07 08:30:00,bus_001,-0.263,0.0385
2012-07-07 08:30:00,bus_002,0.0454,0.022
2012-07-07 08:30:00,bus_003,0.0663,0.0321
2012-07-07 08:30:00,bus_004,0.0523,0.0
2012-07-07 09:00:00,bus_001,-0.3609,0.0476
2012-07-07 09:00:00,bus_002,0.0383,0.0186
2012-07-07 09:00:00,bus_003,0.0534,0.0259
2012-07-07 09:00:00,bus_004,0.0527,0.0
2012-07-07 09:30:00,bus_001,-0.4977,0.0319
2012-07-07 09:30:00,bus_002,0.0639,0.0309
2012-07-07 09:30:00,bus_003,0.0322,0.0156
2012-07-07 09:30:00,bus_004,0.0561,0.0
2012-07-07 10:00:00,bus_001,-0.5804,0.0341
2012-07-07 10:00:00,bus_002,0.0639,0.0309
2012-07-07 10:00:00,bus_003,0.0423,0.0205
