Timestep,Bus,Voltage
2012-07-07 06:00:00,bus_001,127.017
2012-07-07 06:00:00,bus_002,127.017
2012-07-07 06:00:00,bus_003,127.017
2012-07-07 06:00:00,bus_004,127.0156
2012-07-07 06:00:00,bus_005,126.9992
2012-07-07 06:30:00,bus_001,127.0171
2012-07-07 06:30:00,bus_002,127.017
2012-07-07 06:30:00,bus_003,127.017
2012-07-07 06:30:00,bus_004,127.0184
2012-07-07 06:30:00,bus_005,126.9849
2012-07-07 07:00:00,bus_001,127.017
2012-07-07 07:00:00,bus_002,127.017
2012-07-07 07:00:00,bus_003,127.017
2012-07-07 07:00:00,bus_004,127.0119
2012-07-07 07:00:00,bus_005,126.9943
2012-07-07 07:30:00,bus_001,127.017
2012-07-07 07:30:00,bus_002,127.017
2012-07-07 07:30:00,bus_003,127.0171
2012-07-07 07:30:00,bus_004,127.0154
2012-07-07 07:30:00,bus_005,127.0003
2012-07-07 08:00:00,bus_001,127.0171
2012-07-07 08:00:00,bus_002,127.0171
2012-07-07 08:00:00,bus_003,127.0171
2012-07-07 08:00:00,bus_004,127.0171
2012-07-07 08:00:00,bus_005,127.0123
2012-07-07 08:30:00,bus_001,127.0171
2012-07-07 08:30:00,bus_002,127.0171
2012-07-07 08:30:00,bus_003,127.0171
2012-07-07 08:30:00,bus_004,127.0204
2012-07-07 08:30:00,bus_005,127.02
2012-07-07 09:00:00,bus_001,127.0171
2012-07-07 09:00:00,bus_002,127.017
2012-07-07 09:00:00,bus_003,127.0171
2012-07-07 09:00:00,bus_004,127.023
2012-07-07 09:00:00,bus_005,127.0244
2012-07-07 09:30:00,bus_001,127.0171
2012-07-07 09:30:00,bus_002,127.017
2012-07-07 09:30:00,bus_003,127.0171
2012-07-07 09:30:00,bus_004,127.0278
2012-07-07 09:30:00,bus_005,127.0215
2012-07-07 10:00:00,bus_001,127.0171
2012-07-07 10:00:00,bus_002,127.017
2012-07-07 10:00:00,bus_003,127.017
2012-07-07 10:00:00,bus_004,127.0402
2012-07-07 10:00:00,bus_005,127.0168
2012-07-07 10:30:00,bus_001,127.0171
2012-07-07 10:30:00,bus_002,127.017
2012-07-07 10:30:00,bus_003,127.017
2012-07-07 10:30:00,bus_004,127.0584
2012-07-07 10:30:00,bus_005,126.9887
2012-07-07 11:00:00,bus_001,127.0171
2012-07-07 11:00:00,bus_002,127.0171
2012-07-07 11:00:00,bus_003,127.0171
2012-07-07 11:00:00,bus_004,127.0383
2012-07-07 11:00:00,bus_005,127.0378
2012-07-07 11:30:00,bus_001,127.0171
2012-07-07 11:30:00,bus_002,127.0171
2012-07-07 11:30:00,bus_003,127.0171
2012-07-07 11:30:00,bus_004,127.0437
2012-07-07 11:30:00,bus_005,127.0324
2012-07-07 12:00:00,bus_001,127.0171
2012-07-07 12:00:00,bus_002,127.017
2012-07-07 12:00:00,bus_003,127.0171
2012-07-07 12:00:00,bus_004,127.0359
2012-07-07 12:00:00,bus_005,127.0186
2012-07-07 12:30:00,bus_001,127.0171
2012-07-07 12:30:00,bus_002,127.017
2012-07-07 12:30:00,bus_003,127.017
2012-07-07 12:30:00,bus_004,127.0468
2012-07-07 12:30:00,bus_005,127.0152
2012-07-07 13:00:00,bus_001,127.0171
2012-07-07 13:00:00,bus_002,127.017
2012-07-07 13:00:00,bus_003,127.0171
2012-07-07 13:00:00,bus_004,127.0358
2012-07-07 13:00:00,bus_005,127.0212
2012-07-07 13:30:00,bus_001,127.0171
2012-07-07 13:30:00,bus_002,127.017
2012-07-07 13:30:00,bus_003,127.017
2012-07-07 13:30:00,bus_004,127.0407
2012-07-07 13:30:00,bus_005,127.0041
2012-07-07 14:00:00,bus_001,127.0171
2012-07-07 14:00:00,bus_002,127.017
2012-07-07 14:00:00,bus_003,127.017
2012-07-07 14:00:00,bus_004,127.0376
2012-07-07 14:00:00,bus_005,127.0118
2012-07-07 14:30:00,bus_001,127.0171
2012-07-07 14:30:00,bus_002,127.017
2012-07-07 14:30:00,bus_003,127.017
2012-07-07 14:30:00,bus_004,127.0335
2012-07-07 14:30:00,bus_005,126.9953
2012-07-07 15:00:00,bus_001,127.0171
2012-07-07 15:00:00,bus_002,127.017
2012-07-07 15:00:00,bus_003,127.017
2012-07-07 15:00:00,bus_004,127.0327
2012-07-07 15:00:00,bus_005,127.0067
2012-07-07 15:30:00,bus_001,127.0171
2012-07-07 15:30:00,bus_002,127.017
2012-07-07 15:30:00,bus_003,127.0171
2012-07-07 15:30:00,bus_004,127.029
2012-07-07 15:30:00,bus_005,127.0058
2012-07-07 16:00:00,bus_001,127.0171
2012-07-07 16:00:00,bus_002,127.017
2012-07-07 16:00:00,bus_003,127.017
2012-07-07 16:00:00,bus_004,127.0219
2012-07-07 16:00:00,bus_005,126.99
2012-07-07 16:30:00,bus_001,127.0171
