Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.4722,0.1565
2012-07-07 06:30:00,0.3881,0.1478
2012-07-07 07:00:00,0.4029,0.1634
2012-07-07 07:30:00,-0.0,0.1685
2012-07-07 08:00:00,-0.0,0.1434
2012-07-07 08:30:00,0.0,0.1146
2012-07-07 09:00:00,-0.0,0.1219
2012-07-07 09:30:00,-0.0,0.1215
2012-07-07 10:00:00,-0.0,0.1409
2012-07-07 10:30:00,-0.0,0.2369
2012-07-07 11:00:00,0.0,0.0909
2012-07-07 11:30:00,0.0,0.0899
2012-07-07 12:00:00,0.0,0.1745
2012-07-07 12:30:00,0.0,0.146
2012-07-07 13:00:00,0.0,0.1684
2012-07-07 13:30:00,-0.0,0.2
2012-07-07 14:00:00,-0.0,0.1894
2012-07-07 14:30:00,0.0,0.2279
2012-07-07 15:00:00,-0.0,0.1704
2012-07-07 15:30:00,-0.0,0.1642
2012-07-07 16:00:00,0.0,0.209
2012-07-07 16:30:00,0.0,0.2051
2012-07-07 17:00:00,-0.0,0.234
2012-07-07 17:30:00,0.0,0.2217
2012-07-07 18:00:00,-0.0,0.2577
2012-07-07 18:30:00,-0.0,0.3514
2012-07-07 19:00:00,0.0,0.246
2012-07-07 19:30:00,0.0,0.2614
2012-07-07 20:00:00,0.0,0.2749
2012-07-07 20:30:00,0.0,0.2779
2012-07-07 21:00:00,-0.0,0.2842
2012-07-07 21:30:00,0.0,0.2888
2012-07-07 22:00:00,0.0,0.2609
2012-07-07 22:30:00,-0.0,0.1859
2012-07-07 23:00:00,-0.0,0.2202
2012-07-07 23:30:00,0.0,0.2032
2012-07-08 00:00:00,-0.0,0.2039
2012-07-08 00:30:00,0.0,0.1957
2012-07-08 01:00:00,0.0,0.2147
2012-07-08 01:30:00,0.0,0.1967
2012-07-08 02:00:00,-0.0,0.1893
2012-07-08 02:30:00,-0.0,0.166
2012-07-08 03:00:00,0.0,0.1778
2012-07-08 03:30:00,-0.0,0.1808
2012-07-08 04:00:00,-0.0,0.1723
2012-07-08 04:30:00,-0.0,0.1581
2012-07-08 05:00:00,0.0,0.1676
2012-07-08 05:30:00,-0.0,0.1794
2012-07-08 06:00:00,-0.0,0.1495
