Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,3.066,0.9533
2012-07-07 06:30:00,2.5902,0.8494
2012-07-07 07:00:00,2.7709,1.0313
2012-07-07 07:30:00,1.8316,1.3518
2012-07-07 08:00:00,0.7289,1.3426
2012-07-07 08:30:00,-0.9306,1.6474
2012-07-07 09:00:00,-1.9751,1.5062
2012-07-07 09:30:00,-3.6354,2.0581
2012-07-07 10:00:00,-4.4518,1.5015
2012-07-07 10:30:00,-5.8609,2.1209
2012-07-07 11:00:00,-6.5903,1.649
2012-07-07 11:30:00,-7.1498,1.462
2012-07-07 12:00:00,-7.3716,1.8182
2012-07-07 12:30:00,-7.1344,1.5089
2012-07-07 13:00:00,-7.0176,1.6186
2012-07-07 13:30:00,-6.4586,1.4902
2012-07-07 14:00:00,-5.5759,1.3945
2012-07-07 14:30:00,-4.6217,1.5523
2012-07-07 15:00:00,-3.2691,1.2981
2012-07-07 15:30:00,-1.5383,1.4006
2012-07-07 16:00:00,0.4468,1.7109
2012-07-07 16:30:00,2.2705,1.6204
2012-07-07 17:00:00,3.4919,1.5638
2012-07-07 17:30:00,4.7964,1.6727
2012-07-07 18:00:00,5.8745,2.0928
2012-07-07 18:30:00,6.4747,2.3463
2012-07-07 19:00:00,6.4601,2.0791
2012-07-07 19:30:00,6.2221,1.996
2012-07-07 20:00:00,6.1211,2.0332
2012-07-07 20:30:00,5.9918,1.9931
2012-07-07 21:00:00,6.1174,1.8745
2012-07-07 21:30:00,6.2297,2.2116
2012-07-07 22:00:00,6.1253,2.0983
2012-07-07 22:30:00,5.7306,1.7754
2012-07-07 23:00:00,5.3141,1.6788
2012-07-07 23:30:00,5.0645,1.5659
2012-07-08 00:00:00,4.6456,1.487
2012-07-08 00:30:00,4.2641,1.2053
2012-07-08 01:00:00,3.8654,1.1341
2012-07-08 01:30:00,3.6779,0.9753
2012-07-08 02:00:00,3.4878,0.996
2012-07-08 02:30:00,3.4693,0.9409
2012-07-08 03:00:00,3.3958,0.9675
2012-07-08 03:30:00,3.3343,0.902
2012-07-08 04:00:00,3.2181,0.8676
2012-07-08 04:30:00,3.196,0.8285
2012-07-08 05:00:00,3.1717,0.8744
2012-07-08 05:30:00,3.1176,0.891
2012-07-08 06:00:00,3.3074,0.9065
2012-07-08 06:30:00,3.4774,1.4024
2012-07-08 07:00:00,3.3228,1.476
2012-07-08 07:30:00,2.2602,1.4832
2012-07-08 08:00:00,0.6695,1.3951
2012-07-08 08:30:00,-1.1122,1.3819
2012-07-08 09:00:00,-2.5928,1.4101
2012-07-08 09:30:00,-3.9995,1.5991
2012-07-08 10:00:00,-5.1338,1.5021
2012-07-08 10:30:00,-5.8367,1.4834
2012-07-08 11:00:00,-6.3799,1.8077
2012-07-08 11:30:00,-6.0592,1.4708
2012-07-08 12:00:00,-6.2425,2.2516
2012-07-08 12:30:00,-5.7602,1.7264
2012-07-08 13:00:00,-5.556,2.0032
2012-07-08 13:30:00,-4.555,2.1403
2012-07-08 14:00:00,-3.7047,2.2893
2012-07-08 14:30:00,-2.7701,2.0345
2012-07-08 15:00:00,-1.306,1.9358
2012-07-08 15:30:00,0.395,2.4332
2012-07-08 16:00:00,2.2648,2.1629
2012-07-08 16:30:00,3.5814,2.0929
2012-07-08 17:00:00,4.767,1.9901
2012-07-08 17:30:00,5.8618,2.1001
2012-07-08 18:00:00,6.3231,2.4477
2012-07-08 18:30:00,6.5749,2.0796
2012-07-08 19:00:00,6.5318,2.1644
2012-07-08 19:30:00,6.5714,2.3672
2012-07-08 20:00:00,6.4111,2.1041
2012-07-08 20:30:00,6.0431,1.9696
2012-07-08 21:00:00,5.8887,1.9162
2012-07-08 21:30:00,5.8764,1.9441
2012-07-08 22:00:00,5.6637,1.9632
2012-07-08 22:30:00,5.2987,1.6637
2012-07-08 23:00:00,4.8905,1.4961
2012-07-08 23:30:00,4.542,1.4253
2012-07-09 00:00:00,4.1597,1.2206
2012-07-09 00:30:00,3.7799,1.0383
2012-07-09 01:00:00,3.5208,1.0021
2012-07-09 01:30:00,3.3734,0.9212
2012-07-09 02:00:00,3.2178,0.8629
2012-07-09 02:30:00,3.1568,0.8127
2012-07-09 03:00:00,3.0863,0.839
2012-07-09 03:30:00,3.1157,0.7754
2012-07-09 04:00:00,3.0989,0.8563
2012-07-09 04:30:00,3.1858,0.8208
2012-07-09 05:00:00,3.278,0.8744
2012-07-09 05:30:00,3.3729,1.0317
2012-07-09 06:00:00,3.5912,1.0999
2012-07-09 06:30:00,3.8182,1.3915
2012-07-09 07:00:00,3.6167,1.6217
2012-07-09 07:30:00,2.578,1.5463
2012-07-09 08:00:00,0.7234,1.4254
2012-07-09 08:30:00,-1.0887,1.2585
2012-07-09 09:00:00,-2.6694,1.4426
2012-07-09 09:30:00,-4.131,1.469
2012-07-09 10:00:00,-5.508,1.1775
2012-07-09 10:30:00,-6.4704,1.1233
2012-07-09 11:00:00,-7.0349,1.3418
2012-07-09 11:30:00,-7.2024,1.2355
2012-07-09 12:00:00,-7.3395,1.3818
2012-07-09 12:30:00,-7.1241,1.3243
2012-07-09 13:00:00,-6.7567,1.3571
2012-07-09 13:30:00,-6.2917,1.4302
2012-07-09 14:00:00,-5.5513,1.2337
2012-07-09 14:30:00,-4.4653,1.2956
2012-07-09 15:00:00,-2.7629,1.4317
2012-07-09 15:30:00,-1.0046,1.2561
2012-07-09 16:00:00,1.0558,1.2296
2012-07-09 16:30:00,3.1799,1.7574
2012-07-09 17:00:00,4.6632,2.2338
