Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.6035,0.1919
2012-07-07 06:30:00,0.5017,0.1809
2012-07-07 07:00:00,0.496,0.1906
2012-07-07 07:30:00,0.4332,0.2007
2012-07-07 08:00:00,0.2543,0.1749
2012-07-07 08:30:00,0.0709,0.1518
2012-07-07 09:00:00,-0.0409,0.1562
2012-07-07 09:30:00,-0.1368,0.1553
2012-07-07 10:00:00,-0.132,0.1827
2012-07-07 10:30:00,0.1023,0.2813
2012-07-07 11:00:00,-0.4083,0.1263
2012-07-07 11:30:00,-0.4305,0.1238
2012-07-07 12:00:00,-0.1042,0.2426
2012-07-07 12:30:00,-0.1859,0.2099
2012-07-07 13:00:00,-0.2087,0.2046
2012-07-07 13:30:00,-0.068,0.2368
2012-07-07 14:00:00,-0.057,0.2232
2012-07-07 14:30:00,0.1279,0.262
2012-07-07 15:00:00,0.0729,0.2068
2012-07-07 15:30:00,0.1522,0.1989
2012-07-07 16:00:00,0.4219,0.2505
2012-07-07 16:30:00,0.5267,0.2449
2012-07-07 17:00:00,0.7787,0.2993
2012-07-07 17:30:00,0.7422,0.2659
2012-07-07 18:00:00,1.3121,0.3753
2012-07-07 18:30:00,1.5998,0.4759
2012-07-07 19:00:00,1.2322,0.3474
2012-07-07 19:30:00,1.1913,0.34
2012-07-07 20:00:00,1.2333,0.3564
2012-07-07 20:30:00,1.1192,0.3237
2012-07-07 21:00:00,1.1502,0.3332
2012-07-07 21:30:00,1.1481,0.3336
2012-07-07 22:00:00,1.1528,0.3285
2012-07-07 22:30:00,0.95,0.2542
2012-07-07 23:00:00,0.9173,0.2527
2012-07-07 23:30:00,0.8343,0.2232
2012-07-08 00:00:00,0.8383,0.2249
2012-07-08 00:30:00,0.8128,0.2162
2012-07-08 01:00:00,0.8581,0.2351
2012-07-08 01:30:00,0.8129,0.2173
2012-07-08 02:00:00,0.7889,0.21
2012-07-08 02:30:00,0.7296,0.187
2012-07-08 03:00:00,0.7626,0.1978
2012-07-08 03:30:00,0.7694,0.2013
2012-07-08 04:00:00,0.7447,0.1927
2012-07-08 04:30:00,0.7174,0.1813
2012-07-08 05:00:00,0.7444,0.1907
2012-07-08 05:30:00,0.6918,0.1952
2012-07-08 06:00:00,0.4954,0.1598
2012-07-08 06:30:00,0.4068,0.1582
