Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,3.066,0.9533
2012-07-07 06:30:00,2.5902,0.8494
2012-07-07 07:00:00,2.7709,1.0313
2012-07-07 07:30:00,2.2418,1.3515
2012-07-07 08:00:00,0.4844,1.3424
2012-07-07 08:30:00,-0.5363,1.6473
2012-07-07 09:00:00,-2.7396,1.508
2012-07-07 09:30:00,-2.6425,2.0549
2012-07-07 10:00:00,-5.5331,1.506
2012-07-07 10:30:00,-5.1669,2.1176
2012-07-07 11:00:00,-6.8922,1.6519
2012-07-07 11:30:00,-7.7055,1.4663
2012-07-07 12:00:00,-6.8416,1.8152
2012-07-07 12:30:00,-7.5749,1.5127
2012-07-07 13:00:00,-6.9781,1.6213
2012-07-07 13:30:00,-6.4993,1.4919
2012-07-07 14:00:00,-5.8962,1.397
2012-07-07 14:30:00,-4.3263,1.5531
2012-07-07 15:00:00,-3.6449,1.2999
2012-07-07 15:30:00,-1.8317,1.4015
2012-07-07 16:00:00,0.8653,1.7105
2012-07-07 16:30:00,2.3081,1.6198
2012-07-07 17:00:00,3.6406,1.563
2012-07-07 17:30:00,4.5301,1.6708
2012-07-07 18:00:00,6.2212,2.0936
2012-07-07 18:30:00,6.8739,2.3473
2012-07-07 19:00:00,6.3308,2.0766
2012-07-07 19:30:00,6.18,1.9958
2012-07-07 20:00:00,6.1551,2.0315
2012-07-07 20:30:00,6.0313,1.9914
2012-07-07 21:00:00,5.7923,1.8717
2012-07-07 21:30:00,6.5314,2.2107
2012-07-07 22:00:00,6.3701,2.0972
2012-07-07 22:30:00,5.4787,1.773
2012-07-07 23:00:00,5.3459,1.6772
2012-07-07 23:30:00,5.1206,1.5644
2012-07-08 00:00:00,4.7299,1.4858
2012-07-08 00:30:00,4.0892,1.2036
2012-07-08 01:00:00,3.9757,1.1331
2012-07-08 01:30:00,3.534,0.9739
2012-07-08 02:00:00,3.5259,0.995
2012-07-08 02:30:00,3.4054,0.9398
2012-07-08 03:00:00,3.4787,0.9666
2012-07-08 03:30:00,3.3054,0.9009
2012-07-08 04:00:00,3.221,0.8667
2012-07-08 04:30:00,3.1295,0.8274
2012-07-08 05:00:00,3.2396,0.8735
2012-07-08 05:30:00,3.1477,0.8901
2012-07-08 06:00:00,2.967,0.905
2012-07-08 06:30:00,3.8088,1.4021
