Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.3323,0.1279
2012-07-07 06:30:00,0.3881,0.152
2012-07-07 07:00:00,0.4029,0.1564
2012-07-07 07:30:00,-0.0003,0.1664
2012-07-07 08:00:00,-0.0003,0.1353
2012-07-07 08:30:00,-0.0003,0.1104
2012-07-07 09:00:00,-0.0002,0.1183
2012-07-07 09:30:00,-0.0003,0.1179
2012-07-07 10:00:00,-0.0003,0.1347
2012-07-07 10:30:00,-0.0002,0.2211
2012-07-07 11:00:00,-0.0004,0.0868
2012-07-07 11:30:00,-0.0004,0.0868
2012-07-07 12:00:00,-0.0004,0.1735
2012-07-07 12:30:00,-0.0004,0.152
2012-07-07 13:00:00,-0.0003,0.1676
2012-07-07 13:30:00,-0.0003,0.2066
2012-07-07 14:00:00,-0.0003,0.1899
2012-07-07 14:30:00,-0.0003,0.2285
2012-07-07 15:00:00,-0.0002,0.1693
2012-07-07 15:30:00,-0.0003,0.1662
2012-07-07 16:00:00,-0.0002,0.2093
2012-07-07 16:30:00,-0.0002,0.2061
2012-07-07 17:00:00,-0.0002,0.2371
2012-07-07 17:30:00,-0.0002,0.2202
2012-07-07 18:00:00,-0.0002,0.1782
2012-07-07 18:30:00,-0.0001,0.2693
2012-07-07 19:00:00,-0.0003,0.1673
2012-07-07 19:30:00,-0.0002,0.1832
2012-07-07 20:00:00,-0.0002,0.1954
2012-07-07 20:30:00,-0.0002,0.1965
2012-07-07 21:00:00,-0.0002,0.2041
2012-07-07 21:30:00,-0.0002,0.2115
2012-07-07 22:00:00,-0.0002,0.1826
2012-07-07 22:30:00,-0.0003,0.107
2012-07-07 23:00:00,-0.0003,0.1394
2012-07-07 23:30:00,-0.0002,0.1236
2012-07-08 00:00:00,-0.0003,0.1223
2012-07-08 00:30:00,-0.0002,0.1161
2012-07-08 01:00:00,-0.0002,0.1348
2012-07-08 01:30:00,-0.0002,0.1174
2012-07-08 02:00:00,-0.0003,0.1093
2012-07-08 02:30:00,-0.0003,0.0854
2012-07-08 03:00:00,-0.0003,0.0965
2012-07-08 03:30:00,-0.0003,0.1005
2012-07-08 04:00:00,-0.0003,0.0926
2012-07-08 04:30:00,-0.0003,0.0771
2012-07-08 05:00:00,-0.0003,0.0864
2012-07-08 05:30:00,-0.0003,0.117
2012-07-08 06:00:00,-0.0003,0.1209
