Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,3.066,0.9533
2012-07-07 06:30:00,2.5902,0.8494
2012-07-07 07:00:00,2.7709,1.0313
2012-07-07 07:30:00,0.0013,1.3521
2012-07-07 08:00:00,0.0002,1.3427
2012-07-07 08:30:00,-0.0011,1.6466
2012-07-07 09:00:00,-0.0052,1.5037
2012-07-07 09:30:00,-0.006,2.0501
2012-07-07 10:00:00,-0.013,1.4934
2012-07-07 10:30:00,-0.0128,2.1045
2012-07-07 11:00:00,-0.0184,1.6333
2012-07-07 11:30:00,-3.1884,1.4486
2012-07-07 12:00:00,-6.8416,1.8152
2012-07-07 12:30:00,-7.5749,1.5127
2012-07-07 13:00:00,-6.9781,1.6213
2012-07-07 13:30:00,-6.4993,1.4919
2012-07-07 14:00:00,-5.8962,1.397
2012-07-07 14:30:00,-4.3263,1.5531
2012-07-07 15:00:00,-3.6449,1.2999
2012-07-07 15:30:00,-1.8317,1.4015
2012-07-07 16:00:00,0.0007,1.7112
2012-07-07 16:30:00,0.002,1.6207
2012-07-07 17:00:00,0.0021,1.563
2012-07-07 17:30:00,0.0031,1.6701
2012-07-07 18:00:00,0.0042,2.0917
2012-07-07 18:30:00,0.0049,2.345
2012-07-07 19:00:00,0.0048,2.0744
2012-07-07 19:30:00,0.0039,1.9936
2012-07-07 20:00:00,0.0043,2.0296
2012-07-07 20:30:00,6.0313,1.9914
2012-07-07 21:00:00,5.7923,1.8717
2012-07-07 21:30:00,6.5314,2.2107
2012-07-07 22:00:00,6.3701,2.0972
2012-07-07 22:30:00,5.4787,1.773
2012-07-07 23:00:00,5.3459,1.6772
2012-07-07 23:30:00,5.1206,1.5644
2012-07-08 00:00:00,4.7299,1.4858
2012-07-08 00:30:00,4.0892,1.2036
2012-07-08 01:00:00,3.9757,1.1331
2012-07-08 01:30:00,3.534,0.9739
2012-07-08 02:00:00,3.5259,0.995
2012-07-08 02:30:00,3.4054,0.9398
2012-07-08 03:00:00,3.4787,0.9666
2012-07-08 03:30:00,3.3054,0.9009
2012-07-08 04:00:00,3.221,0.8667
2012-07-08 04:30:00,3.1295,0.8274
2012-07-08 05:00:00,3.2396,0.8735
2012-07-08 05:30:00,3.1477,0.8901
2012-07-08 06:00:00,2.967,0.905
2012-07-08 06:30:00,3.8088,1.4021
2012-07-08 07:00:00,3.6587,1.4756
2012-07-08 07:30:00,2.5029,1.4828
2012-07-08 08:00:00,0.6209,1.395
2012-07-08 08:30:00,-0.0019,1.381
2012-07-08 09:00:00,-0.005,1.4069
2012-07-08 09:30:00,-0.008,1.5929
2012-07-08 10:00:00,-0.0125,1.4922
2012-07-08 10:30:00,-0.0146,1.4711
2012-07-08 11:00:00,-0.0152,1.7902
2012-07-08 11:30:00,-0.0181,1.4577
2012-07-08 12:00:00,-0.0148,2.2355
2012-07-08 12:30:00,-0.0177,1.7136
2012-07-08 13:00:00,-0.0154,1.9913
2012-07-08 13:30:00,-3.7123,2.138
2012-07-08 14:00:00,-3.4979,2.2901
2012-07-08 14:30:00,-2.9582,2.0359
2012-07-08 15:00:00,-1.8507,1.9371
2012-07-08 15:30:00,0.0011,2.4337
2012-07-08 16:00:00,0.0028,2.1644
2012-07-08 16:30:00,0.0035,2.0942
2012-07-08 17:00:00,0.0031,1.99
2012-07-08 17:30:00,0.0033,2.0985
2012-07-08 18:00:00,0.0048,2.4473
2012-07-08 18:30:00,0.0046,2.0767
2012-07-08 19:00:00,0.0051,2.16
2012-07-08 19:30:00,0.0042,2.366
2012-07-08 20:00:00,6.3509,2.1018
2012-07-08 20:30:00,5.9687,1.9693
2012-07-08 21:00:00,5.8092,1.9159
2012-07-08 21:30:00,5.8877,1.9423
2012-07-08 22:00:00,5.9357,1.9621
2012-07-08 22:30:00,5.1723,1.6617
2012-07-08 23:00:00,4.7914,1.4943
2012-07-08 23:30:00,4.7113,1.4257
2012-07-09 00:00:00,4.1239,1.2192
2012-07-09 00:30:00,3.6466,1.037
2012-07-09 01:00:00,3.5713,1.0012
2012-07-09 01:30:00,3.3463,0.9202
2012-07-09 02:00:00,3.2047,0.8619
2012-07-09 02:30:00,3.1044,0.8117
2012-07-09 03:00:00,3.1632,0.8382
2012-07-09 03:30:00,2.9932,0.7743
2012-07-09 04:00:00,3.1926,0.8555
2012-07-09 04:30:00,3.1125,0.8198
2012-07-09 05:00:00,3.2541,0.8734
2012-07-09 05:30:00,3.4695,1.0308
2012-07-09 06:00:00,3.3971,1.0985
2012-07-09 06:30:00,3.9091,1.3905
2012-07-09 07:00:00,4.1513,1.6213
2012-07-09 07:30:00,2.7938,1.5456
2012-07-09 08:00:00,0.7919,1.4253
2012-07-09 08:30:00,-0.0021,1.2576
2012-07-09 09:00:00,-0.0047,1.4396
2012-07-09 09:30:00,-0.0083,1.4627
2012-07-09 10:00:00,-0.0123,1.1674
2012-07-09 10:30:00,-0.0155,1.11
2012-07-09 11:00:00,-0.0168,1.3265
2012-07-09 11:30:00,-0.0187,1.2189
2012-07-09 12:00:00,-0.019,1.3653
2012-07-09 12:30:00,-0.0183,1.3077
2012-07-09 13:00:00,-5.8178,1.354
2012-07-09 13:30:00,-6.159,1.4322
2012-07-09 14:00:00,-5.8659,1.2362
2012-07-09 14:30:00,-4.6242,1.2973
2012-07-09 15:00:00,-2.9031,1.4329
2012-07-09 15:30:00,-0.7593,1.2563
2012-07-09 16:00:00,0.0005,1.2295
2012-07-09 16:30:00,0.003,1.7572
2012-07-09 17:00:00,0.0051,2.2338
