Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,3.066,0.9533
2012-07-07 06:30:00,2.5902,0.8494
2012-07-07 07:00:00,2.7709,1.0313
2012-07-07 07:30:00,1.8324,1.3515
2012-07-07 08:00:00,0.7296,1.3422
2012-07-07 08:30:00,-0.9289,1.6484
2012-07-07 09:00:00,-1.9761,1.5054
2012-07-07 09:30:00,-3.6306,2.0605
2012-07-07 10:00:00,-4.4557,1.4977
2012-07-07 10:30:00,-5.8582,2.1226
2012-07-07 11:00:00,-6.5916,1.6496
2012-07-07 11:30:00,-7.1523,1.462
2012-07-07 12:00:00,-7.3685,1.82
2012-07-07 12:30:00,-7.1366,1.5091
2012-07-07 13:00:00,-7.0176,1.6216
2012-07-07 13:30:00,-6.4587,1.4914
2012-07-07 14:00:00,-5.5767,1.3912
2012-07-07 14:30:00,-4.6194,1.5492
2012-07-07 15:00:00,-3.27,1.2958
2012-07-07 15:30:00,-1.5383,1.4006
2012-07-07 16:00:00,0.4479,1.7113
2012-07-07 16:30:00,2.2714,1.6197
2012-07-07 17:00:00,3.4928,1.5627
2012-07-07 17:30:00,4.7979,1.6715
2012-07-07 18:00:00,5.8741,2.0929
2012-07-07 18:30:00,6.4738,2.3463
2012-07-07 19:00:00,6.462,2.0772
2012-07-07 19:30:00,6.222,1.9962
2012-07-07 20:00:00,6.1221,2.0312
2012-07-07 20:30:00,5.9928,1.9911
2012-07-07 21:00:00,6.1194,1.8728
2012-07-07 21:30:00,6.2304,2.2097
2012-07-07 22:00:00,6.1261,2.0964
2012-07-07 22:30:00,5.7323,1.7739
2012-07-07 23:00:00,5.315,1.6769
2012-07-07 23:30:00,5.0654,1.5641
2012-07-08 00:00:00,4.6464,1.4854
2012-07-08 00:30:00,4.2653,1.2041
2012-07-08 01:00:00,3.8661,1.1327
2012-07-08 01:30:00,3.6788,0.9743
2012-07-08 02:00:00,3.4884,0.9948
2012-07-08 02:30:00,3.4701,0.94
2012-07-08 03:00:00,3.3964,0.9664
2012-07-08 03:30:00,3.335,0.9011
2012-07-08 04:00:00,3.2187,0.8665
2012-07-08 04:30:00,3.1967,0.8276
2012-07-08 05:00:00,3.1722,0.8733
2012-07-08 05:30:00,3.1181,0.8899
2012-07-08 06:00:00,3.3085,0.9057
2012-07-08 06:30:00,3.4777,1.4015
2012-07-08 07:00:00,3.3231,1.4751
2012-07-08 07:30:00,2.2609,1.4827
2012-07-08 08:00:00,0.6701,1.395
2012-07-08 08:30:00,-1.1122,1.3807
2012-07-08 09:00:00,-2.5934,1.4082
2012-07-08 09:30:00,-3.9986,1.5964
2012-07-08 10:00:00,-5.1342,1.4991
2012-07-08 10:30:00,-5.8381,1.4835
2012-07-08 11:00:00,-6.3778,1.8088
2012-07-08 11:30:00,-6.0629,1.4665
2012-07-08 12:00:00,-6.2363,2.2494
2012-07-08 12:30:00,-5.7632,1.7223
2012-07-08 13:00:00,-5.5555,2.006
2012-07-08 13:30:00,-4.5551,2.1411
2012-07-08 14:00:00,-3.703,2.2915
2012-07-08 14:30:00,-2.7703,2.0349
2012-07-08 15:00:00,-1.3065,1.9352
2012-07-08 15:30:00,0.3971,2.434
2012-07-08 16:00:00,2.2646,2.1629
2012-07-08 16:30:00,3.5815,2.0929
2012-07-08 17:00:00,4.767,1.9899
2012-07-08 17:30:00,5.8618,2.1003
2012-07-08 18:00:00,6.3222,2.4479
2012-07-08 18:30:00,6.5752,2.0799
2012-07-08 19:00:00,6.5337,2.1626
2012-07-08 19:30:00,6.5708,2.3673
2012-07-08 20:00:00,6.413,2.1023
2012-07-08 20:30:00,6.0431,1.9698
2012-07-08 21:00:00,5.8887,1.9164
2012-07-08 21:30:00,5.8776,1.9419
2012-07-08 22:00:00,5.6645,1.9613
2012-07-08 22:30:00,5.3002,1.6623
2012-07-08 23:00:00,4.8919,1.4948
2012-07-08 23:30:00,4.5419,1.4251
2012-07-09 00:00:00,4.1607,1.2195
2012-07-09 00:30:00,3.7809,1.0373
2012-07-09 01:00:00,3.5214,1.0009
2012-07-09 01:30:00,3.3741,0.9203
2012-07-09 02:00:00,3.2184,0.8621
2012-07-09 02:30:00,3.1575,0.8119
2012-07-09 03:00:00,3.0868,0.8379
2012-07-09 03:30:00,3.1165,0.7746
2012-07-09 04:00:00,3.0993,0.8552
2012-07-09 04:30:00,3.1865,0.82
2012-07-09 05:00:00,3.2787,0.8736
2012-07-09 05:30:00,3.3735,1.0305
2012-07-09 06:00:00,3.5922,1.099
2012-07-09 06:30:00,3.819,1.3901
2012-07-09 07:00:00,3.6175,1.6207
2012-07-09 07:30:00,2.579,1.5454
2012-07-09 08:00:00,0.7242,1.4253
2012-07-09 08:30:00,-1.0887,1.2584
2012-07-09 09:00:00,-2.6688,1.4437
2012-07-09 09:30:00,-4.13,1.4712
2012-07-09 10:00:00,-5.5087,1.1745
2012-07-09 10:30:00,-6.4711,1.1199
2012-07-09 11:00:00,-7.0342,1.3456
2012-07-09 11:30:00,-7.2031,1.2317
2012-07-09 12:00:00,-7.3395,1.3855
2012-07-09 12:30:00,-7.1241,1.3207
2012-07-09 13:00:00,-6.7566,1.3538
2012-07-09 13:30:00,-6.2912,1.4334
2012-07-09 14:00:00,-5.5521,1.2306
2012-07-09 14:30:00,-4.4654,1.293
2012-07-09 15:00:00,-2.7631,1.4323
2012-07-09 15:30:00,-1.0038,1.257
2012-07-09 16:00:00,1.0563,1.229
2012-07-09 16:30:00,3.181,1.7564
2012-07-09 17:00:00,4.6638,2.233
