Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.2269,0.1099
2012-07-07 06:30:00,0.3062,0.1483
2012-07-07 07:00:00,0.1639,0.0908
2012-07-07 07:30:00,0.0955,0.1276
2012-07-07 08:00:00,0.0277,0.1295
2012-07-07 08:30:00,-0.0906,0.0915
2012-07-07 09:00:00,-0.1613,0.0909
2012-07-07 09:30:00,-0.2407,0.0775
2012-07-07 10:00:00,-0.2843,0.0846
2012-07-07 10:30:00,-0.3326,0.0771
2012-07-07 11:00:00,-0.378,0.0602
2012-07-07 11:30:00,-0.4023,0.0524
2012-07-07 12:00:00,-0.2984,0.1382
2012-07-07 12:30:00,-0.2791,0.1529
2012-07-07 13:00:00,-0.2877,0.1347
2012-07-07 13:30:00,-0.1849,0.1928
2012-07-07 14:00:00,-0.1927,0.1613
2012-07-07 14:30:00,-0.1368,0.1712
2012-07-07 15:00:00,-0.123,0.1385
2012-07-07 15:30:00,-0.0598,0.1359
2012-07-07 16:00:00,0.0588,0.1753
2012-07-07 16:30:00,0.1118,0.1597
2012-07-07 17:00:00,0.2322,0.2101
2012-07-07 17:30:00,0.243,0.1991
2012-07-07 18:00:00,0.1845,0.1501
2012-07-07 18:30:00,0.2418,0.1964
2012-07-07 19:00:00,0.1796,0.1462
2012-07-07 19:30:00,0.2008,0.1633
2012-07-07 20:00:00,0.2045,0.1663
2012-07-07 20:30:00,0.1786,0.1454
2012-07-07 21:00:00,0.2156,0.1752
2012-07-07 21:30:00,0.2213,0.1798
2012-07-07 22:00:00,0.2204,0.1792
2012-07-07 22:30:00,0.1218,0.0995
2012-07-07 23:00:00,0.1641,0.1337
2012-07-07 23:30:00,0.1367,0.1116
2012-07-08 00:00:00,0.1388,0.1133
2012-07-08 00:30:00,0.1323,0.108
2012-07-08 01:00:00,0.1505,0.1227
2012-07-08 01:30:00,0.1351,0.1103
2012-07-08 02:00:00,0.1238,0.1012
2012-07-08 02:30:00,0.0978,0.0802
2012-07-08 03:00:00,0.0994,0.0815
2012-07-08 03:30:00,0.1116,0.0913
2012-07-08 04:00:00,0.1064,0.0871
2012-07-08 04:30:00,0.0836,0.0687
2012-07-08 05:00:00,0.0942,0.0772
2012-07-08 05:30:00,0.118,0.0965
2012-07-08 06:00:00,0.1333,0.1089
