Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.2269,0.1099
2012-07-07 06:30:00,0.3062,0.1483
2012-07-07 07:00:00,0.1639,0.0908
2012-07-07 07:30:00,0.1594,0.1264
2012-07-07 08:00:00,0.0563,0.1273
2012-07-07 08:30:00,-0.1223,0.0915
2012-07-07 09:00:00,-0.2152,0.0909
2012-07-07 09:30:00,-0.3598,0.0774
2012-07-07 10:00:00,-0.4186,0.0845
2012-07-07 10:30:00,-0.5184,0.0771
2012-07-07 11:00:00,-0.5817,0.0602
2012-07-07 11:30:00,-0.6243,0.0524
2012-07-07 12:00:00,-0.4648,0.1381
2012-07-07 12:30:00,-0.477,0.1552
2012-07-07 13:00:00,-0.4601,0.1347
2012-07-07 13:30:00,-0.2928,0.1928
2012-07-07 14:00:00,-0.3389,0.1636
2012-07-07 14:30:00,-0.2112,0.1712
2012-07-07 15:00:00,-0.2215,0.1407
2012-07-07 15:30:00,-0.0932,0.1359
2012-07-07 16:00:00,0.0619,0.1753
2012-07-07 16:30:00,0.1224,0.1597
2012-07-07 17:00:00,0.355,0.2101
2012-07-07 17:30:00,0.3276,0.1991
2012-07-07 18:00:00,0.2895,0.1502
2012-07-07 18:30:00,0.3906,0.1964
2012-07-07 19:00:00,0.2281,0.1462
2012-07-07 19:30:00,0.341,0.161
2012-07-07 20:00:00,0.2921,0.1663
2012-07-07 20:30:00,0.2791,0.1454
2012-07-07 21:00:00,0.3372,0.1753
2012-07-07 21:30:00,0.3214,0.1799
2012-07-07 22:00:00,0.3209,0.1792
2012-07-07 22:30:00,0.1742,0.0995
2012-07-07 23:00:00,0.2754,0.1314
2012-07-07 23:30:00,0.175,0.1116
2012-07-08 00:00:00,0.2201,0.1133
2012-07-08 00:30:00,0.1891,0.108
2012-07-08 01:00:00,0.2482,0.1228
2012-07-08 01:30:00,0.1969,0.1103
2012-07-08 02:00:00,0.2081,0.0989
2012-07-08 02:30:00,0.1551,0.0802
2012-07-08 03:00:00,0.1683,0.0793
2012-07-08 03:30:00,0.1782,0.0913
2012-07-08 04:00:00,0.1689,0.0871
2012-07-08 04:30:00,0.1355,0.0687
2012-07-08 05:00:00,0.1614,0.075
2012-07-08 05:30:00,0.1908,0.0965
2012-07-08 06:00:00,0.2144,0.1089
