Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.2269,0.1099
2012-07-07 06:30:00,0.3062,0.1483
2012-07-07 07:00:00,0.1639,0.0908
2012-07-07 07:30:00,0.1229,0.126
2012-07-07 08:00:00,0.0178,0.128
2012-07-07 08:30:00,-0.1249,0.0922
2012-07-07 09:00:00,-0.2743,0.0916
2012-07-07 09:30:00,-0.3818,0.0782
2012-07-07 10:00:00,-0.4771,0.0852
2012-07-07 10:30:00,-0.5532,0.0778
2012-07-07 11:00:00,-0.6188,0.0609
2012-07-07 11:30:00,-0.5998,0.0531
2012-07-07 12:00:00,-0.545,0.1389
2012-07-07 12:30:00,-0.4812,0.1536
2012-07-07 13:00:00,-0.4181,0.1354
2012-07-07 13:30:00,-0.3702,0.1935
2012-07-07 14:00:00,-0.2863,0.162
2012-07-07 14:30:00,-0.252,0.1719
2012-07-07 15:00:00,-0.1781,0.1392
2012-07-07 15:30:00,-0.0693,0.1367
2012-07-07 16:00:00,0.0612,0.1738
2012-07-07 16:30:00,0.2238,0.1581
2012-07-07 17:00:00,0.326,0.2085
2012-07-07 17:30:00,0.3664,0.1976
2012-07-07 18:00:00,0.3718,0.1486
2012-07-07 18:30:00,0.3364,0.1949
2012-07-07 19:00:00,0.3456,0.1447
2012-07-07 19:30:00,0.3248,0.1617
2012-07-07 20:00:00,0.3242,0.1648
2012-07-07 20:30:00,0.3326,0.1439
2012-07-07 21:00:00,0.3418,0.1737
2012-07-07 21:30:00,0.365,0.1783
2012-07-07 22:00:00,0.3129,0.1776
2012-07-07 22:30:00,0.2812,0.098
2012-07-07 23:00:00,0.2347,0.1321
2012-07-07 23:30:00,0.2442,0.1101
2012-07-08 00:00:00,0.2264,0.1117
2012-07-08 00:30:00,0.2342,0.1065
2012-07-08 01:00:00,0.2321,0.1212
2012-07-08 01:30:00,0.2275,0.1088
2012-07-08 02:00:00,0.1981,0.0996
2012-07-08 02:30:00,0.1783,0.0786
2012-07-08 03:00:00,0.1715,0.08
2012-07-08 03:30:00,0.1763,0.0897
2012-07-08 04:00:00,0.1674,0.0856
2012-07-08 04:30:00,0.1578,0.0672
2012-07-08 05:00:00,0.1643,0.0757
2012-07-08 05:30:00,0.1918,0.0949
2012-07-08 06:00:00,0.2168,0.1073
