Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.0,0.0
2012-07-07 06:30:00,0.0011,0.0
2012-07-07 07:00:00,0.3545,0.0
2012-07-07 07:30:00,1.5247,0.0
2012-07-07 08:00:00,3.2815,0.0
2012-07-07 08:30:00,5.1363,0.0
2012-07-07 09:00:00,6.8864,0.0
2012-07-07 09:30:00,8.4548,0.0
2012-07-07 10:00:00,9.7624,0.0
2012-07-07 10:30:00,10.7386,0.0
2012-07-07 11:00:00,11.3529,0.0
2012-07-07 11:30:00,11.7181,0.0
2012-07-07 12:00:00,11.7762,0.0
2012-07-07 12:30:00,11.7485,0.0
2012-07-07 13:00:00,11.4017,0.0
2012-07-07 13:30:00,10.6309,0.0
2012-07-07 14:00:00,9.8528,0.0
2012-07-07 14:30:00,8.7573,0.0
2012-07-07 15:00:00,7.4013,0.0
2012-07-07 15:30:00,5.7451,0.0
2012-07-07 16:00:00,3.922,0.0
2012-07-07 16:30:00,2.1113,0.0
2012-07-07 17:00:00,0.6623,0.0
2012-07-07 17:30:00,0.0535,0.0
2012-07-07 18:00:00,0.0,0.0
2012-07-07 18:30:00,0.0,0.0
2012-07-07 19:00:00,0.0,0.0
2012-07-07 19:30:00,0.0,0.0
2012-07-07 20:00:00,0.0,0.0
2012-07-07 20:30:00,0.0,0.0
2012-07-07 21:00:00,0.0,0.0
2012-07-07 21:30:00,0.0,0.0
2012-07-07 22:00:00,0.0,0.0
2012-07-07 22:30:00,0.0,0.0
2012-07-07 23:00:00,0.0,0.0
2012-07-07 23:30:00,0.0,0.0
2012-07-08 00:00:00,0.0,0.0
2012-07-08 00:30:00,0.0,0.0
2012-07-08 01:00:00,0.0,0.0
2012-07-08 01:30:00,0.0,0.0
2012-07-08 02:00:00,0.0,0.0
2012-07-08 02:30:00,0.0,0.0
2012-07-08 03:00:00,0.0,0.0
2012-07-08 03:30:00,0.0,0.0
2012-07-08 04:00:00,0.0,0.0
2012-07-08 04:30:00,0.0,0.0
2012-07-08 05:00:00,0.0,0.0
2012-07-08 05:30:00,0.0,0.0
2012-07-08 06:00:00,0.0,0.0
2012-07-08 06:30:00,0.0012,0.0
2012-07-08 07:00:00,0.3813,0.0
2012-07-08 07:30:00,1.5997,0.0
2012-07-08 08:00:00,3.2735,0.0
2012-07-08 08:30:00,5.0451,0.0
2012-07-08 09:00:00,6.7442,0.0
2012-07-08 09:30:00,8.2291,0.0
2012-07-08 10:00:00,9.454,0.0
2012-07-08 10:30:00,10.3345,0.0
2012-07-08 11:00:00,10.7821,0.0
2012-07-08 11:30:00,11.0679,0.0
2012-07-08 12:00:00,11.2394,0.0
2012-07-08 12:30:00,11.1464,0.0
