Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.0,0.0
2012-07-07 06:30:00,0.0002,0.0
2012-07-07 07:00:00,0.0709,0.0
2012-07-07 07:30:00,0.3049,0.0
2012-07-07 08:00:00,0.6563,0.0
2012-07-07 08:30:00,1.0273,0.0
2012-07-07 09:00:00,1.3773,0.0
2012-07-07 09:30:00,1.691,0.0
2012-07-07 10:00:00,1.9525,0.0
2012-07-07 10:30:00,2.1477,0.0
2012-07-07 11:00:00,2.2706,0.0
2012-07-07 11:30:00,2.3436,0.0
2012-07-07 12:00:00,2.3552,0.0
2012-07-07 12:30:00,2.3497,0.0
2012-07-07 13:00:00,2.2803,0.0
2012-07-07 13:30:00,2.1262,0.0
2012-07-07 14:00:00,1.9706,0.0
2012-07-07 14:30:00,1.7515,0.0
2012-07-07 15:00:00,1.4803,0.0
2012-07-07 15:30:00,1.149,0.0
2012-07-07 16:00:00,0.7844,0.0
2012-07-07 16:30:00,0.4223,0.0
2012-07-07 17:00:00,0.1325,0.0
2012-07-07 17:30:00,0.0107,0.0
2012-07-07 18:00:00,0.0,0.0
2012-07-07 18:30:00,0.0,0.0
2012-07-07 19:00:00,0.0,0.0
2012-07-07 19:30:00,0.0,0.0
2012-07-07 20:00:00,0.0,0.0
2012-07-07 20:30:00,0.0,0.0
2012-07-07 21:00:00,0.0,0.0
2012-07-07 21:30:00,0.0,0.0
2012-07-07 22:00:00,0.0,0.0
2012-07-07 22:30:00,0.0,0.0
2012-07-07 23:00:00,0.0,0.0
2012-07-07 23:30:00,0.0,0.0
2012-07-08 00:00:00,0.0,0.0
2012-07-08 00:30:00,0.0,0.0
2012-07-08 01:00:00,0.0,0.0
2012-07-08 01:30:00,0.0,0.0
2012-07-08 02:00:00,0.0,0.0
2012-07-08 02:30:00,0.0,0.0
2012-07-08 03:00:00,0.0,0.0
2012-07-08 03:30:00,0.0,0.0
2012-07-08 04:00:00,0.0,0.0
2012-07-08 04:30:00,0.0,0.0
2012-07-08 05:00:00,0.0,0.0
2012-07-08 05:30:00,0.0,0.0
2012-07-08 06:00:00,0.0,0.0
2012-07-08 06:30:00,0.0002,0.0
