Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.0,0.0
2012-07-07 06:30:00,0.0001,-0.0
2012-07-07 07:00:00,0.0236,-0.0
2012-07-07 07:30:00,0.1016,0.0
2012-07-07 08:00:00,0.2188,0.0
2012-07-07 08:30:00,0.3424,0.0
2012-07-07 09:00:00,0.4591,0.0
2012-07-07 09:30:00,0.5637,0.0
2012-07-07 10:00:00,0.6508,0.0
2012-07-07 10:30:00,0.7159,0.0
2012-07-07 11:00:00,0.7569,0.0
2012-07-07 11:30:00,0.7812,0.0
2012-07-07 12:00:00,0.7851,0.0
2012-07-07 12:30:00,0.7832,0.0
2012-07-07 13:00:00,0.7601,0.0
2012-07-07 13:30:00,0.7087,0.0
2012-07-07 14:00:00,0.6569,0.0
2012-07-07 14:30:00,0.5838,0.0
2012-07-07 15:00:00,0.4934,0.0
2012-07-07 15:30:00,0.383,0.0
2012-07-07 16:00:00,0.2615,0.0
2012-07-07 16:30:00,0.1408,0.0
2012-07-07 17:00:00,0.0442,0.0
2012-07-07 17:30:00,0.0036,0.0
2012-07-07 18:00:00,0.0,0.0
2012-07-07 18:30:00,0.0,0.0
2012-07-07 19:00:00,0.0,0.0
2012-07-07 19:30:00,0.0,0.0
2012-07-07 20:00:00,0.0,0.0
2012-07-07 20:30:00,0.0,0.0
2012-07-07 21:00:00,0.0,0.0
2012-07-07 21:30:00,0.0,0.0
2012-07-07 22:00:00,0.0,0.0
2012-07-07 22:30:00,0.0,0.0
2012-07-07 23:00:00,0.0,0.0
2012-07-07 23:30:00,0.0,0.0
2012-07-08 00:00:00,0.0,0.0
2012-07-08 00:30:00,0.0,0.0
2012-07-08 01:00:00,0.0,0.0
2012-07-08 01:30:00,0.0,0.0
2012-07-08 02:00:00,0.0,0.0
2012-07-08 02:30:00,0.0,0.0
2012-07-08 03:00:00,0.0,0.0
2012-07-08 03:30:00,0.0,0.0
2012-07-08 04:00:00,0.0,0.0
2012-07-08 04:30:00,0.0,0.0
2012-07-08 05:00:00,0.0,0.0
2012-07-08 05:30:00,0.0,0.0
2012-07-08 06:00:00,0.0,0.0
