Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,2.6139,0.9504
2012-07-07 06:30:00,2.1401,0.8475
2012-07-07 07:00:00,2.6736,1.0289
2012-07-07 07:30:00,3.3152,1.3501
2012-07-07 08:00:00,3.3139,1.341
2012-07-07 08:30:00,4.1473,1.6462
2012-07-07 09:00:00,3.688,1.5022
2012-07-07 09:30:00,5.3522,2.05
2012-07-07 10:00:00,3.759,1.4912
2012-07-07 10:30:00,5.1089,2.1082
2012-07-07 11:00:00,3.9852,1.6325
2012-07-07 11:30:00,3.5333,1.4432
2012-07-07 12:00:00,4.4596,1.797
2012-07-07 12:30:00,3.6939,1.4899
2012-07-07 13:00:00,3.9484,1.6022
2012-07-07 13:30:00,3.6595,1.4752
2012-07-07 14:00:00,3.4873,1.3828
2012-07-07 14:30:00,3.9703,1.545
2012-07-07 15:00:00,3.2972,1.2935
2012-07-07 15:30:00,3.4591,1.3987
2012-07-07 16:00:00,4.335,1.7096
2012-07-07 16:30:00,3.9673,1.6175
2012-07-07 17:00:00,3.8479,1.5581
2012-07-07 17:30:00,4.1263,1.6631
2012-07-07 18:00:00,5.7565,2.0801
2012-07-07 18:30:00,6.4025,2.3297
2012-07-07 19:00:00,5.8666,2.0625
2012-07-07 19:30:00,5.7142,1.9816
2012-07-07 20:00:00,5.6907,2.0179
2012-07-07 20:30:00,5.5702,1.9796
2012-07-07 21:00:00,5.3309,1.8599
2012-07-07 21:30:00,6.0666,2.1964
2012-07-07 22:00:00,5.9076,2.0843
2012-07-07 22:30:00,5.019,1.7627
2012-07-07 23:00:00,4.8865,1.6677
2012-07-07 23:30:00,4.663,1.556
2012-07-08 00:00:00,4.2731,1.4785
2012-07-08 00:30:00,3.6343,1.1981
2012-07-08 01:00:00,3.5216,1.1283
2012-07-08 01:30:00,3.081,0.9701
2012-07-08 02:00:00,3.0731,0.9913
2012-07-08 02:30:00,2.9528,0.9363
2012-07-08 03:00:00,3.0261,0.9632
2012-07-08 03:30:00,2.8531,0.8978
2012-07-08 04:00:00,2.7691,0.8638
