Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.6034,0.1918
2012-07-07 06:30:00,0.5016,0.1808
2012-07-07 07:00:00,0.5195,0.1904
2012-07-07 07:30:00,0.5347,0.2006
2012-07-07 08:00:00,0.4729,0.1748
2012-07-07 08:30:00,0.4132,0.1518
2012-07-07 09:00:00,0.4181,0.1561
2012-07-07 09:30:00,0.4268,0.1552
2012-07-07 10:00:00,0.5187,0.1825
2012-07-07 10:30:00,0.8176,0.2806
2012-07-07 11:00:00,0.3485,0.1263
2012-07-07 11:30:00,0.3507,0.1238
2012-07-07 12:00:00,0.6807,0.2423
2012-07-07 12:30:00,0.5972,0.2098
2012-07-07 13:00:00,0.5513,0.2044
2012-07-07 13:30:00,0.6406,0.2366
2012-07-07 14:00:00,0.5997,0.223
2012-07-07 14:30:00,0.7115,0.2617
2012-07-07 15:00:00,0.5662,0.2066
2012-07-07 15:30:00,0.5351,0.1987
2012-07-07 16:00:00,0.6832,0.2502
2012-07-07 16:30:00,0.6672,0.2446
2012-07-07 17:00:00,0.8226,0.299
2012-07-07 17:30:00,0.7455,0.2657
2012-07-07 18:00:00,1.3114,0.3746
2012-07-07 18:30:00,1.5987,0.4746
2012-07-07 19:00:00,1.2317,0.3468
2012-07-07 19:30:00,1.1908,0.3395
2012-07-07 20:00:00,1.2327,0.3558
2012-07-07 20:30:00,1.1187,0.3233
2012-07-07 21:00:00,1.1497,0.3327
2012-07-07 21:30:00,1.1477,0.3331
2012-07-07 22:00:00,1.1523,0.3281
2012-07-07 22:30:00,0.9497,0.2539
2012-07-07 23:00:00,0.917,0.2525
2012-07-07 23:30:00,0.8341,0.223
2012-07-08 00:00:00,0.838,0.2247
2012-07-08 00:30:00,0.8126,0.216
2012-07-08 01:00:00,0.8579,0.2349
2012-07-08 01:30:00,0.8127,0.2171
2012-07-08 02:00:00,0.7887,0.2099
2012-07-08 02:30:00,0.7294,0.1869
2012-07-08 03:00:00,0.7624,0.1977
2012-07-08 03:30:00,0.7693,0.2012
2012-07-08 04:00:00,0.7446,0.1926
2012-07-08 04:30:00,0.7173,0.1812
2012-07-08 05:00:00,0.7443,0.1906
2012-07-08 05:30:00,0.6917,0.1951
2012-07-08 06:00:00,0.4953,0.1598
2012-07-08 06:30:00,0.4068,0.1581
