Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,2.6139,0.9504
2012-07-07 06:30:00,2.1401,0.8475
2012-07-07 07:00:00,2.6736,1.0289
2012-07-07 07:30:00,3.3141,1.3493
2012-07-07 08:00:00,3.3145,1.3415
2012-07-07 08:30:00,4.1463,1.6454
2012-07-07 09:00:00,3.6899,1.5037
2012-07-07 09:30:00,5.349,2.0476
2012-07-07 10:00:00,3.7618,1.4931
2012-07-07 10:30:00,5.1059,2.1057
2012-07-07 11:00:00,3.9861,1.6331
2012-07-07 11:30:00,3.5348,1.4443
2012-07-07 12:00:00,4.4582,1.7958
2012-07-07 12:30:00,3.6951,1.4907
2012-07-07 13:00:00,3.9483,1.6021
2012-07-07 13:30:00,3.6597,1.4752
2012-07-07 14:00:00,3.4882,1.3831
2012-07-07 14:30:00,3.9694,1.5447
2012-07-07 15:00:00,3.2979,1.2939
2012-07-07 15:30:00,3.4598,1.3992
2012-07-07 16:00:00,4.3335,1.7085
2012-07-07 16:30:00,3.9672,1.6175
2012-07-07 17:00:00,3.8475,1.5578
2012-07-07 17:30:00,4.127,1.6637
2012-07-07 18:00:00,5.7552,2.0791
2012-07-07 18:30:00,6.4006,2.3282
2012-07-07 19:00:00,5.867,2.0628
2012-07-07 19:30:00,5.7144,1.9817
2012-07-07 20:00:00,5.6906,2.0179
2012-07-07 20:30:00,5.5701,1.9795
2012-07-07 21:00:00,5.332,1.8607
2012-07-07 21:30:00,6.0654,2.1954
2012-07-07 22:00:00,5.9067,2.0836
2012-07-07 22:30:00,5.0198,1.7633
2012-07-07 23:00:00,4.8864,1.6676
2012-07-07 23:30:00,4.6628,1.5559
2012-07-08 00:00:00,4.2728,1.4784
2012-07-08 00:30:00,3.6347,1.1984
2012-07-08 01:00:00,3.5213,1.1281
2012-07-08 01:30:00,3.0812,0.9703
2012-07-08 02:00:00,3.073,0.9913
2012-07-08 02:30:00,2.953,0.9364
2012-07-08 03:00:00,3.026,0.9631
2012-07-08 03:30:00,2.8531,0.8978
2012-07-08 04:00:00,2.7691,0.8638
2012-07-08 04:30:00,2.6777,0.8247
2012-07-08 05:00:00,2.7876,0.8705
2012-07-08 05:30:00,2.6953,0.8871
2012-07-08 06:00:00,2.515,0.9024
2012-07-08 06:30:00,3.3549,1.3971
