Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,2.502,0.8837
2012-07-07 06:30:00,2.0695,0.7934
2012-07-07 07:00:00,2.5859,0.9636
2012-07-07 07:30:00,3.206,1.2641
2012-07-07 08:00:00,3.2042,1.2551
2012-07-07 08:30:00,4.0071,1.5385
2012-07-07 09:00:00,3.5627,1.4035
2012-07-07 09:30:00,5.1699,1.9148
2012-07-07 10:00:00,3.6286,1.391
2012-07-07 10:30:00,4.9289,1.9648
2012-07-07 11:00:00,3.8431,1.52
2012-07-07 11:30:00,3.4065,1.3432
2012-07-07 12:00:00,4.299,1.6722
2012-07-07 12:30:00,3.5613,1.3865
2012-07-07 13:00:00,3.8066,1.4911
2012-07-07 13:30:00,3.5292,1.3738
2012-07-07 14:00:00,3.364,1.288
2012-07-07 14:30:00,3.8298,1.4398
2012-07-07 15:00:00,3.1823,1.2061
2012-07-07 15:30:00,3.3412,1.3065
2012-07-07 16:00:00,4.1921,1.6005
2012-07-07 16:30:00,3.837,1.5147
2012-07-07 17:00:00,3.7243,1.4612
2012-07-07 17:30:00,3.9884,1.559
2012-07-07 18:00:00,5.4991,1.936
2012-07-07 18:30:00,6.1303,2.1743
2012-07-07 19:00:00,5.605,1.9187
2012-07-07 19:30:00,5.4592,1.8441
2012-07-07 20:00:00,5.4351,1.8775
2012-07-07 20:30:00,5.3153,1.8392
2012-07-07 21:00:00,5.0843,1.7273
2012-07-07 21:30:00,5.7989,2.0448
2012-07-07 22:00:00,5.6428,1.9381
2012-07-07 22:30:00,4.7811,1.6353
2012-07-07 23:00:00,4.6528,1.546
2012-07-07 23:30:00,4.435,1.4403
2012-07-08 00:00:00,4.0574,1.3674
2012-07-08 00:30:00,3.4382,1.1038
2012-07-08 01:00:00,3.3285,1.0379
2012-07-08 01:30:00,2.9017,0.8894
2012-07-08 02:00:00,2.8939,0.9092
2012-07-08 02:30:00,2.7775,0.8575
2012-07-08 03:00:00,2.8483,0.8826
2012-07-08 03:30:00,2.6808,0.8213
2012-07-08 04:00:00,2.5993,0.7893
2012-07-08 04:30:00,2.5108,0.7527
2012-07-08 05:00:00,2.6173,0.7957
2012-07-08 05:30:00,2.5481,0.8164
2012-07-08 06:00:00,2.4063,0.8387
2012-07-08 06:30:00,3.2471,1.3102
