Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,2.6139,0.9504
2012-07-07 06:30:00,2.1401,0.8475
2012-07-07 07:00:00,2.6736,1.0289
2012-07-07 07:30:00,3.3147,1.3497
2012-07-07 08:00:00,3.3146,1.3416
2012-07-07 08:30:00,4.1461,1.6453
2012-07-07 09:00:00,3.6891,1.503
2012-07-07 09:30:00,5.3478,2.0467
2012-07-07 10:00:00,3.7601,1.4918
2012-07-07 10:30:00,5.1037,2.104
2012-07-07 11:00:00,3.9839,1.6314
2012-07-07 11:30:00,3.5335,1.4433
2012-07-07 12:00:00,4.4582,1.7958
2012-07-07 12:30:00,3.6951,1.4907
2012-07-07 13:00:00,3.9483,1.6021
2012-07-07 13:30:00,3.6597,1.4752
2012-07-07 14:00:00,3.4882,1.3831
2012-07-07 14:30:00,3.9694,1.5447
2012-07-07 15:00:00,3.2979,1.2939
2012-07-07 15:30:00,3.4598,1.3992
2012-07-07 16:00:00,4.3338,1.7087
2012-07-07 16:30:00,3.9679,1.6181
2012-07-07 17:00:00,3.8486,1.5587
2012-07-07 17:30:00,4.1285,1.6649
2012-07-07 18:00:00,5.758,2.0812
2012-07-07 18:30:00,6.4041,2.3308
2012-07-07 19:00:00,5.87,2.0649
2012-07-07 19:30:00,5.7171,1.9837
2012-07-07 20:00:00,5.6933,2.0199
2012-07-07 20:30:00,5.5701,1.9795
2012-07-07 21:00:00,5.332,1.8607
2012-07-07 21:30:00,6.0654,2.1954
2012-07-07 22:00:00,5.9067,2.0836
2012-07-07 22:30:00,5.0198,1.7633
2012-07-07 23:00:00,4.8864,1.6676
2012-07-07 23:30:00,4.6628,1.5559
2012-07-08 00:00:00,4.2728,1.4784
2012-07-08 00:30:00,3.6347,1.1984
2012-07-08 01:00:00,3.5213,1.1281
2012-07-08 01:30:00,3.0812,0.9703
2012-07-08 02:00:00,3.073,0.9913
2012-07-08 02:30:00,2.953,0.9364
2012-07-08 03:00:00,3.026,0.9631
2012-07-08 03:30:00,2.8531,0.8978
2012-07-08 04:00:00,2.7691,0.8638
