Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,2.6139,0.9504
2012-07-07 06:30:00,2.1401,0.8475
2012-07-07 07:00:00,2.6736,1.0289
2012-07-07 07:30:00,3.3142,1.3493
2012-07-07 08:00:00,3.3144,1.3414
2012-07-07 08:30:00,4.1464,1.6455
2012-07-07 09:00:00,3.6897,1.5035
2012-07-07 09:30:00,5.3494,2.0479
2012-07-07 10:00:00,3.7615,1.4929
2012-07-07 10:30:00,5.1061,2.1059
2012-07-07 11:00:00,3.986,1.6331
2012-07-07 11:30:00,3.5346,1.4442
2012-07-07 12:00:00,4.4584,1.7959
2012-07-07 12:30:00,3.6949,1.4906
2012-07-07 13:00:00,3.9483,1.602
2012-07-07 13:30:00,3.6597,1.4753
2012-07-07 14:00:00,3.4881,1.3831
2012-07-07 14:30:00,3.9695,1.5448
2012-07-07 15:00:00,3.2978,1.2938
2012-07-07 15:30:00,3.4597,1.3992
2012-07-07 16:00:00,4.3337,1.7086
2012-07-07 16:30:00,3.9672,1.6175
2012-07-07 17:00:00,3.8475,1.5578
2012-07-07 17:30:00,4.127,1.6636
2012-07-07 18:00:00,5.7554,2.0793
2012-07-07 18:30:00,6.4008,2.3284
2012-07-07 19:00:00,5.867,2.0627
2012-07-07 19:30:00,5.7143,1.9816
2012-07-07 20:00:00,5.6906,2.0179
2012-07-07 20:30:00,5.5701,1.9796
2012-07-07 21:00:00,5.3318,1.8606
2012-07-07 21:30:00,6.0655,2.1956
2012-07-07 22:00:00,5.9068,2.0837
2012-07-07 22:30:00,5.0197,1.7632
2012-07-07 23:00:00,4.8864,1.6677
2012-07-07 23:30:00,4.6628,1.556
2012-07-08 00:00:00,4.2729,1.4784
2012-07-08 00:30:00,3.6346,1.1983
2012-07-08 01:00:00,3.5214,1.1282
2012-07-08 01:30:00,3.0812,0.9702
2012-07-08 02:00:00,3.073,0.9913
2012-07-08 02:30:00,2.953,0.9364
2012-07-08 03:00:00,3.026,0.9631
2012-07-08 03:30:00,2.8531,0.8978
2012-07-08 04:00:00,2.7691,0.8638
