Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.4522,0.0028
2012-07-07 06:30:00,0.4511,0.0019
2012-07-07 07:00:00,0.4518,0.0023
2012-07-07 07:30:00,0.4524,0.0023
2012-07-07 08:00:00,0.4514,0.0009
2012-07-07 08:30:00,0.4537,0.0019
2012-07-07 09:00:00,0.4568,0.0044
2012-07-07 09:30:00,0.4633,0.0073
2012-07-07 10:00:00,0.4672,0.0128
2012-07-07 10:30:00,0.4657,0.0119
2012-07-07 11:00:00,0.4741,0.0188
2012-07-07 11:30:00,0.4773,0.022
2012-07-07 12:00:00,0.4759,0.0194
2012-07-07 12:30:00,0.4779,0.022
2012-07-07 13:00:00,0.4748,0.0192
2012-07-07 13:30:00,0.4716,0.0166
2012-07-07 14:00:00,0.4681,0.0139
2012-07-07 14:30:00,0.4615,0.0083
2012-07-07 15:00:00,0.4584,0.006
2012-07-07 15:30:00,0.4535,0.0022
2012-07-07 16:00:00,0.4537,0.0021
2012-07-07 16:30:00,0.4522,0.0023
2012-07-07 17:00:00,0.4555,0.0052
2012-07-07 17:30:00,0.4566,0.0071
2012-07-07 18:00:00,0.4661,0.0145
2012-07-07 18:30:00,0.4734,0.0191
2012-07-07 19:00:00,0.4638,0.0138
2012-07-07 19:30:00,0.4657,0.0141
2012-07-07 20:00:00,0.4646,0.0136
2012-07-07 20:30:00,0.4612,0.0119
2012-07-07 21:00:00,0.4604,0.011
2012-07-07 21:30:00,0.4661,0.0152
2012-07-07 22:00:00,0.4634,0.0136
2012-07-07 22:30:00,0.4589,0.0097
2012-07-07 23:00:00,0.4595,0.0096
2012-07-07 23:30:00,0.4578,0.0085
2012-07-08 00:00:00,0.4571,0.0074
2012-07-08 00:30:00,0.4545,0.0052
2012-07-08 01:00:00,0.4543,0.005
2012-07-08 01:30:00,0.4528,0.0037
2012-07-08 02:00:00,0.4529,0.0037
2012-07-08 02:30:00,0.4525,0.0033
2012-07-08 03:00:00,0.4527,0.0036
2012-07-08 03:30:00,0.4523,0.0031
2012-07-08 04:00:00,0.4519,0.0029
2012-07-08 04:30:00,0.4517,0.0027
2012-07-08 05:00:00,0.4521,0.003
2012-07-08 05:30:00,0.4524,0.003
2012-07-08 06:00:00,0.452,0.0026
2012-07-08 06:30:00,0.455,0.0049
