Timestep,Name,P(kW),Q(kvar)
2012-07-07 06:00:00,Load,0.2269,0.1099
2012-07-07 06:00:00,Generation,0.0,0.0
2012-07-07 06:00:00,Demand,0.3269,0.1099
2012-07-07 06:00:00,Total Losses,0.0,0.0
2012-07-07 06:30:00,Load,0.3063,0.1483
2012-07-07 06:30:00,Generation,0.0001,-0.0
2012-07-07 06:30:00,Demand,0.4063,0.1484
2012-07-07 06:30:00,Total Losses,0.0001,0.0
2012-07-07 07:00:00,Load,0.1875,0.0908
2012-07-07 07:00:00,Generation,0.0236,-0.0
2012-07-07 07:00:00,Demand,0.2639,0.0908
2012-07-07 07:00:00,Total Losses,0.0,0.0
2012-07-07 07:30:00,Load,0.2611,0.1264
2012-07-07 07:30:00,Generation,0.1016,-0.0
2012-07-07 07:30:00,Demand,0.2594,0.1264
2012-07-07 07:30:00,Total Losses,0.0,0.0
2012-07-07 08:00:00,Load,0.265,0.1284
2012-07-07 08:00:00,Generation,0.2188,0.0
2012-07-07 08:00:00,Demand,-0.0576,0.1295
2012-07-07 08:00:00,Total Losses,0.0,0.0
2012-07-07 08:30:00,Load,0.1912,0.0926
2012-07-07 08:30:00,Generation,0.3424,0.0
2012-07-07 08:30:00,Demand,-0.128,0.0915
2012-07-07 08:30:00,Total Losses,0.0,0.0
2012-07-07 09:00:00,Load,0.1899,0.092
2012-07-07 09:00:00,Generation,0.4591,0.0
2012-07-07 09:00:00,Demand,-0.2178,0.0909
2012-07-07 09:00:00,Total Losses,0.0,-0.0
2012-07-07 09:30:00,Load,0.1621,0.0785
2012-07-07 09:30:00,Generation,0.5637,0.0
2012-07-07 09:30:00,Demand,-0.3143,0.0774
2012-07-07 09:30:00,Total Losses,0.0,0.0
2012-07-07 10:00:00,Load,0.1767,0.0856
2012-07-07 10:00:00,Generation,0.6508,0.0
2012-07-07 10:00:00,Demand,-0.3482,0.0845
2012-07-07 10:00:00,Total Losses,0.0,0.0
2012-07-07 10:30:00,Load,0.1612,0.0781
2012-07-07 10:30:00,Generation,0.7159,0.0
2012-07-07 10:30:00,Demand,-0.4152,0.077
2012-07-07 10:30:00,Total Losses,0.0,0.0
2012-07-07 11:00:00,Load,0.1264,0.0612
