Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,3.066,0.9533
2012-07-07 06:30:00,2.5902,0.8494
2012-07-07 07:00:00,2.7709,1.0313
2012-07-07 07:30:00,1.8321,1.3516
2012-07-07 08:00:00,0.7295,1.3424
2012-07-07 08:30:00,-0.93,1.6476
2012-07-07 09:00:00,-1.9751,1.5061
2012-07-07 09:30:00,-3.6351,2.0572
2012-07-07 10:00:00,-4.4523,1.5014
2012-07-07 10:30:00,-5.8612,2.1196
2012-07-07 11:00:00,-6.5903,1.6498
2012-07-07 11:30:00,-7.15,1.4628
2012-07-07 12:00:00,-7.3711,1.8162
2012-07-07 12:30:00,-7.1345,1.5097
2012-07-07 13:00:00,-7.0173,1.6197
2012-07-07 13:30:00,-6.4586,1.4911
2012-07-07 14:00:00,-5.5758,1.3951
2012-07-07 14:30:00,-4.6214,1.5531
2012-07-07 15:00:00,-3.2691,1.2984
2012-07-07 15:30:00,-1.538,1.4007
2012-07-07 16:00:00,0.4474,1.7109
2012-07-07 16:30:00,2.271,1.6201
2012-07-07 17:00:00,3.4927,1.5633
2012-07-07 17:30:00,4.7972,1.672
2012-07-07 18:00:00,5.8745,2.0936
2012-07-07 18:30:00,6.4745,2.3471
2012-07-07 19:00:00,6.4612,2.0781
2012-07-07 19:30:00,6.2213,1.9971
2012-07-07 20:00:00,6.122,2.0322
2012-07-07 20:30:00,5.9927,1.9921
2012-07-07 21:00:00,6.1183,1.8735
2012-07-07 21:30:00,6.2307,2.2107
2012-07-07 22:00:00,6.1262,2.0974
2012-07-07 22:30:00,5.7314,1.7745
2012-07-07 23:00:00,5.3149,1.6779
2012-07-07 23:30:00,5.0652,1.565
2012-07-08 00:00:00,4.6463,1.4862
2012-07-08 00:30:00,4.2647,1.2046
2012-07-08 01:00:00,3.866,1.1334
2012-07-08 01:30:00,3.6784,0.9747
2012-07-08 02:00:00,3.4883,0.9955
2012-07-08 02:30:00,3.4698,0.9404
2012-07-08 03:00:00,3.3963,0.967
2012-07-08 03:30:00,3.3348,0.9015
2012-07-08 04:00:00,3.2186,0.8671
2012-07-08 04:30:00,3.1965,0.828
2012-07-08 05:00:00,3.1721,0.8739
2012-07-08 05:30:00,3.118,0.8905
2012-07-08 06:00:00,3.3078,0.906
2012-07-08 06:30:00,3.4778,1.4021
2012-07-08 07:00:00,3.3231,1.4756
2012-07-08 07:30:00,2.2606,1.483
2012-07-08 08:00:00,0.6699,1.395
2012-07-08 08:30:00,-1.1118,1.382
2012-07-08 09:00:00,-2.5926,1.4104
2012-07-08 09:30:00,-3.9993,1.5999
2012-07-08 10:00:00,-5.1338,1.5028
2012-07-08 10:30:00,-5.8367,1.484
2012-07-08 11:00:00,-6.3798,1.8061
2012-07-08 11:30:00,-6.0597,1.4712
2012-07-08 12:00:00,-6.2427,2.2528
2012-07-08 12:30:00,-5.7605,1.7269
2012-07-08 13:00:00,-5.5557,2.0042
2012-07-08 13:30:00,-4.5548,2.141
2012-07-08 14:00:00,-3.7043,2.29
2012-07-08 14:30:00,-2.7699,2.0349
2012-07-08 15:00:00,-1.3058,1.9358
2012-07-08 15:30:00,0.3958,2.4332
2012-07-08 16:00:00,2.2644,2.1632
2012-07-08 16:30:00,3.5812,2.0935
2012-07-08 17:00:00,4.7667,1.9908
2012-07-08 17:30:00,5.8609,2.1011
2012-07-08 18:00:00,6.3231,2.4484
2012-07-08 18:30:00,6.574,2.0807
2012-07-08 19:00:00,6.533,2.1634
2012-07-08 19:30:00,6.5713,2.3681
2012-07-08 20:00:00,6.4123,2.1032
2012-07-08 20:30:00,6.0424,1.9706
2012-07-08 21:00:00,5.888,1.9172
2012-07-08 21:30:00,5.8774,1.943
2012-07-08 22:00:00,5.6647,1.9623
2012-07-08 22:30:00,5.2995,1.6629
2012-07-08 23:00:00,4.8913,1.4954
2012-07-08 23:30:00,4.5419,1.426
2012-07-09 00:00:00,4.1603,1.22
2012-07-09 00:30:00,3.7805,1.0378
2012-07-09 01:00:00,3.5213,1.0016
2012-07-09 01:30:00,3.3739,0.9207
2012-07-09 02:00:00,3.2182,0.8625
2012-07-09 02:30:00,3.1573,0.8122
2012-07-09 03:00:00,3.0868,0.8385
2012-07-09 03:30:00,3.1162,0.7749
2012-07-09 04:00:00,3.0993,0.8558
2012-07-09 04:30:00,3.1863,0.8203
2012-07-09 05:00:00,3.2785,0.874
2012-07-09 05:30:00,3.3734,1.0312
2012-07-09 06:00:00,3.5917,1.0994
2012-07-09 06:30:00,3.8189,1.3909
2012-07-09 07:00:00,3.6175,1.6211
2012-07-09 07:30:00,2.5787,1.5459
2012-07-09 08:00:00,0.7238,1.4254
2012-07-09 08:30:00,-1.0885,1.2585
2012-07-09 09:00:00,-2.6691,1.4431
2012-07-09 09:30:00,-4.1308,1.4698
2012-07-09 10:00:00,-5.508,1.1782
2012-07-09 10:30:00,-6.4706,1.1241
2012-07-09 11:00:00,-7.0349,1.343
2012-07-09 11:30:00,-7.2026,1.2365
2012-07-09 12:00:00,-7.3395,1.3831
2012-07-09 12:30:00,-7.1243,1.3253
2012-07-09 13:00:00,-6.7568,1.3581
2012-07-09 13:30:00,-6.2915,1.4313
2012-07-09 14:00:00,-5.5514,1.2344
2012-07-09 14:30:00,-4.4653,1.2962
2012-07-09 15:00:00,-2.7629,1.4322
2012-07-09 15:30:00,-1.0044,1.2564
2012-07-09 16:00:00,1.0562,1.2292
2012-07-09 16:30:00,3.1807,1.7569
2012-07-09 17:00:00,4.664,2.2333
