Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,2.6139,0.9504
2012-07-07 06:30:00,2.1401,0.8475
2012-07-07 07:00:00,2.6736,1.0289
2012-07-07 07:30:00,3.3191,1.3532
2012-07-07 08:00:00,3.3156,1.3422
2012-07-07 08:30:00,4.1451,1.6445
2012-07-07 09:00:00,3.6841,1.499
2012-07-07 09:30:00,5.3413,2.0418
2012-07-07 10:00:00,3.7494,1.4835
2012-07-07 10:30:00,5.085,2.089
2012-07-07 11:00:00,3.9692,1.6196
2012-07-07 11:30:00,3.5243,1.4361
2012-07-07 12:00:00,4.4582,1.7958
2012-07-07 12:30:00,3.6951,1.4907
2012-07-07 13:00:00,3.9483,1.6021
2012-07-07 13:30:00,3.6597,1.4752
2012-07-07 14:00:00,3.4882,1.3831
2012-07-07 14:30:00,3.9694,1.5447
2012-07-07 15:00:00,3.2979,1.2939
2012-07-07 15:30:00,3.4598,1.3992
2012-07-07 16:00:00,4.3362,1.7105
2012-07-07 16:30:00,3.9726,1.6218
2012-07-07 17:00:00,3.8562,1.5648
2012-07-07 17:30:00,4.1374,1.6719
2012-07-07 18:00:00,5.7758,2.0946
2012-07-07 18:30:00,6.4298,2.3502
2012-07-07 19:00:00,5.8877,2.078
2012-07-07 19:30:00,5.736,1.9976
2012-07-07 20:00:00,5.7112,2.0332
2012-07-07 20:30:00,5.5701,1.9795
2012-07-07 21:00:00,5.332,1.8607
2012-07-07 21:30:00,6.0654,2.1954
2012-07-07 22:00:00,5.9067,2.0836
2012-07-07 22:30:00,5.0198,1.7633
2012-07-07 23:00:00,4.8864,1.6676
2012-07-07 23:30:00,4.6628,1.5559
2012-07-08 00:00:00,4.2728,1.4784
2012-07-08 00:30:00,3.6347,1.1984
2012-07-08 01:00:00,3.5213,1.1281
2012-07-08 01:30:00,3.0812,0.9703
2012-07-08 02:00:00,3.073,0.9913
2012-07-08 02:30:00,2.953,0.9364
2012-07-08 03:00:00,3.026,0.9631
2012-07-08 03:30:00,2.8531,0.8978
2012-07-08 04:00:00,2.7691,0.8638
