Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.4721,0.1564
2012-07-07 06:30:00,0.3881,0.1477
2012-07-07 07:00:00,0.4264,0.1633
2012-07-07 07:30:00,0.4243,0.1684
2012-07-07 08:00:00,0.3651,0.1434
2012-07-07 08:30:00,0.2857,0.1146
2012-07-07 09:00:00,0.3006,0.1218
2012-07-07 09:30:00,0.311,0.1214
2012-07-07 10:00:00,0.3753,0.1407
2012-07-07 10:30:00,0.6658,0.2363
2012-07-07 11:00:00,0.2269,0.0909
2012-07-07 11:30:00,0.2343,0.0898
2012-07-07 12:00:00,0.4477,0.1744
2012-07-07 12:30:00,0.3784,0.146
2012-07-07 13:00:00,0.4272,0.1683
2012-07-07 13:30:00,0.5148,0.1999
2012-07-07 14:00:00,0.4842,0.1893
2012-07-07 14:30:00,0.5946,0.2277
2012-07-07 15:00:00,0.4419,0.1704
2012-07-07 15:30:00,0.4164,0.1642
2012-07-07 16:00:00,0.5413,0.2089
2012-07-07 16:30:00,0.5312,0.205
2012-07-07 17:00:00,0.599,0.2338
2012-07-07 17:30:00,0.5918,0.2216
2012-07-07 18:00:00,0.8803,0.2575
2012-07-07 18:30:00,1.1441,0.3507
2012-07-07 19:00:00,0.8557,0.2458
2012-07-07 19:30:00,0.8927,0.2612
2012-07-07 20:00:00,0.925,0.2746
2012-07-07 20:30:00,0.9327,0.2775
2012-07-07 21:00:00,0.9531,0.2839
2012-07-07 21:30:00,0.9656,0.2885
2012-07-07 22:00:00,0.8917,0.2606
2012-07-07 22:30:00,0.6868,0.1858
2012-07-07 23:00:00,0.7765,0.22
2012-07-07 23:30:00,0.7364,0.203
2012-07-08 00:00:00,0.737,0.2037
2012-07-08 00:30:00,0.7133,0.1956
2012-07-08 01:00:00,0.7588,0.2146
2012-07-08 01:30:00,0.7131,0.1966
2012-07-08 02:00:00,0.6885,0.1892
2012-07-08 02:30:00,0.6287,0.166
2012-07-08 03:00:00,0.6648,0.1777
2012-07-08 03:30:00,0.6699,0.1807
2012-07-08 04:00:00,0.6455,0.1722
2012-07-08 04:30:00,0.6085,0.158
2012-07-08 05:00:00,0.6361,0.1675
2012-07-08 05:30:00,0.6156,0.1792
2012-07-08 06:00:00,0.4503,0.1495
