Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,2.6139,0.9504
2012-07-07 06:30:00,2.1401,0.8475
2012-07-07 07:00:00,2.6736,1.0289
2012-07-07 07:30:00,3.3146,1.3496
2012-07-07 08:00:00,3.3142,1.3413
2012-07-07 08:30:00,4.1468,1.6458
2012-07-07 09:00:00,3.689,1.503
2012-07-07 09:30:00,5.3508,2.0488
2012-07-07 10:00:00,3.7604,1.4922
2012-07-07 10:30:00,5.1072,2.1065
2012-07-07 11:00:00,3.9856,1.633
2012-07-07 11:30:00,3.534,1.4439
2012-07-07 12:00:00,4.459,1.7962
2012-07-07 12:30:00,3.6945,1.4904
2012-07-07 13:00:00,3.9484,1.6019
2012-07-07 13:30:00,3.6596,1.4753
2012-07-07 14:00:00,3.4877,1.3829
2012-07-07 14:30:00,3.9698,1.5449
2012-07-07 15:00:00,3.2975,1.2937
2012-07-07 15:30:00,3.4595,1.399
2012-07-07 16:00:00,4.3341,1.7089
2012-07-07 16:30:00,3.9672,1.6175
2012-07-07 17:00:00,3.8477,1.558
2012-07-07 17:30:00,4.1267,1.6634
2012-07-07 18:00:00,5.7558,2.0797
2012-07-07 18:30:00,6.4014,2.329
2012-07-07 19:00:00,5.8669,2.0625
2012-07-07 19:30:00,5.7143,1.9815
2012-07-07 20:00:00,5.6906,2.0181
2012-07-07 20:30:00,5.5701,1.9797
2012-07-07 21:00:00,5.3315,1.8602
2012-07-07 21:30:00,6.0659,2.196
2012-07-07 22:00:00,5.9071,2.0841
2012-07-07 22:30:00,5.0195,1.7629
2012-07-07 23:00:00,4.8864,1.6678
2012-07-07 23:30:00,4.6628,1.5561
2012-07-08 00:00:00,4.2729,1.4785
2012-07-08 00:30:00,3.6345,1.1982
2012-07-08 01:00:00,3.5214,1.1283
2012-07-08 01:30:00,3.0811,0.9701
2012-07-08 02:00:00,3.073,0.9914
2012-07-08 02:30:00,2.9529,0.9363
2012-07-08 03:00:00,3.026,0.9632
2012-07-08 03:30:00,2.8531,0.8978
2012-07-08 04:00:00,2.7691,0.8638
