Timestep,P(kW),Q(kvar)
2012-07-07 06:00:00,0.4522,0.0028
2012-07-07 06:30:00,0.4511,0.0019
2012-07-07 07:00:00,0.4518,0.0023
2012-07-07 07:30:00,0.4521,0.0018
2012-07-07 08:00:00,0.4515,0.001
2012-07-07 08:30:00,0.4538,0.002
2012-07-07 09:00:00,0.4561,0.0035
2012-07-07 09:30:00,0.4644,0.0089
2012-07-07 10:00:00,0.4651,0.0101
2012-07-07 10:30:00,0.4671,0.0138
2012-07-07 11:00:00,0.4733,0.0177
2012-07-07 11:30:00,0.4758,0.0199
2012-07-07 12:00:00,0.4774,0.0214
2012-07-07 12:30:00,0.4766,0.0203
2012-07-07 13:00:00,0.4749,0.0193
2012-07-07 13:30:00,0.4715,0.0165
2012-07-07 14:00:00,0.4674,0.013
2012-07-07 14:30:00,0.4621,0.009
2012-07-07 15:00:00,0.4578,0.0053
2012-07-07 15:30:00,0.4533,0.002
2012-07-07 16:00:00,0.4536,0.0019
2012-07-07 16:30:00,0.4521,0.0023
2012-07-07 17:00:00,0.4553,0.0049
2012-07-07 17:30:00,0.4571,0.0077
2012-07-07 18:00:00,0.4652,0.0134
2012-07-07 18:30:00,0.4723,0.0177
2012-07-07 19:00:00,0.4641,0.0142
2012-07-07 19:30:00,0.4658,0.0142
2012-07-07 20:00:00,0.4645,0.0135
2012-07-07 20:30:00,0.4611,0.0117
2012-07-07 21:00:00,0.4611,0.012
2012-07-07 21:30:00,0.4654,0.0142
2012-07-07 22:00:00,0.4628,0.0128
2012-07-07 22:30:00,0.4594,0.0105
2012-07-07 23:00:00,0.4594,0.0095
2012-07-07 23:30:00,0.4577,0.0083
2012-07-08 00:00:00,0.4569,0.0072
2012-07-08 00:30:00,0.4548,0.0056
2012-07-08 01:00:00,0.4542,0.0047
2012-07-08 01:30:00,0.453,0.0039
2012-07-08 02:00:00,0.4529,0.0037
2012-07-08 02:30:00,0.4525,0.0035
2012-07-08 03:00:00,0.4526,0.0034
2012-07-08 03:30:00,0.4523,0.0032
2012-07-08 04:00:00,0.4519,0.0029
2012-07-08 04:30:00,0.4518,0.0028
2012-07-08 05:00:00,0.452,0.0029
2012-07-08 05:30:00,0.4524,0.0029
2012-07-08 06:00:00,0.4524,0.0031
2012-07-08 06:30:00,0.4546,0.0043
2012-07-08 07:00:00,0.4538,0.0039
2012-07-08 07:30:00,0.4523,0.0023
2012-07-08 08:00:00,0.451,0.0007
2012-07-08 08:30:00,0.4529,0.0015
2012-07-08 09:00:00,0.4557,0.0038
2012-07-08 09:30:00,0.4592,0.0068
2012-07-08 10:00:00,0.4651,0.0112
2012-07-08 10:30:00,0.4682,0.0138
2012-07-08 11:00:00,0.4704,0.016
2012-07-08 11:30:00,0.4717,0.0156
2012-07-08 12:00:00,0.4704,0.0158
2012-07-08 12:30:00,0.4713,0.015
2012-07-08 13:00:00,0.4713,0.0147
2012-07-08 13:30:00,0.4657,0.0106
2012-07-08 14:00:00,0.4623,0.0081
2012-07-08 14:30:00,0.4588,0.0055
2012-07-08 15:00:00,0.4555,0.003
2012-07-08 15:30:00,0.4557,0.0031
2012-07-08 16:00:00,0.4541,0.0031
2012-07-08 16:30:00,0.4573,0.0061
2012-07-08 17:00:00,0.4605,0.0092
2012-07-08 17:30:00,0.464,0.0129
2012-07-08 18:00:00,0.472,0.0174
2012-07-08 18:30:00,0.464,0.0145
2012-07-08 19:00:00,0.4635,0.0143
2012-07-08 19:30:00,0.4707,0.0173
2012-07-08 20:00:00,0.4659,0.0147
2012-07-08 20:30:00,0.4642,0.0131
2012-07-08 21:00:00,0.4638,0.0125
2012-07-08 21:30:00,0.4651,0.0132
2012-07-08 22:00:00,0.464,0.0123
2012-07-08 22:30:00,0.4612,0.0102
2012-07-08 23:00:00,0.4598,0.0088
2012-07-08 23:30:00,0.4578,0.0073
2012-07-09 00:00:00,0.456,0.0059
2012-07-09 00:30:00,0.4535,0.0043
2012-07-09 01:00:00,0.4531,0.0037
2012-07-09 01:30:00,0.4522,0.0032
2012-07-09 02:00:00,0.4519,0.0029
2012-07-09 02:30:00,0.4519,0.0028
2012-07-09 03:00:00,0.4519,0.0027
2012-07-09 03:30:00,0.4517,0.0026
2012-07-09 04:00:00,0.452,0.0028
2012-07-09 04:30:00,0.452,0.0029
2012-07-09 05:00:00,0.4523,0.0031
2012-07-09 05:30:00,0.4531,0.0035
2012-07-09 06:00:00,0.4533,0.004
2012-07-09 06:30:00,0.4566,0.0057
2012-07-09 07:00:00,0.4566,0.0055
2012-07-09 07:30:00,0.4537,0.0031
2012-07-09 08:00:00,0.451,0.0007
2012-07-09 08:30:00,0.4519,0.0012
2012-07-09 09:00:00,0.4556,0.0038
2012-07-09 09:30:00,0.4598,0.0073
2012-07-09 10:00:00,0.4649,0.0117
2012-07-09 10:30:00,0.4699,0.0158
2012-07-09 11:00:00,0.4722,0.0182
2012-07-09 11:30:00,0.4745,0.0195
2012-07-09 12:00:00,0.4759,0.0204
2012-07-09 12:30:00,0.4746,0.0192
2012-07-09 13:00:00,0.4714,0.017
2012-07-09 13:30:00,0.4694,0.0151
2012-07-09 14:00:00,0.4661,0.0122
2012-07-09 14:30:00,0.4622,0.0087
2012-07-09 15:00:00,0.4569,0.0042
2012-07-09 15:30:00,0.4517,0.001
2012-07-09 16:00:00,0.4508,0.0008
2012-07-09 16:30:00,0.4544,0.0042
2012-07-09 17:00:00,0.4603,0.0088
2012-07-09 17:30:00,0.4612,0.0117
2012-07-09 18:00:00,0.4694,0.0167
2012-07-09 18:30:00,0.4721,0.0193
2012-07-09 19:00:00,0.4691,0.0169
2012-07-09 19:30:00,0.4677,0.0154
2012-07-09 20:00:00,0.4647,0.0137
2012-07-09 20:30:00,0.4624,0.0124
2012-07-09 21:00:00,0.462,0.0124
2012-07-09 21:30:00,0.4638,0.0135
2012-07-09 22:00:00,0.4635,0.0131
2012-07-09 22:30:00,0.4603,0.0104
2012-07-09 23:00:00,0.458,0.0081
2012-07-09 23:30:00,0.456,0.0062
2012-07-10 00:00:00,0.4544,0.0049
2012-07-10 00:30:00,0.4534,0.0041
2012-07-10 01:00:00,0.4527,0.0036
2012-07-10 01:30:00,0.4529,0.0036
2012-07-10 02:00:00,0.4531,0.0038
2012-07-10 02:30:00,0.4532,0.0038
2012-07-10 03:00:00,0.4528,0.0036
2012-07-10 03:30:00,0.4526,0.0034
2012-07-10 04:00:00,0.4523,0.0032
2012-07-10 04:30:00,0.4523,0.0032
2012-07-10 05:00:00,0.4531,0.0037
2012-07-10 05:30:00,0.4534,0.0039
2012-07-10 06:00:00,0.4532,0.0039
2012-07-10 06:30:00,0.4535,0.0042
2012-07-10 07:00:00,0.4552,0.0046
2012-07-10 07:30:00,0.454,0.0031
2012-07-10 08:00:00,0.452,0.0014
2012-07-10 08:30:00,0.4527,0.0014
2012-07-10 09:00:00,0.4553,0.0036
2012-07-10 09:30:00,0.4591,0.0064
2012-07-10 10:00:00,0.4624,0.0093
2012-07-10 10:30:00,0.4657,0.0121
2012-07-10 11:00:00,0.4712,0.0164
2012-07-10 11:30:00,0.4731,0.0184
2012-07-10 12:00:00,0.4754,0.0201
2012-07-10 12:30:00,0.4743,0.0194
2012-07-10 13:00:00,0.4723,0.0174
2012-07-10 13:30:00,0.4691,0.0146
2012-07-10 14:00:00,0.465,0.0116
2012-07-10 14:30:00,0.4611,0.0084
2012-07-10 15:00:00,0.4562,0.0044
2012-07-10 15:30:00,0.4525,0.0015
2012-07-10 16:00:00,0.4525,0.0013
2012-07-10 16:30:00,0.4528,0.0027
2012-07-10 17:00:00,0.454,0.0045
2012-07-10 17:30:00,0.4574,0.0078
2012-07-10 18:00:00,0.4643,0.013
2012-07-10 18:30:00,0.4672,0.0158
2012-07-10 19:00:00,0.4667,0.0164
2012-07-10 19:30:00,0.4746,0.0195
2012-07-10 20:00:00,0.4653,0.0156
2012-07-10 20:30:00,0.4655,0.0149
2012-07-10 21:00:00,0.4658,0.0152
2012-07-10 21:30:00,0.4663,0.0149
2012-07-10 22:00:00,0.4628,0.0126
2012-07-10 22:30:00,0.4611,0.0106
2012-07-10 23:00:00,0.4582,0.0084
2012-07-10 23:30:00,0.4562,0.0068
2012-07-11 00:00:00,0.4558,0.006
2012-07-11 00:30:00,0.4541,0.0048
2012-07-11 01:00:00,0.4533,0.0041
2012-07-11 01:30:00,0.4528,0.0037
2012-07-11 02:00:00,0.4536,0.004
2012-07-11 02:30:00,0.4536,0.0039
2012-07-11 03:00:00,0.4521,0.0032
2012-07-11 03:30:00,0.4519,0.0028
2012-07-11 04:00:00,0.4518,0.0028
2012-07-11 04:30:00,0.4518,0.0027
2012-07-11 05:00:00,0.4523,0.003
2012-07-11 05:30:00,0.4525,0.0032
2012-07-11 06:00:00,0.4532,0.0037
2012-07-11 06:30:00,0.455,0.0044
2012-07-11 07:00:00,0.4539,0.0037
2012-07-11 07:30:00,0.4523,0.0022
2012-07-11 08:00:00,0.4511,0.0009
2012-07-11 08:30:00,0.4515,0.0009
2012-07-11 09:00:00,0.454,0.0027
2012-07-11 09:30:00,0.4582,0.0058
2012-07-11 10:00:00,0.4612,0.0085
2012-07-11 10:30:00,0.465,0.0115
2012-07-11 11:00:00,0.4699,0.0154
2012-07-11 11:30:00,0.4724,0.0173
2012-07-11 12:00:00,0.4719,0.0178
2012-07-11 12:30:00,0.4709,0.0165
2012-07-11 13:00:00,0.4704,0.016
2012-07-11 13:30:00,0.4683,0.0144
2012-07-11 14:00:00,0.4654,0.0117
2012-07-11 14:30:00,0.4617,0.0085
2012-07-11 15:00:00,0.4566,0.0045
2012-07-11 15:30:00,0.4526,0.0017
2012-07-11 16:00:00,0.4509,0.0007
2012-07-11 16:30:00,0.4535,0.0029
2012-07-11 17:00:00,0.4555,0.0054
2012-07-11 17:30:00,0.4589,0.0083
2012-07-11 18:00:00,0.4645,0.0124
2012-07-11 18:30:00,0.4669,0.0144
2012-07-11 19:00:00,0.4663,0.0145
2012-07-11 19:30:00,0.4668,0.0142
2012-07-11 20:00:00,0.463,0.0132
2012-07-11 20:30:00,0.4652,0.0146
2012-07-11 21:00:00,0.4695,0.0168
2012-07-11 21:30:00,0.465,0.0141
2012-07-11 22:00:00,0.4627,0.0119
2012-07-11 22:30:00,0.4597,0.0093
2012-07-11 23:00:00,0.4575,0.0073
2012-07-11 23:30:00,0.456,0.0063
2012-07-12 00:00:00,0.4572,0.0065
2012-07-12 00:30:00,0.4552,0.0053
2012-07-12 01:00:00,0.4533,0.0039
2012-07-12 01:30:00,0.4525,0.0033
2012-07-12 02:00:00,0.4525,0.0032
2012-07-12 02:30:00,0.4525,0.0032
2012-07-12 03:00:00,0.4526,0.0032
2012-07-12 03:30:00,0.4523,0.003
2012-07-12 04:00:00,0.4523,0.0031
2012-07-12 04:30:00,0.4526,0.0032
2012-07-12 05:00:00,0.4529,0.0035
2012-07-12 05:30:00,0.454,0.0042
2012-07-12 06:00:00,0.4547,0.0048
2012-07-12 06:30:00,0.456,0.0052
2012-07-12 07:00:00,0.4528,0.0032
2012-07-12 07:30:00,0.4525,0.002
2012-07-12 08:00:00,0.4518,0.001
2012-07-12 08:30:00,0.452,0.0013
2012-07-12 09:00:00,0.4554,0.0039
2012-07-12 09:30:00,0.4602,0.0074
2012-07-12 10:00:00,0.4641,0.0109
2012-07-12 10:30:00,0.4675,0.0142
2012-07-12 11:00:00,0.4708,0.0167
2012-07-12 11:30:00,0.4734,0.0185
2012-07-12 12:00:00,0.4728,0.0181
2012-07-12 12:30:00,0.4714,0.0173
2012-07-12 13:00:00,0.4715,0.0168
2012-07-12 13:30:00,0.4678,0.0142
2012-07-12 14:00:00,0.4632,0.0105
2012-07-12 14:30:00,0.4608,0.0074
2012-07-12 15:00:00,0.4548,0.0032
2012-07-12 15:30:00,0.4529,0.0014
2012-07-12 16:00:00,0.4514,0.0012
2012-07-12 16:30:00,0.455,0.0045
2012-07-12 17:00:00,0.4621,0.0091
2012-07-12 17:30:00,0.4583,0.0092
2012-07-12 18:00:00,0.4633,0.0123
2012-07-12 18:30:00,0.4635,0.0133
2012-07-12 19:00:00,0.4634,0.0137
2012-07-12 19:30:00,0.4709,0.0169
2012-07-12 20:00:00,0.4667,0.0153
2012-07-12 20:30:00,0.4677,0.0159
2012-07-12 21:00:00,0.465,0.0147
2012-07-12 21:30:00,0.4633,0.0132
2012-07-12 22:00:00,0.4641,0.013
2012-07-12 22:30:00,0.4645,0.0127
2012-07-12 23:00:00,0.4602,0.0096
2012-07-12 23:30:00,0.4565,0.0067
2012-07-13 00:00:00,0.4547,0.0049
2012-07-13 00:30:00,0.4531,0.0039
2012-07-13 01:00:00,0.4524,0.0032
2012-07-13 01:30:00,0.4521,0.003
2012-07-13 02:00:00,0.4527,0.0032
2012-07-13 02:30:00,0.4519,0.0028
2012-07-13 03:00:00,0.452,0.0028
2012-07-13 03:30:00,0.4519,0.0027
2012-07-13 04:00:00,0.4518,0.0028
2012-07-13 04:30:00,0.4522,0.0029
2012-07-13 05:00:00,0.4521,0.003
2012-07-13 05:30:00,0.4524,0.0033
2012-07-13 06:00:00,0.4535,0.0038
2012-07-13 06:30:00,0.4541,0.0043
2012-07-13 07:00:00,0.4541,0.0037
2012-07-13 07:30:00,0.4526,0.0022
2012-07-13 08:00:00,0.4504,0.0004
2012-07-13 08:30:00,0.4519,0.0012
2012-07-13 09:00:00,0.4554,0.0036
2012-07-13 09:30:00,0.4587,0.006
2012-07-13 10:00:00,0.4615,0.0089
2012-07-13 10:30:00,0.4666,0.0131
2012-07-13 11:00:00,0.4702,0.0164
2012-07-13 11:30:00,0.4718,0.0177
2012-07-13 12:00:00,0.4709,0.0172
2012-07-13 12:30:00,0.4698,0.0156
2012-07-13 13:00:00,0.4649,0.0121
2012-07-13 13:30:00,0.4621,0.0092
2012-07-13 14:00:00,0.4586,0.0065
2012-07-13 14:30:00,0.4595,0.0056
2012-07-13 15:00:00,0.4543,0.0027
2012-07-13 15:30:00,0.4527,0.0013
2012-07-13 16:00:00,0.4544,0.0033
2012-07-13 16:30:00,0.4577,0.0075
2012-07-13 17:00:00,0.4612,0.0096
2012-07-13 17:30:00,0.4602,0.0103
2012-07-13 18:00:00,0.4625,0.0126
2012-07-13 18:30:00,0.4684,0.0166
2012-07-13 19:00:00,0.4702,0.0177
2012-07-13 19:30:00,0.4682,0.016
2012-07-13 20:00:00,0.4658,0.0145
2012-07-13 20:30:00,0.4651,0.0137
2012-07-13 21:00:00,0.4629,0.0125
2012-07-13 21:30:00,0.462,0.0114
2012-07-13 22:00:00,0.4598,0.0097
2012-07-13 22:30:00,0.4576,0.0079
2012-07-13 23:00:00,0.4566,0.0068
2012-07-13 23:30:00,0.4553,0.0057
