Timestep,Bus,Voltage
2012-07-07 06:00:00,bus_001,127.017
2012-07-07 06:00:00,bus_002,127.017
2012-07-07 06:00:00,bus_003,127.0171
2012-07-07 06:00:00,bus_004,127.0
2012-07-07 06:30:00,bus_001,127.017
2012-07-07 06:30:00,bus_002,127.017
2012-07-07 06:30:00,bus_003,127.0171
2012-07-07 06:30:00,bus_004,126.9868
2012-07-07 07:00:00,bus_001,127.017
2012-07-07 07:00:00,bus_002,127.017
2012-07-07 07:00:00,bus_003,127.0171
2012-07-07 07:00:00,bus_004,127.0054
2012-07-07 07:30:00,bus_001,127.017
2012-07-07 07:30:00,bus_002,127.017
2012-07-07 07:30:00,bus_003,127.0171
2012-07-07 07:30:00,bus_004,127.0025
2012-07-07 08:00:00,bus_001,127.017
2012-07-07 08:00:00,bus_002,127.017
2012-07-07 08:00:00,bus_003,127.0171
2012-07-07 08:00:00,bus_004,126.9923
2012-07-07 08:30:00,bus_001,127.0171
2012-07-07 08:30:00,bus_002,127.0171
2012-07-07 08:30:00,bus_003,127.0171
2012-07-07 08:30:00,bus_004,127.0027
2012-07-07 09:00:00,bus_001,127.0171
2012-07-07 09:00:00,bus_002,127.0171
2012-07-07 09:00:00,bus_003,127.0171
2012-07-07 09:00:00,bus_004,127.0053
2012-07-07 09:30:00,bus_001,127.0171
2012-07-07 09:30:00,bus_002,127.0171
2012-07-07 09:30:00,bus_003,127.0171
2012-07-07 09:30:00,bus_004,127.0047
2012-07-07 10:00:00,bus_001,127.0171
2012-07-07 10:00:00,bus_002,127.0171
2012-07-07 10:00:00,bus_003,127.0171
2012-07-07 10:00:00,bus_004,127.0034
2012-07-07 10:30:00,bus_001,127.0171
2012-07-07 10:30:00,bus_002,127.0171
2012-07-07 10:30:00,bus_003,127.0171
2012-07-07 10:30:00,bus_004,127.0087
2012-07-07 11:00:00,bus_001,127.0171
2012-07-07 11:00:00,bus_002,127.0171
2012-07-07 11:00:00,bus_003,127.0171
2012-07-07 11:00:00,bus_004,127.0106
2012-07-07 11:30:00,bus_001,127.0171
2012-07-07 11:30:00,bus_002,127.0171
2012-07-07 11:30:00,bus_003,127.0171
2012-07-07 11:30:00,bus_004,127.0109
2012-07-07 12:00:00,bus_001,127.0171
2012-07-07 12:00:00,bus_002,127.0171
2012-07-07 12:00:00,bus_003,127.0171
2012-07-07 12:00:00,bus_004,126.9924
2012-07-07 12:30:00,bus_001,127.0171
2012-07-07 12:30:00,bus_002,127.0171
2012-07-07 12:30:00,bus_003,127.0171
2012-07-07 12:30:00,bus_004,126.9876
2012-07-07 13:00:00,bus_001,127.0171
2012-07-07 13:00:00,bus_002,127.0171
2012-07-07 13:00:00,bus_003,127.0171
2012-07-07 13:00:00,bus_004,126.9955
2012-07-07 13:30:00,bus_001,127.017
2012-07-07 13:30:00,bus_002,127.0171
2012-07-07 13:30:00,bus_003,127.0171
2012-07-07 13:30:00,bus_004,126.9819
2012-07-07 14:00:00,bus_001,127.0171
2012-07-07 14:00:00,bus_002,127.0171
2012-07-07 14:00:00,bus_003,127.0171
2012-07-07 14:00:00,bus_004,126.9917
2012-07-07 14:30:00,bus_001,127.017
2012-07-07 14:30:00,bus_002,127.017
2012-07-07 14:30:00,bus_003,127.0171
2012-07-07 14:30:00,bus_004,126.9879
2012-07-07 15:00:00,bus_001,127.0171
2012-07-07 15:00:00,bus_002,127.0171
2012-07-07 15:00:00,bus_003,127.0171
2012-07-07 15:00:00,bus_004,126.9936
2012-07-07 15:30:00,bus_001,127.017
2012-07-07 15:30:00,bus_002,127.017
2012-07-07 15:30:00,bus_003,127.0171
2012-07-07 15:30:00,bus_004,126.9989
2012-07-07 16:00:00,bus_001,127.017
2012-07-07 16:00:00,bus_002,127.017
2012-07-07 16:00:00,bus_003,127.0171
2012-07-07 16:00:00,bus_004,126.9864
2012-07-07 16:30:00,bus_001,127.017
2012-07-07 16:30:00,bus_002,127.017
2012-07-07 16:30:00,bus_003,127.0171
2012-07-07 16:30:00,bus_004,126.9913
2012-07-07 17:00:00,bus_001,127.017
2012-07-07 17:00:00,bus_002,127.017
2012-07-07 17:00:00,bus_003,127.0171
2012-07-07 17:00:00,bus_004,126.9835
2012-07-07 17:30:00,bus_001,127.017
2012-07-07 17:30:00,bus_002,127.017
2012-07-07 17:30:00,bus_003,127.0171
2012-07-07 17:30:00,bus_004,126.9814
2012-07-07 18:00:00,bus_001,127.017
2012-07-07 18:00:00,bus_002,127.017
2012-07-07 18:00:00,bus_003,127.0171
2012-07-07 18:00:00,bus_004,126.9909
2012-07-07 18:30:00,bus_001,127.017
2012-07-07 18:30:00,bus_002,127.017
2012-07-07 18:30:00,bus_003,127.0171
2012-07-07 18:30:00,bus_004,126.9777
2012-07-07 19:00:00,bus_001,127.017
2012-07-07 19:00:00,bus_002,127.017
