Timestep,Bus,Voltage
2012-07-07 06:00:00,bus_001,127.017
2012-07-07 06:00:00,bus_002,127.017
2012-07-07 06:00:00,bus_003,127.0171
2012-07-07 06:00:00,bus_004,127.0
2012-07-07 06:30:00,bus_001,127.017
2012-07-07 06:30:00,bus_002,127.017
2012-07-07 06:30:00,bus_003,127.0171
2012-07-07 06:30:00,bus_004,126.9868
2012-07-07 07:00:00,bus_001,127.017
2012-07-07 07:00:00,bus_002,127.017
2012-07-07 07:00:00,bus_003,127.0171
2012-07-07 07:00:00,bus_004,127.0062
2012-07-07 07:30:00,bus_001,127.017
2012-07-07 07:30:00,bus_002,127.017
2012-07-07 07:30:00,bus_003,127.0171
2012-07-07 07:30:00,bus_004,127.0061
2012-07-07 08:00:00,bus_001,127.017
2012-07-07 08:00:00,bus_002,127.017
2012-07-07 08:00:00,bus_003,127.0171
2012-07-07 08:00:00,bus_004,127.0002
2012-07-07 08:30:00,bus_001,127.0171
2012-07-07 08:30:00,bus_002,127.0171
2012-07-07 08:30:00,bus_003,127.0171
2012-07-07 08:30:00,bus_004,127.015
2012-07-07 09:00:00,bus_001,127.0171
2012-07-07 09:00:00,bus_002,127.0171
2012-07-07 09:00:00,bus_003,127.0171
2012-07-07 09:00:00,bus_004,127.0217
2012-07-07 09:30:00,bus_001,127.0171
2012-07-07 09:30:00,bus_002,127.0171
2012-07-07 09:30:00,bus_003,127.0171
2012-07-07 09:30:00,bus_004,127.0249
2012-07-07 10:00:00,bus_001,127.0171
2012-07-07 10:00:00,bus_002,127.0171
2012-07-07 10:00:00,bus_003,127.0171
2012-07-07 10:00:00,bus_004,127.0268
2012-07-07 10:30:00,bus_001,127.0171
2012-07-07 10:30:00,bus_002,127.0171
2012-07-07 10:30:00,bus_003,127.0171
2012-07-07 10:30:00,bus_004,127.0344
2012-07-07 11:00:00,bus_001,127.0171
2012-07-07 11:00:00,bus_002,127.0171
2012-07-07 11:00:00,bus_003,127.0171
2012-07-07 11:00:00,bus_004,127.0377
2012-07-07 11:30:00,bus_001,127.0171
2012-07-07 11:30:00,bus_002,127.0171
2012-07-07 11:30:00,bus_003,127.0171
2012-07-07 11:30:00,bus_004,127.0389
2012-07-07 12:00:00,bus_001,127.0171
2012-07-07 12:00:00,bus_002,127.0171
2012-07-07 12:00:00,bus_003,127.0171
2012-07-07 12:00:00,bus_004,127.0205
2012-07-07 12:30:00,bus_001,127.0171
2012-07-07 12:30:00,bus_002,127.017
2012-07-07 12:30:00,bus_003,127.0171
2012-07-07 12:30:00,bus_004,127.0157
2012-07-07 13:00:00,bus_001,127.0171
2012-07-07 13:00:00,bus_002,127.0171
2012-07-07 13:00:00,bus_003,127.0171
2012-07-07 13:00:00,bus_004,127.0228
2012-07-07 13:30:00,bus_001,127.017
2012-07-07 13:30:00,bus_002,127.017
2012-07-07 13:30:00,bus_003,127.0171
2012-07-07 13:30:00,bus_004,127.0073
2012-07-07 14:00:00,bus_001,127.017
2012-07-07 14:00:00,bus_002,127.017
2012-07-07 14:00:00,bus_003,127.0171
2012-07-07 14:00:00,bus_004,127.0153
2012-07-07 14:30:00,bus_001,127.017
2012-07-07 14:30:00,bus_002,127.017
2012-07-07 14:30:00,bus_003,127.0171
2012-07-07 14:30:00,bus_004,127.0089
2012-07-07 15:00:00,bus_001,127.017
2012-07-07 15:00:00,bus_002,127.017
2012-07-07 15:00:00,bus_003,127.0171
2012-07-07 15:00:00,bus_004,127.0113
2012-07-07 15:30:00,bus_001,127.017
2012-07-07 15:30:00,bus_002,127.017
2012-07-07 15:30:00,bus_003,127.0171
2012-07-07 15:30:00,bus_004,127.0126
2012-07-07 16:00:00,bus_001,127.017
2012-07-07 16:00:00,bus_002,127.017
2012-07-07 16:00:00,bus_003,127.0171
2012-07-07 16:00:00,bus_004,126.9957
2012-07-07 16:30:00,bus_001,127.017
2012-07-07 16:30:00,bus_002,127.017
2012-07-07 16:30:00,bus_003,127.0171
2012-07-07 16:30:00,bus_004,126.9963
2012-07-07 17:00:00,bus_001,127.017
2012-07-07 17:00:00,bus_002,127.017
2012-07-07 17:00:00,bus_003,127.0171
2012-07-07 17:00:00,bus_004,126.9851
2012-07-07 17:30:00,bus_001,127.017
2012-07-07 17:30:00,bus_002,127.017
2012-07-07 17:30:00,bus_003,127.0171
2012-07-07 17:30:00,bus_004,126.9815
2012-07-07 18:00:00,bus_001,127.017
2012-07-07 18:00:00,bus_002,127.017
2012-07-07 18:00:00,bus_003,127.0171
2012-07-07 18:00:00,bus_004,126.9909
2012-07-07 18:30:00,bus_001,127.017
2012-07-07 18:30:00,bus_002,127.017
2012-07-07 18:30:00,bus_003,127.0171
2012-07-07 18:30:00,bus_004,126.9777
2012-07-07 19:00:00,bus_001,127.017
2012-07-07 19:00:00,bus_002,127.017
2012-07-07 19:00:00,bus_003,127.0171
